target_field,rank,source_field,source_type,attention
total_lmp_da,2,total_lmp_rt,general,0.052864305675029755
total_lmp_da,3,da_as_mcp_synchronized_reserve,general,0.051471080631017685
total_lmp_da,4,da_as_mcp_primary_reserve,general,0.04953375458717346
total_lmp_da,5,gen_fuel_oil_pct,general,0.045881956815719604
total_lmp_da,6,gen_fuel_nuclear_pct,general,0.045495402067899704
total_lmp_da,7,gen_fuel_oil_mw,general,0.04511180892586708
total_lmp_da,8,forecast_load_mw_day_ahead,general,0.04431506246328354
total_lmp_da,9,marginal_loss_price_rt,general,0.043235186487436295
total_lmp_da,10,forecast_load_mw_latest_available,general,0.042633187025785446
total_lmp_da,11,gen_fuel_coal_mw,general,0.0401238314807415
total_lmp_da,12,gen_fuel_hydro_mw,general,0.03841456025838852
da_as_total_mw_primary_reserve,1,da_as_as_req_mw_synchronized_reserve,general,0.1720724254846573
da_as_total_mw_primary_reserve,2,da_as_as_req_mw_primary_reserve,general,0.17123983800411224
da_as_total_mw_primary_reserve,3,da_as_nsr_mw_primary_reserve,general,0.1663079410791397
da_as_total_mw_primary_reserve,4,da_as_as_req_mw_thirty_minutes_reserve,general,0.16448064148426056
da_as_total_mw_primary_reserve,5,gen_fuel_nuclear_mw,general,0.11118435859680176
da_as_total_mw_primary_reserve,6,da_as_mcp_primary_reserve,general,0.09144718199968338
da_as_total_mw_primary_reserve,7,total_pjm_rmpcp_cr,general,0.06779077649116516
da_as_total_mw_primary_reserve,8,total_pjm_self_sched_reg,general,0.055476780980825424
da_as_total_mw_synchronized_reserve,1,da_as_nsr_mw_primary_reserve,general,0.19412484765052795
da_as_total_mw_synchronized_reserve,2,da_as_as_req_mw_synchronized_reserve,general,0.1825719028711319
da_as_total_mw_synchronized_reserve,3,da_as_as_req_mw_primary_reserve,general,0.18173690140247345
da_as_total_mw_synchronized_reserve,4,da_as_as_req_mw_thirty_minutes_reserve,general,0.1779494434595108
da_as_total_mw_synchronized_reserve,5,da_as_mcp_primary_reserve,general,0.09917537868022919
da_as_total_mw_synchronized_reserve,6,gen_fuel_gas_mw,general,0.08326879143714905
da_as_total_mw_synchronized_reserve,7,gen_fuel_other_renewables_pct,general,0.08117271214723587
da_as_total_mw_thirty_minutes_reserve,1,gen_fuel_nuclear_mw,general,0.09377720206975937
da_as_total_mw_thirty_minutes_reserve,2,da_as_mcp_synchronized_reserve,general,0.08552655577659607
da_as_total_mw_thirty_minutes_reserve,3,da_as_mcp_primary_reserve,general,0.07721617072820663
da_as_total_mw_thirty_minutes_reserve,4,system_energy_price_da,general,0.07587506622076035
da_as_total_mw_thirty_minutes_reserve,5,gen_fuel_multiple_fuels_mw,general,0.07474079728126526
da_as_total_mw_thirty_minutes_reserve,6,gen_fuel_oil_pct,general,0.07101107388734818
da_as_total_mw_thirty_minutes_reserve,7,gen_fuel_multiple_fuels_pct,general,0.06804776191711426
da_as_total_mw_thirty_minutes_reserve,8,total_lmp_rt,general,0.06290987133979797
da_as_total_mw_thirty_minutes_reserve,9,gen_fuel_oil_mw,general,0.06091702729463577
da_as_total_mw_thirty_minutes_reserve,10,da_as_as_req_mw_synchronized_reserve,general,0.059624046087265015
da_as_total_mw_thirty_minutes_reserve,11,da_as_as_req_mw_primary_reserve,general,0.05860019102692604
da_as_total_mw_thirty_minutes_reserve,12,da_as_as_req_mw_thirty_minutes_reserve,general,0.0578761026263237
