Index,first_k,first_retention,final_k,final_retention,variant,avg_updates_continuation,avg_updates_restart,tune_recall,test_recall,all_recall
1,0,0.4,25,0.3,best_checkpoint_rank,10.0,10.0,0.8395969465107413,0.8472988377200666,0.8426535732696203
3,0,0.5,25,0.3,best_checkpoint_rank,12.5,12.5,0.8525831419730647,0.8694597675440134,0.8592809183915742
5,0,0.6,25,0.3,best_checkpoint_rank,15.0,15.0,0.8573708429013467,0.9089309342165189,0.8778333436717267
21,10,0.4,25,0.3,best_checkpoint_rank,16.0,20.0,0.8735488389825251,0.8940460438556543,0.8816835039881245
23,10,0.5,25,0.3,best_checkpoint_rank,17.5,22.5,0.8751447392919524,0.8964713903433484,0.8836085841463233
25,10,0.6,25,0.3,best_checkpoint_rank,19.0,25.0,0.8783365399108071,0.8988967368310425,0.8864962043836215
17,5,0.8,25,0.3,best_checkpoint_rank,21.0,25.0,0.8799324402202344,0.9013220833187365,0.8884212845418203
27,10,0.8,25,0.3,best_checkpoint_rank,22.0,30.0,0.8815283405296618,0.8988967368310425,0.8884212845418203
9,0,1.0,25,0.3,best_checkpoint_rank,25.0,25.0,0.8831242408390891,0.9013220833187365,0.8903463647000192
