Index,schedule,stages_json,n_stages,final_fraction,final_k,avg_updates_restart,avg_updates_continuation,tune_recall,test_recall,all_recall
396,K0@10%,"[[0, 0.1]]",1,0.1,0,0.0,0.0,0.6238383175664293,0.6080464911973397,0.617571062195062
400,K0@20% -> K5@10%,"[[0, 0.2], [5, 0.1]]",2,0.1,5,1.0,1.0,0.6466189078722216,0.6302074210212865,0.6401057296802442
405,K0@30% -> K1@20% -> K5@10%,"[[0, 0.3], [1, 0.2], [5, 0.1]]",3,0.1,5,1.3,1.1,0.6627969039533997,0.5931616008364752,0.6351609473961152
403,K0@30% -> K1@20% -> K10@10%,"[[0, 0.3], [1, 0.2], [10, 0.1]]",3,0.1,10,2.3,2.1,0.6691805051911089,0.5807020569633046,0.6340663254283837
407,K0@30% -> K10@10%,"[[0, 0.3], [10, 0.1]]",2,0.1,10,3.0,3.0,0.6707764055005363,0.6620697367960094,0.6673210156722914
422,K0@40% -> K1@30% -> K10@10%,"[[0, 0.4], [1, 0.3], [10, 0.1]]",3,0.1,10,3.4,3.0999999999999996,0.6723723058099637,0.6052883332749455,0.6457488882662087
527,K0@80% -> K1@30% -> K10@10%,"[[0, 0.8], [1, 0.3], [10, 0.1]]",3,0.1,10,3.8,3.5,0.673968206119391,0.6028629867872514,0.6457488882662087
426,K0@40% -> K10@10%,"[[0, 0.4], [10, 0.1]]",2,0.1,10,4.0,4.0,0.6771600067382456,0.6644950832837035,0.6721337160677885
564,K0@80% -> K5@30% -> K10@10%,"[[0, 0.8], [5, 0.3], [10, 0.1]]",3,0.1,10,7.0,5.5,0.678755907047673,0.6818053201322622,0.6799661185892156
401,K0@20% -> K50@10%,"[[0, 0.2], [50, 0.1]]",2,0.1,50,10.0,10.0,0.6805708003440051,0.7067244078786035,0.690950305125205
406,K0@30% -> K1@20% -> K50@10%,"[[0, 0.3], [1, 0.2], [50, 0.1]]",3,0.1,50,10.3,10.100000000000001,0.6935569958063287,0.6499430043575392,0.6762480401614501
