K,target_conf,n_sample,estimated_strong_count,recall_top30
0,congestion_price_da,6,6.0,1.0
0,da_as_total_mw_primary_reserve,16,34.41166666666667,0.5561259908622721
0,da_as_total_mw_synchronized_reserve,5,17.274444444444445,1.0
0,da_as_total_mw_thirty_minutes_reserve,104,355.6261111111111,0.8630974790939924
0,marginal_loss_price_da,7,25.41166666666667,0.9212959926542926
0,metered_load_mw,15,76.37222222222222,0.8
0,net_actual_interchange_mw,59,157.19555555555556,0.9045774548333286
0,total_gen,36,109.64666666666668,0.869814150503638
0,total_lmp_da,11,72.37222222222222,0.6055269824211253
0,total_losses,68,184.60722222222222,0.7803504738288197
1,congestion_price_da,6,6.0,0.8333333333333334
1,da_as_total_mw_primary_reserve,16,34.41166666666667,0.734473127653735
1,da_as_total_mw_synchronized_reserve,5,17.274444444444445,1.0
1,da_as_total_mw_thirty_minutes_reserve,104,355.6261111111111,0.7515024362353098
1,marginal_loss_price_da,7,25.41166666666667,0.6404319975514309
1,metered_load_mw,15,76.37222222222222,0.9065468829562814
1,net_actual_interchange_mw,59,157.19555555555556,0.9045774548333286
1,total_gen,36,109.64666666666668,0.869814150503638
1,total_lmp_da,11,72.37222222222222,0.7041452368158441
1,total_losses,68,184.60722222222222,0.7911842861570964
5,congestion_price_da,6,6.0,1.0
5,da_as_total_mw_primary_reserve,16,34.41166666666667,0.5851859027138728
5,da_as_total_mw_synchronized_reserve,5,17.274444444444445,1.0
5,da_as_total_mw_thirty_minutes_reserve,104,355.6261111111111,0.8944147020825555
5,marginal_loss_price_da,7,25.41166666666667,0.9212959926542926
5,metered_load_mw,15,76.37222222222222,0.8130937659125628
5,net_actual_interchange_mw,59,157.19555555555556,0.9173004608555515
5,total_gen,36,109.64666666666668,0.934907075251819
5,total_lmp_da,11,72.37222222222222,0.6055269824211255
5,total_losses,68,184.60722222222222,0.835262855371615
10,congestion_price_da,6,6.0,1.0
10,da_as_total_mw_primary_reserve,16,34.41166666666667,0.7925929513569364
10,da_as_total_mw_synchronized_reserve,5,17.274444444444445,1.0
10,da_as_total_mw_thirty_minutes_reserve,104,355.6261111111111,0.9000385860930722
10,marginal_loss_price_da,7,25.41166666666667,0.9212959926542926
10,metered_load_mw,15,76.37222222222222,0.8130937659125628
10,net_actual_interchange_mw,59,157.19555555555556,0.9300234668777744
10,total_gen,36,109.64666666666668,0.934907075251819
10,total_lmp_da,11,72.37222222222222,0.7041452368158441
10,total_losses,68,184.60722222222222,0.8128519108136496
25,congestion_price_da,6,6.0,1.0
25,da_as_total_mw_primary_reserve,16,34.41166666666667,0.7925929513569364
25,da_as_total_mw_synchronized_reserve,5,17.274444444444445,1.0
25,da_as_total_mw_thirty_minutes_reserve,104,355.6261111111111,0.8683355021737875
25,marginal_loss_price_da,7,25.41166666666667,1.0
25,metered_load_mw,15,76.37222222222222,0.8130937659125628
25,net_actual_interchange_mw,59,157.19555555555556,0.9618309819333315
25,total_gen,36,109.64666666666668,0.934907075251819
25,total_lmp_da,11,72.37222222222222,0.6055269824211253
25,total_losses,68,184.60722222222222,0.9342538061289285
50,congestion_price_da,6,6.0,1.0
50,da_as_total_mw_primary_reserve,16,34.41166666666667,1.0
50,da_as_total_mw_synchronized_reserve,5,17.274444444444445,1.0
50,da_as_total_mw_thirty_minutes_reserve,104,355.6261111111111,0.8767713281895626
50,marginal_loss_price_da,7,25.41166666666667,1.0
50,metered_load_mw,15,76.37222222222222,0.8130937659125628
50,net_actual_interchange_mw,59,157.19555555555556,0.9872769939777771
50,total_gen,36,109.64666666666668,0.934907075251819
50,total_lmp_da,11,72.37222222222222,0.6055269824211253
50,total_losses,68,184.60722222222222,0.9505045246213434
