tier,variant,max_k,avg_updates_continuation,avg_updates_restart,retention,n_keep,tune_recall,test_recall,population_recall,population_precision,enrichment_over_base_rate,note
old_k0,single_K0,0,0.0,0.0,0.3,3973,0.8170353491918538,0.8424481447446784,0.8271208501153978,0.21628758005425514,2.7572082906942685,旧K0发现基线
fast,single_K5,5,5.0,5.0,0.3,3973,0.8427887471295961,0.881919311417184,0.8583183783124748,0.22444556310652464,2.8612052862749597,快速发现：第一次硬筛选放到K5
balanced,single_K10,10,10.0,10.0,0.3,3973,0.858966743210774,0.8916206973679603,0.8719260213084983,0.22800388735072852,2.9065663796148375,均衡发现：K10后保留Top30%
high_assurance,best_rank_0_10_25,25,25.0,25.0,0.3,3973,0.8831242408390891,0.9186323201672952,0.8972162271423468,0.23461713790306796,2.9908713094068062,高保障发现上限：全体到K25，利用K0/K10/K25最佳排名救援
upper_bound,single_K50,50,50.0,50.0,0.3,3973,0.8911037423862258,0.9110234692695128,0.8990092254119137,0.23508599714741174,2.9968482711692386,较高成本参考上限
recall95,best_rank_0_10,10,10.0,10.0,0.6,7946,0.9628563069093616,0.9335172105281596,0.95121258660187,0.12436844533937413,1.5854341174119262,约95%召回档：K10后保留Top60%
recommended_hierarchy,"K10@60% -> K25@30% + best(K0,K10,K25)",25,19.0,25.0,0.3,3973,0.8783365399108071,0.8988967368310425,0.8864962043836215,0.23181391056296674,2.9551361013986113,推荐分层：K10宽进Top60%，保存状态续训K25，再缩到Top30%
