first_k,first_retention,final_k,final_retention,variant,avg_updates_continuation,avg_updates_restart,tune_recall,test_recall,all_recall
0,0.4,25,0.3,single_K25,10.0,10.0,0.8168163562049492,0.8472988377200666,0.8289138483849646
0,0.4,25,0.3,best_checkpoint_rank,10.0,10.0,0.8395969465107413,0.8472988377200666,0.8426535732696203
0,0.5,25,0.3,single_K25,12.5,12.5,0.8298025516672726,0.8694597675440134,0.8455411935069185
0,0.5,25,0.3,best_checkpoint_rank,12.5,12.5,0.8525831419730647,0.8694597675440134,0.8592809183915742
0,0.6,25,0.3,single_K25,15.0,15.0,0.8459805477484508,0.8916206973679603,0.8640936187870712
0,0.6,25,0.3,best_checkpoint_rank,15.0,15.0,0.8573708429013467,0.9089309342165189,0.8778333436717267
0,0.8,25,0.3,single_K25,20.0,20.0,0.8637544441390561,0.8964713903433484,0.8767387217039954
0,0.8,25,0.3,best_checkpoint_rank,20.0,20.0,0.8751447392919524,0.8964713903433484,0.8836085841463233
0,1.0,25,0.3,single_K25,25.0,25.0,0.8717339456861928,0.8988967368310425,0.8825139621785918
0,1.0,25,0.3,best_checkpoint_rank,25.0,25.0,0.8831242408390891,0.9013220833187365,0.8903463647000192
5,0.4,25,0.3,single_K25,13.0,15.0,0.8329943522861273,0.8694597675440134,0.8474662736651173
5,0.4,25,0.3,best_checkpoint_rank,13.0,15.0,0.8443846474390234,0.8891953508802662,0.8621685386288724
5,0.5,25,0.3,single_K25,15.0,17.5,0.8361861529049819,0.8743104605194015,0.8513164339815149
5,0.5,25,0.3,best_checkpoint_rank,15.0,17.5,0.847576448057878,0.8940460438556543,0.8660186989452701
5,0.6,25,0.3,single_K25,17.0,20.0,0.847576448057878,0.8743104605194015,0.8581862964238427
5,0.6,25,0.3,best_checkpoint_rank,17.0,20.0,0.858966743210774,0.8964713903433484,0.8738511014666971
5,0.8,25,0.3,single_K25,21.0,25.0,0.8685421450673381,0.8815864999824837,0.8737190195780653
5,0.8,25,0.3,best_checkpoint_rank,21.0,25.0,0.8799324402202344,0.9013220833187365,0.8884212845418203
5,1.0,25,0.3,single_K25,25.0,30.0,0.8717339456861928,0.8988967368310425,0.8825139621785918
5,1.0,25,0.3,best_checkpoint_rank,25.0,30.0,0.8831242408390891,0.9013220833187365,0.8903463647000192
10,0.4,25,0.3,single_K25,16.0,20.0,0.8507682486767327,0.8743104605194015,0.8601113765820416
10,0.4,25,0.3,best_checkpoint_rank,16.0,20.0,0.8735488389825251,0.8940460438556543,0.8816835039881245
10,0.5,25,0.3,single_K25,17.5,22.5,0.8637544441390561,0.8767358070070956,0.8689063191825682
10,0.5,25,0.3,best_checkpoint_rank,17.5,22.5,0.8751447392919524,0.8964713903433484,0.8836085841463233
10,0.6,25,0.3,single_K25,19.0,25.0,0.8669462447579107,0.8791611534947897,0.8717939394198665
10,0.6,25,0.3,best_checkpoint_rank,19.0,25.0,0.8783365399108071,0.8988967368310425,0.8864962043836215
10,0.8,25,0.3,single_K25,22.0,30.0,0.8701380453767654,0.8791611534947897,0.8737190195780653
10,0.8,25,0.3,best_checkpoint_rank,22.0,30.0,0.8815283405296618,0.8988967368310425,0.8884212845418203
10,1.0,25,0.3,single_K25,25.0,35.0,0.8717339456861928,0.8988967368310425,0.8825139621785918
10,1.0,25,0.3,best_checkpoint_rank,25.0,35.0,0.8831242408390891,0.9186323201672951,0.8972162271423468
