K_left,K_right,jaccard_top30,intersection
0,0,1.0,3973
0,1,0.6714345814051326,3192
0,5,0.7221499783268314,3332
0,10,0.701134660672233,3275
0,25,0.6707317073170732,3190
0,50,0.6420748088448026,3107
1,0,0.6714345814051326,3192
1,1,1.0,3973
1,5,0.67249000210482,3195
1,10,0.6547271970012495,3144
1,25,0.6206404242300633,3043
1,50,0.5987927565392354,2976
5,0,0.7221499783268314,3332
5,1,0.67249000210482,3195
5,5,1.0,3973
5,10,0.7973309206061977,3525
5,25,0.7467575291272808,3397
5,50,0.7073485174043833,3292
10,0,0.701134660672233,3275
10,1,0.6547271970012495,3144
10,5,0.7973309206061977,3525
10,10,1.0,3973
10,25,0.7860193301865588,3497
10,50,0.7482948294829483,3401
25,0,0.6707317073170732,3190
25,1,0.6206404242300633,3043
25,5,0.7467575291272808,3397
25,10,0.7860193301865588,3497
25,25,1.0,3973
25,50,0.8237319256369061,3589
50,0,0.6420748088448026,3107
50,1,0.5987927565392354,2976
50,5,0.7073485174043833,3292
50,10,0.7482948294829483,3401
50,25,0.8237319256369061,3589
50,50,1.0,3973
