variant,family,max_k,retention,tune_recall,test_recall,all_recall,weights
single_K0,single,0,0.1,0.6238383175664293,0.6080464911973397,0.617571062195062,
single_K0,single,0,0.2,0.7505084715708091,0.7932755921213966,0.7674813320699104,
single_K0,single,0,0.3,0.8170353491918538,0.8424481447446784,0.8271208501153978,
single_K0,single,0,0.4,0.8509872416636374,0.8472988377200666,0.8495234357119481,
single_K0,single,0,0.5,0.875363732278857,0.8867700043925721,0.8798905057185575,
single_K0,single,0,0.6,0.927308514128151,0.9262411710650775,0.9268849208471208,
single_K1,single,1,0.1,0.5978659266417824,0.5242534648769407,0.5686515669082999,
single_K1,single,1,0.2,0.7407140767273405,0.7143332587763858,0.730244399620973,
single_K1,single,1,0.3,0.8056450540389577,0.800551631584479,0.8036236425511163,
single_K1,single,1,0.4,0.8446036404259281,0.8202872149207316,0.8349532526368251,
single_K1,single,1,0.5,0.8787745258846165,0.8400227982569844,0.8633952424852357,
single_K1,single,1,0.6,0.89176072134694,0.8992295482657425,0.8947248525709445,
single_K5,single,5,0.1,0.6416122139570348,0.6374834604843689,0.6399736477916121,
single_K5,single,5,0.2,0.7698782682708419,0.7929427806866967,0.7790318130191031,
single_K5,single,5,0.3,0.8427887471295961,0.881919311417184,0.8583183783124748,
single_K5,single,5,0.4,0.8899458280506076,0.9065055877288248,0.8965178508405115,
single_K5,single,5,0.5,0.906123824131786,0.9113562807042129,0.9082004136783361,
single_K5,single,5,0.6,0.9305003147470057,0.9310918640404656,0.9307350811635184,
single_K10,single,10,0.1,0.678755907047673,0.6818053201322622,0.6799661185892156,
single_K10,single,10,0.2,0.8086178616709077,0.8175290569983376,0.8121544213743789,
single_K10,single,10,0.3,0.858966743210774,0.8916206973679603,0.8719260213084983,
single_K10,single,10,0.4,0.9125074253694954,0.913781627191907,0.9130131140738332,
single_K10,single,10,0.5,0.936883915984715,0.9162069736796011,0.9286779191166877,
single_K10,single,10,0.6,0.9514660117564657,0.9359425570158537,0.9453052642386416,
single_K25,single,25,0.1,0.6701194265398221,0.7285525262678499,0.6933095978079754,
single_K25,single,25,0.2,0.8473574550709733,0.8248050964614198,0.8384071672873267,
single_K25,single,25,0.3,0.8717339456861928,0.8988967368310425,0.8825139621785918,
single_K25,single,25,0.4,0.920486926916632,0.9037474298064306,0.9138435722643007,
single_K25,single,25,0.5,0.9448634175318517,0.9234830131426833,0.936378239749483,
single_K25,single,25,0.6,0.9448634175318517,0.9407932499912419,0.9432481021918107,
single_K50,single,50,0.1,0.6780989280869588,0.7628401885302671,0.711729941199496,
single_K50,single,50,0.2,0.8683231520804334,0.9061727762941247,0.8833444203690592,
