K,strength_bin,n_sample,estimated_count,recall_top30
0,非强,1870,12205.082222222221,0.22447474977181642
0,0.10–0.12,89,579.9777777777778,0.8523276753898618
0,0.12–0.15,127,317.2538888888888,0.8847960886566489
0,0.15–0.20,96,120.54888888888888,0.6907939609563662
0,>0.20,15,21.13722222222222,0.047309906168686106
1,非强,1870,12205.082222222221,0.23967888968657325
1,0.10–0.12,89,579.9777777777778,0.8400216483390169
1,0.12–0.15,127,317.2538888888888,0.8429543810863015
1,0.15–0.20,96,120.54888888888888,0.6576124025291721
1,>0.20,15,21.13722222222222,0.047309906168686106
5,非强,1870,12205.082222222221,0.22948067899583546
5,0.10–0.12,89,579.9777777777778,0.8646337024407066
5,0.12–0.15,127,317.2538888888888,0.9230532153532836
5,0.15–0.20,96,120.54888888888888,0.7748861688203956
5,>0.20,15,21.13722222222222,0.18923962467474442
10,非强,1870,12205.082222222221,0.22890714742328655
10,0.10–0.12,89,579.9777777777778,0.8892457565423962
10,0.12–0.15,127,317.2538888888888,0.9100124856187738
10,0.15–0.20,96,120.54888888888888,0.7997723376407913
10,>0.20,15,21.13722222222222,0.2365495308434305
25,非强,1870,12205.082222222221,0.22372610899612494
25,0.10–0.12,89,579.9777777777778,0.8769397294915515
25,0.12–0.15,127,317.2538888888888,0.955006242809387
25,0.15–0.20,96,120.54888888888888,0.7820432466311501
25,>0.20,15,21.13722222222222,0.5204089678555471
50,非强,1870,12205.082222222221,0.21436971520242845
50,0.10–0.12,89,579.9777777777778,0.8892457565423962
50,0.12–0.15,127,317.2538888888888,0.955006242809387
50,0.15–0.20,96,120.54888888888888,0.8649971426991354
50,>0.20,15,21.13722222222222,0.5204089678555471
