tier,schedule,stages_json,n_stages,final_fraction,final_k,avg_updates_restart,avg_updates_continuation,tune_recall,test_recall,all_recall,test_recall_ci_low,test_recall_ci_high
same_cost,K0@80% -> K5@30% -> K10@10%,"[[0, 0.8], [5, 0.3], [10, 0.1]]",3,0.1,10,7.0,5.5,0.678755907047673,0.6818053201322622,0.6799661185892156,0.5706678595778281,0.7880920877113083
balanced,K0@30% -> K1@20% -> K50@10%,"[[0, 0.3], [1, 0.2], [50, 0.1]]",3,0.1,50,10.3,10.100000000000001,0.6935569958063287,0.6499430043575392,0.6762480401614501,0.5263459999299345,0.7635058113996674
high_recall,K0@30% -> K1@20% -> K50@10%,"[[0, 0.3], [1, 0.2], [50, 0.1]]",3,0.1,50,10.3,10.100000000000001,0.6935569958063287,0.6499430043575392,0.6762480401614501,0.5263459999299345,0.7635058113996674
old_protocol,K0@30% -> K25@10%,"[[0, 0.3], [25, 0.1]]",2,0.1,25,7.5,7.5,0.6543794164324536,0.7164257938293797,0.6790035785101162,0.6000441952026646,0.8199544034860313
