schedule,stages_json,n_stages,final_fraction,final_k,avg_updates_restart,avg_updates_continuation,tune_recall,test_recall,all_recall
K0@5%,"[[0, 0.05]]",1,0.05,0,0.0,0.0,0.4354289868692869,0.37364483765000095,0.4109088945120242
K0@20% -> K1@5%,"[[0, 0.2], [1, 0.05]]",2,0.05,1,0.2,0.2,0.4062647953257853,0.34663321485066606,0.38259898655224556
K0@20% -> K10@5%,"[[0, 0.2], [10, 0.05]]",2,0.05,10,2.0,2.0,0.465970085735311,0.41520853937550034,0.4458245011368668
K0@20% -> K25@5%,"[[0, 0.2], [25, 0.05]]",2,0.05,25,5.0,5.0,0.4675659860447383,0.43251877622405893,0.453656903658294
K0@20% -> K5@5%,"[[0, 0.2], [5, 0.05]]",2,0.05,5,1.0,1.0,0.45479878356931974,0.4474036665849236,0.4518639053887271
K0@20% -> K50@5%,"[[0, 0.2], [50, 0.05]]",2,0.05,50,10.0,10.0,0.4805521815070618,0.47198994289656443,0.4771541112225756
K0@30% -> K1@5%,"[[0, 0.3], [1, 0.05]]",2,0.05,1,0.3,0.3,0.39327859986346186,0.3639434516992247,0.38163644647314615
K0@30% -> K1@20% -> K10@5%,"[[0, 0.3], [1, 0.2], [10, 0.05]]",3,0.05,10,2.3,2.1,0.49034657635053064,0.4103578464001122,0.45860168594242295
K0@30% -> K1@20% -> K25@5%,"[[0, 0.3], [1, 0.2], [25, 0.05]]",3,0.05,25,5.3,5.1000000000000005,0.46916188635416567,0.4103578464001122,0.44582450113686667
K0@30% -> K1@20% -> K5@5%,"[[0, 0.3], [1, 0.2], [5, 0.05]]",3,0.05,5,1.3,1.1,0.4677849790316431,0.4574378639704001,0.46367855011518394
K0@30% -> K1@20% -> K50@5%,"[[0, 0.3], [1, 0.2], [50, 0.05]]",3,0.05,50,10.3,10.100000000000001,0.49353837696938535,0.44982901307261763,0.4761915711434762
K0@30% -> K10@5%,"[[0, 0.3], [10, 0.05]]",2,0.05,10,3.0,3.0,0.4495730966672282,0.42005923235088843,0.4378600167268075
K0@30% -> K10@20% -> K25@5%,"[[0, 0.3], [10, 0.2], [25, 0.05]]",3,0.05,25,8.0,6.0,0.4625592921295516,0.4422201621748352,0.4544873618487614
K0@30% -> K10@20% -> K50@5%,"[[0, 0.3], [10, 0.2], [50, 0.05]]",3,0.05,50,13.0,11.0,0.47554548759187504,0.4841166753350348,0.4789471094921424
K0@30% -> K25@5%,"[[0, 0.3], [25, 0.05]]",2,0.05,25,7.5,7.5,0.46415519243897896,0.4422201621748352,0.4554499019278608
K0@30% -> K25@20% -> K50@5%,"[[0, 0.3], [25, 0.2], [50, 0.05]]",3,0.05,50,17.5,12.5,0.4787372882107297,0.4841166753350348,0.48087218965034123
K0@30% -> K5@5%,"[[0, 0.3], [5, 0.05]]",2,0.05,5,1.5,1.5,0.4579905841881744,0.4474036665849236,0.4537889855469259
K0@30% -> K5@20% -> K10@5%,"[[0, 0.3], [5, 0.2], [10, 0.05]]",3,0.05,10,3.5,2.5,0.4495730966672282,0.42005923235088843,0.4378600167268075
K0@30% -> K5@20% -> K25@5%,"[[0, 0.3], [5, 0.2], [25, 0.05]]",3,0.05,25,6.5,5.5,0.45936749151069695,0.4224845788385825,0.44472987916913537
K0@30% -> K5@20% -> K50@5%,"[[0, 0.3], [5, 0.2], [50, 0.05]]",3,0.05,50,11.5,10.5,0.4837439821259165,0.464381091998782,0.4760594892548442
K0@30% -> K50@5%,"[[0, 0.3], [50, 0.05]]",2,0.05,50,15.0,15.0,0.4787372882107297,0.4841166753350348,0.48087218965034123
K0@40% -> K1@5%,"[[0, 0.4], [1, 0.05]]",2,0.05,1,0.4,0.4,0.3964704004823165,0.3639434516992247,0.38356152663134496
