schedule,avg_updates_restart,avg_updates_continuation,tune_recall,test_recall,all_recall
K0@30% -> K25@10%,7.5,7.5,0.6543794164324536,0.7164257938293797,0.6790035785101162
K5@30% -> K25@10%,12.5,11.0,0.6671466189078722,0.7361613771656325,0.6945363016643387
K50@10%,50.0,50.0,0.6780989280869588,0.7628401885302671,0.711729941199496
