K,retention,n_keep,recall,precision,f1,enrichment
0,0.05,662,0.41090889451202434,0.6448648875461565,0.5019649522545345,8.220660723439956
0,0.1,1324,0.6175710621950621,0.48459634105404503,0.5430621087111698,6.1775763955524186
0,0.2,2649,0.7674813320699104,0.30100037750094377,0.4324120265395167,3.837116935422384
0,0.3,3973,0.827120850115398,0.21628758005425514,0.34290688461236624,2.7572082906942694
0,0.4,5298,0.8495234357119482,0.16658833522083805,0.2785534011803144,2.12364824133051
0,0.5,6622,0.8798905057185576,0.13804498473103125,0.23864866205470592,1.7597810114371153
0,0.6,7946,0.9268849208471208,0.12118766954722152,0.21434970158633737,1.5448859667378894
0,0.8,10595,0.9424176440013433,0.09241099050915001,0.16831723640245005,1.1780442923222079
0,0.9,11920,0.9668773916447243,0.08427064690529455,0.15502932086407076,1.0742721623274103
1,0.05,662,0.383561526631345,0.601946962067808,0.46855749771691885,7.673548124932831
1,0.1,1324,0.5686515669082999,0.4462101376300772,0.5000446717006187,5.688233649647677
1,0.2,2649,0.7302443996209733,0.2863963340463907,0.4114321059218602,3.6509463301548397
1,0.3,3973,0.8036236425511163,0.21014318874625948,0.3331654372267347,2.678880322664733
1,0.4,5298,0.8349532526368253,0.16373117738349904,0.27377592962298886,2.0872255337716337
1,0.5,6622,0.8633952424852358,0.13545706231752744,0.23417472754207286,1.7267904849704716
1,0.6,7946,0.8947248525709446,0.11698282853706966,0.20691242336231108,1.4912831547255967
1,0.8,10595,0.9239973006098227,0.09060474018142729,0.1650273348253946,1.1550184284357237
1,0.9,11920,0.9531376667600688,0.0830731263982103,0.152826290535578,1.0590063136384524
5,0.05,662,0.4557140657051248,0.7151804296743874,0.5566988018233294,9.117034873411894
5,0.1,1324,0.6399736477916124,0.5021752265861028,0.5627618584556007,6.401669933045404
5,0.2,2649,0.7790318130191033,0.30553038882597205,0.43891976381734227,3.8948649798508885
5,0.3,3973,0.8583183783124747,0.22444556310652458,0.35584072275726786,2.86120528627496
5,0.4,5298,0.8965178508405114,0.17580376242607273,0.2939625748655235,2.2411254089338875
5,0.5,6622,0.9082004136783361,0.14248649283533002,0.24632702841231957,1.8164008273566723
5,0.6,7946,0.9307350811635184,0.12169106748328998,0.21524008257789037,1.5513032236256783
5,0.8,10595,0.9619326093605953,0.09432457658224529,0.17180263914152924,1.2024384594970954
5,0.9,11920,0.9716900920402214,0.08469010999254288,0.1558009902404402,1.0796194277668367
10,0.05,662,0.44074763696410585,0.69169268210809,0.5384158617635185,8.817615866997913
10,0.1,1324,0.6799661185892157,0.5335565626049009,0.5979293020963723,6.801715464196052
10,0.2,2649,0.8121544213743791,0.3185208254687304,0.45758160431390676,4.0604655178113545
10,0.3,3973,0.8719260213084985,0.22800388735072855,0.3614821649552644,2.906566379614839
10,0.4,5298,0.9130131140738333,0.17903842120716412,0.29937126812088455,2.2823604535284727
10,0.5,6622,0.9286779191166876,0.14569918453639383,0.25188104819468976,1.8573558382333755
10,0.6,7946,0.9453052642386416,0.12359607908940906,0.2186095563107855,1.5755880845175647
10,0.8,10595,0.9648202295978935,0.09460772901263698,0.17231837254403454,1.2060480529301087
10,0.9,11920,0.9696329299933906,0.08451081282624906,0.15547114445256316,1.077333768861784
25,0.05,662,0.46796292295615316,0.7344033232628399,0.5716619655009779,9.36208602965452
25,0.1,1324,0.6933095978079755,0.54402693856999,0.6096629120494154,6.935190569009689
25,0.2,2649,0.838407167287327,0.3288169539868295,0.47237284755083125,4.191719336939736
25,0.3,3973,0.882513962178592,0.23077257599910508,0.365871702249261,2.9418612924976775
25,0.4,5298,0.9138435722643007,0.17920127091984395,0.29964357014784265,2.2844364422552657
25,0.5,6622,0.9363782397494829,0.14690727876774387,0.2539695708057027,1.872756479498966
25,0.6,7946,0.9432481021918108,0.12332711077551248,0.21813382080043767,1.572159308510992
25,0.8,10595,0.9657827696769931,0.09470211315610089,0.172490283678203,1.2072512507411135
25,0.9,11920,0.9715580101515895,0.0846785980611484,0.15577981220311093,1.0794726750375547
50,0.05,662,0.47649370177941575,0.7477912051023833,0.5820831368163332,9.532753151611152
50,0.1,1324,0.7117299411994962,0.5584810339039947,0.6258608706937657,7.119449653509161
50,0.2,2649,0.8833444203690594,0.3464410049914014,0.4976912596870381,4.41638863849295
50,0.3,3973,0.8990092254119137,0.23508599714741168,0.3727102909819838,2.996848271169239
50,0.4,5298,0.9352836177817516,0.1834055828195126,0.306673626470352,2.338032509230185
50,0.5,6622,0.955893205108735,0.1499689586898889,0.25926252526169624,1.91178641021747
50,0.6,7946,0.9765027924357184,0.1276750706155438,0.22582423928692355,1.6275865823079103
50,0.8,10595,0.9852977350362451,0.09661569922919616,0.17597568641728217,1.231645417916001
50,0.9,11920,0.9931301375576723,0.08655877143922446,0.15923869157112397,1.1034409011588768
