band,n,parent_error,pair_error,syn_error,s1_top30_rate
0.10–0.12,89,0.10425989882329881,0.1390618280078588,-0.03480192918456002,0.898876404494382
0.12–0.15,127,-0.033832532214367474,0.0016754236746960743,-0.03550795588906355,0.968503937007874
0.15–0.20,96,-0.12145735385517281,-0.04751029300192993,-0.07394706085324286,0.8125
>0.20,15,-0.31377167304356895,-0.04725002845128378,-0.26652164459228517,0.3333333333333333
