K,parent_true,parent_est,pair_true,pair_est,syn3_true,syn3_est_same_conf,s1,s2_any,negative_same_conf_count,s1_top30_count,s2_top20_count
0,0.5709681749343872,0.2134625395139058,0.27894227902094515,0.20900265375773108,0.29202589591344197,0.004459885756174768,0.02586292823155718,0.8245064496994019,11,1,9
1,0.5709681749343872,0.21043205261230466,0.27894227902094515,0.20392681757609046,0.29202589591344197,0.006505235036214187,0.022260030110677034,0.8349842508633931,10,1,9
5,0.5709681749343872,0.24288311402002968,0.27894227902094515,0.22055049339930213,0.29202589591344197,0.022332620620727568,0.038582424322764035,0.844071626663208,9,4,9
10,0.5709681749343872,0.2571965018908183,0.27894227902094515,0.2316922505696614,0.29202589591344197,0.0255042513211568,0.04336985747019447,0.8541174133618673,4,5,9
25,0.5709681749343872,0.3058295647303263,0.27894227902094515,0.2447756767272949,0.29202589591344197,0.06105388800303139,0.0782861272493998,0.8809128801027933,1,11,9
50,0.5709681749343872,0.3832429806391398,0.27894227902094515,0.2528411825497945,0.29202589591344197,0.13040179808934524,0.141189968585968,0.921378207206726,0,11,10
