K,family,s2_variant,target_budget,parameter,n_keep,budget,all_recall,all_precision,all_raw_hit,all_raw_strong,all_raw_recall,all_b10_12_recall,all_b10_12_raw_hit,all_b10_12_raw_n,all_b12_15_recall,all_b12_15_raw_hit,all_b12_15_raw_n,all_b15_20_recall,all_b15_20_raw_hit,all_b15_20_raw_n,all_b_gt20_recall,all_b_gt20_raw_hit,all_b_gt20_raw_n,tune_recall,tune_precision,tune_raw_hit,tune_raw_strong,tune_raw_recall,tune_b10_12_recall,tune_b10_12_raw_hit,tune_b10_12_raw_n,tune_b12_15_recall,tune_b12_15_raw_hit,tune_b12_15_raw_n,tune_b15_20_recall,tune_b15_20_raw_hit,tune_b15_20_raw_n,tune_b_gt20_recall,tune_b_gt20_raw_hit,tune_b_gt20_raw_n,test_recall,test_precision,test_raw_hit,test_raw_strong,test_raw_recall,test_b10_12_recall,test_b10_12_raw_hit,test_b10_12_raw_n,test_b12_15_recall,test_b12_15_raw_hit,test_b12_15_raw_n,test_b15_20_recall,test_b15_20_raw_hit,test_b15_20_raw_n,test_b_gt20_recall,test_b_gt20_raw_hit,test_b_gt20_raw_n
0,s1_only,none,0.05,0.0,662,0.049984898822108124,0.4109088945120242,0.6768219480207199,163,327,0.4984709480122324,0.39010785853864133,36,89,0.4109397135487351,69,127,0.5746585064611868,57,96,0.047309906168686106,1,15,0.435428986869287,0.6615167650176655,101,197,0.5126903553299492,0.4175065336408215,25,58,0.46320160873474986,42,71,0.57114961974481,34,58,0.0,0,10,0.37364483765000095,0.7057399828976301,62,130,0.47692307692307695,0.3367225032408937,11,31,0.35978988146182067,27,56,0.5795632859637103,23,38,0.2,1,5
0,force_fill,any,0.05,0.005,662,0.049984898822108124,0.3902993071850408,0.6733527130888999,160,327,0.4892966360856269,0.3531897773861068,33,89,0.40463561430820405,67,127,0.5746585064611868,57,96,0.14192971850605832,3,15,0.4044499020294532,0.633299320436198,100,197,0.5076142131979695,0.36164118679617496,22,58,0.46320160873474986,42,71,0.57114961974481,34,58,0.12393706751127484,2,10,0.36879414467461286,0.7526936425086762,60,130,0.46153846153846156,0.3367225032408937,11,31,0.34731582576516207,25,56,0.5795632859637103,23,38,0.2,1,5
0,force_fill,aligned,0.05,0.005,662,0.049984898822108124,0.3971691696273686,0.6911004166736454,161,327,0.4923547400611621,0.3531897773861068,33,89,0.42713249290351063,68,127,0.5829538960679853,58,96,0.09461981233737221,2,15,0.4044499020294532,0.6447994820967167,100,197,0.5076142131979695,0.36164118679617496,22,58,0.46320160873474986,42,71,0.585379543693772,35,58,0.06196853375563742,1,10,0.3861043815231715,0.780298120544394,61,130,0.46923076923076923,0.3367225032408937,11,31,0.39183087952487705,26,56,0.5795632859637103,23,38,0.2,1,5
0,force_fill,any,0.05,0.01,662,0.049984898822108124,0.36583955954165975,0.5737630538120653,153,327,0.46788990825688076,0.3162716962335722,30,89,0.3951794654474073,64,127,0.5663631168543882,56,96,0.14192971850605832,3,15,0.37847751110480626,0.5665639400310037,96,197,0.4873096446700508,0.32439762223307733,20,58,0.45045635103271986,40,71,0.57114961974481,34,58,0.12393706751127484,2,10,0.34663321485066606,0.5861212623827794,57,130,0.43846153846153846,0.30043861507220343,10,31,0.3410787979168327,24,56,0.5596724644727827,22,38,0.2,1,5
0,force_fill,aligned,0.05,0.01,662,0.049984898822108124,0.37174688190488814,0.6223187030588403,153,327,0.46788990825688076,0.3162716962335722,30,89,0.4176763440427139,65,127,0.5663631168543882,56,96,0.09461981233737221,2,15,0.3768816107953789,0.5739614290401547,95,197,0.48223350253807107,0.32439762223307733,20,58,0.45045635103271986,40,71,0.57114961974481,34,58,0.06196853375563742,1,10,0.3639434516992247,0.7174465643684541,58,130,0.4461538461538462,0.30043861507220343,10,31,0.38559385167654775,25,56,0.5596724644727827,22,38,0.2,1,5
0,force_fill,any,0.05,0.02,662,0.049984898822108124,0.3111448237803013,0.48778068953260467,133,327,0.40672782874617736,0.2547415609793479,25,89,0.3506182395102416,56,127,0.5082953896067985,49,96,0.14192971850605832,3,15,0.3201491280178031,0.47328527426436845,84,197,0.4263959390862944,0.2685322753884309,17,58,0.379482967379221,35,71,0.514229923948962,30,58,0.12393706751127484,2,10,0.2974606622273844,0.5135049637603625,49,130,0.3769230769230769,0.2278708387348229,8,31,0.32236771437184464,21,56,0.5,19,38,0.2,1,5
0,force_fill,aligned,0.05,0.02,662,0.049984898822108124,0.33464203134458287,0.5563717122576423,139,327,0.42507645259938837,0.2793536150810376,27,89,0.37626716772581387,58,127,0.5248861688203956,51,96,0.14192971850605832,3,15,0.34452561863302267,0.5232395617890382,87,197,0.4416243654822335,0.3057758399515285,19,58,0.38585559623023596,36,71,0.528459847897924,31,58,0.06196853375563742,1,10,0.3196215920513311,0.6207631997655235,52,130,0.4,0.2278708387348229,8,31,0.3668827681315597,22,56,0.5198908214909276,20,38,0.4,2,5
0,force_fill,any,0.05,0.03,662,0.049984898822108124,0.23487796061285993,0.3767448403161255,109,327,0.3333333333333333,0.17745699068929846,17,89,0.25791120676219714,45,127,0.45852305196600734,43,96,0.18923962467474442,4,15,0.2520263500873312,0.3922661235123976,72,197,0.36548223350253806,0.21005782072820195,13,58,0.26302671547628315,29,71,0.471540152102076,27,58,0.18590560126691227,3,10,0.20881694293159717,0.3512522381632329,37,130,0.2846153846153846,0.11393541936741144,4,31,0.2529045492188123,16,56,0.44032753552721726,16,38,0.2,1,5
0,force_fill,aligned,0.05,0.03,662,0.049984898822108124,0.26524503061946936,0.45109968860951055,116,327,0.3547400611620795,0.21609927583432317,21,89,0.28671218459803494,48,127,0.4668184415728059,44,96,0.14192971850605832,3,15,0.26501254554965464,0.40137477625308343,74,197,0.3756345177664975,0.23128871082533323,15,58,0.2693993443272982,30,71,0.485770076051038,28,58,0.06196853375563742,1,10,0.2655983464526613,0.5554453464682526,42,130,0.3230769230769231,0.18650319570479199,6,31,0.3036566308268566,18,56,0.44032753552721726,16,38,0.4,2,5
0,force_fill,any,0.05,0.05,662,0.049984898822108124,0.042748009146269715,0.07689451616409472,26,327,0.07951070336391437,0.03864228514502472,4,89,0.028368446582390208,9,127,0.0746585064611868,9,96,0.18923962467474442,4,15,0.04671909494720229,0.09010278358677266,17,197,0.08629441624365482,0.037243564563097645,2,58,0.03823577310609011,6,71,0.08537954369377204,6,58,0.18590560126691227,3,10,0.036713008750111166,0.05991011394069455,9,130,0.06923076923076923,0.04136764303003087,2,31,0.018711083544988027,3,56,0.05967246447278273,3,38,0.2,1,5
