indices,conf,K,est,best_pair_est,syn3_est,true_conf,parent_true,pair_true,syn3_true,source,weight,parent_error,pair_error,syn_error,error_identity_residual,s1,s1_conf,s2_any,s2_conf,s1_rank,s2_rank,s1_top30,s2_top20,s1_conf_matches_true,s2_conf_matches_true,true_strength
"(1, 11, 19)",net_actual_interchange_mw,0,0.1590359210968017,0.1780638694763183,-0.0190279483795166,net_actual_interchange_mw,0.6930403709411621,0.2383260130882263,0.4547143578529358,exact397,1.0,-0.5340044498443604,-0.06026214361190799,-0.4737423062324524,0.0,0.0173030495643615,da_as_total_mw_thirty_minutes_reserve,0.9708461761474608,metered_load_mw,8983.0,391.0,False,True,False,False,>0.20
"(1, 11, 19)",net_actual_interchange_mw,1,0.1421157121658325,0.1600261926651001,-0.0179104804992676,net_actual_interchange_mw,0.6930403709411621,0.2383260130882263,0.4547143578529358,exact397,1.0,-0.5509246587753296,-0.07829982042312619,-0.47262483835220337,0.0,0.0044143199920655,total_gen,0.9787834286689758,metered_load_mw,12987.0,51.0,False,True,False,False,>0.20
"(1, 11, 19)",net_actual_interchange_mw,5,0.1895790696144104,0.2018495202064514,-0.0122704505920409,net_actual_interchange_mw,0.6930403709411621,0.2383260130882263,0.4547143578529358,exact397,1.0,-0.5034613013267517,-0.0364764928817749,-0.4669848084449767,1.1102230246251565e-16,0.0170925259590148,da_as_total_mw_thirty_minutes_reserve,0.9706491231918336,metered_load_mw,10163.0,1749.0,False,True,False,False,>0.20
"(1, 11, 19)",net_actual_interchange_mw,10,0.2036613821983337,0.1991275548934936,0.0045338273048401,net_actual_interchange_mw,0.6930403709411621,0.2383260130882263,0.4547143578529358,exact397,1.0,-0.48937898874282837,-0.039198458194732694,-0.4501805305480957,0.0,0.0094683170318604,da_as_total_mw_thirty_minutes_reserve,0.9782706499099731,metered_load_mw,12367.0,975.0,False,True,False,False,>0.20
"(1, 11, 19)",net_actual_interchange_mw,25,0.3078214526176452,0.2040538191795349,0.1037676334381103,net_actual_interchange_mw,0.6930403709411621,0.2383260130882263,0.4547143578529358,exact397,1.0,-0.3852189183235169,-0.03427219390869138,-0.3509467244148255,5.551115123125783e-17,0.1037676334381103,net_actual_interchange_mw,0.9892861247062684,metered_load_mw,406.0,37.0,True,True,True,False,>0.20
"(1, 11, 19)",net_actual_interchange_mw,50,0.5335941314697266,0.2283858656883239,0.3052082657814027,net_actual_interchange_mw,0.6930403709411621,0.2383260130882263,0.4547143578529358,exact397,1.0,-0.15944623947143555,-0.0099401473999024,-0.1495060920715331,5.551115123125783e-17,0.3052082657814027,net_actual_interchange_mw,0.9864561557769777,metered_load_mw,2.0,162.0,True,True,True,False,>0.20
"(0, 10, 19)",net_actual_interchange_mw,0,0.1859192848205566,0.1956399083137512,-0.0097206234931945,net_actual_interchange_mw,0.7014484405517578,0.2771430015563965,0.4243054389953613,exact397,1.0,-0.5155291557312012,-0.08150309324264529,-0.4340260624885558,1.1102230246251565e-16,0.0057234168052673,da_as_total_mw_thirty_minutes_reserve,0.9552724361419678,metered_load_mw,12589.0,1992.0,False,True,False,False,>0.20
"(0, 10, 19)",net_actual_interchange_mw,1,0.1274237036705017,0.157301664352417,-0.0298779606819152,net_actual_interchange_mw,0.7014484405517578,0.2771430015563965,0.4243054389953613,exact397,1.0,-0.5740247368812561,-0.11984133720397949,-0.4541833996772765,1.1102230246251565e-16,0.0054932236671446,da_as_total_mw_synchronized_reserve,0.9606474041938782,metered_load_mw,12894.0,2073.0,False,True,False,False,>0.20
"(0, 10, 19)",net_actual_interchange_mw,5,0.1760212779045105,0.1823413372039795,-0.0063200592994689,net_actual_interchange_mw,0.7014484405517578,0.2771430015563965,0.4243054389953613,exact397,1.0,-0.5254271626472473,-0.09480166435241699,-0.43062549829483016,1.6653345369377348e-16,0.0103772282600402,total_gen,0.9812843203544616,metered_load_mw,12052.0,34.0,False,True,False,False,>0.20
"(0, 10, 19)",net_actual_interchange_mw,10,0.193770170211792,0.2125368118286132,-0.0187666416168212,net_actual_interchange_mw,0.7014484405517578,0.2771430015563965,0.4243054389953613,exact397,1.0,-0.5076782703399658,-0.06460618972778329,-0.44307208061218245,5.551115123125783e-17,0.0067929625511168,total_gen,0.986572265625,metered_load_mw,12876.0,5.0,False,True,False,False,>0.20
