cohort,K,n_triples,parent_true_mean,pair_true_mean,syn3_true_mean,parent_est_mean,pair_est_mean,syn3_same_conf_est_mean,s1_est_mean,parent_error_mean,pair_error_mean,syn_error_mean,negative_same_conf_rate,s1_top30_rate,s2_top20_rate,s1_conf_match_rate,s2_conf_match_rate
strong_gt_010,0,327,0.3264773045346577,0.20082245441180632,0.12565485012285135,0.3507688919940324,0.2869437422798122,0.06382514971422013,0.07140273205561265,0.024291587459374646,0.08612128786800585,-0.06182970040863124,0.07998494159520697,0.8271208501153978,0.26069649400123635,0.6359914055865826,0.018552425280152635
strong_gt_010,1,327,0.3264773045346577,0.20082245441180632,0.12565485012285135,0.34366572478678065,0.2817149289063252,0.06195079588045532,0.07308482320359708,0.01718842025212296,0.08089247449451897,-0.06370405424239603,0.124091736486472,0.8036236425511163,0.26069649400123623,0.6076814976268039,0.018552425280152635
strong_gt_010,5,327,0.3264773045346577,0.20082245441180632,0.12565485012285135,0.37357762931192795,0.30138384863781315,0.0721937806741147,0.07826434352664334,0.04710032477727017,0.10056139422600684,-0.053461069448736694,0.06445221844098452,0.8583183783124748,0.2685288965226635,0.7133528907217553,0.010720022758725424
strong_gt_010,10,327,0.3264773045346577,0.20082245441180632,0.12565485012285135,0.3866624481905767,0.3093217886367585,0.07734065955381825,0.08265622865522927,0.06018514365591902,0.1084993342249521,-0.04831419056903313,0.04397471300263307,0.8719260213084984,0.2704539766808623,0.7290176957646097,0.00975748267962602
strong_gt_010,25,327,0.3264773045346577,0.20082245441180632,0.12565485012285135,0.40559370952659124,0.3214092303085063,0.08418447921808488,0.088319260157594,0.07911640499193352,0.12058677589670001,-0.04147037090476648,0.014702264963755016,0.8825139621785918,0.2704539766808623,0.7482684973465978,0.00975748267962602
strong_gt_010,50,327,0.3264773045346577,0.20082245441180632,0.12565485012285135,0.42163159244654824,0.329180768770784,0.09245082367576422,0.09531772205371905,0.09515428791189054,0.12835831435897768,-0.03320402644708716,0.006869862442327806,0.8990092254119136,0.2674342745549322,0.7981505327124593,0.00975748267962602
extreme_gt_020,0,15,0.5368195993219076,0.2622480258605269,0.2745715734613807,0.20489408795077294,0.2078578482774703,-0.002963760326697376,0.019595992050681715,-0.3319255113711347,-0.054390177583056545,-0.2775353337880781,0.8107603753252556,0.047309906168686106,0.4257891555181749,0.09461981233737221,0.0
extreme_gt_020,1,15,0.5368195993219076,0.2622480258605269,0.2745715734613807,0.20191507227057914,0.20038937216103084,0.0015257001095483342,0.016278138951089396,-0.33490452705132845,-0.06185865369949603,-0.2730458733518324,0.7634504691565694,0.047309906168686106,0.4257891555181749,0.18923962467474442,0.047309906168686106
extreme_gt_020,5,15,0.5368195993219076,0.2622480258605269,0.2745715734613807,0.23774318898946417,0.22375994072883618,0.013983248260628035,0.02936200087846306,-0.2990764103324434,-0.0384880851316907,-0.2605883252007527,0.7161405629878834,0.18923962467474442,0.4257891555181749,0.2365495308434305,0.0
extreme_gt_020,10,15,0.5368195993219076,0.2622480258605269,0.2745715734613807,0.2511392775937211,0.2325157370395496,0.018623540554171418,0.03238137472624294,-0.2856803217281865,-0.02973228882097724,-0.25594803290720936,0.18923962467474442,0.2365495308434305,0.4257891555181749,0.18923962467474442,0.0
extreme_gt_020,25,15,0.5368195993219076,0.2622480258605269,0.2745715734613807,0.28809584718460285,0.2441709187195787,0.04392492846502412,0.05769353824886638,-0.24872375213730477,-0.018077107140948175,-0.23064664499635662,0.047309906168686106,0.5204089678555471,0.4257891555181749,0.3311693431808027,0.0
extreme_gt_020,50,15,0.5368195993219076,0.2622480258605269,0.2745715734613807,0.3479359760329417,0.2505373838906796,0.09739859214226203,0.10505440215116717,-0.18888362328896594,-0.011710641969847259,-0.17717298131911868,0.0,0.5204089678555471,0.473099061686861,0.7634504691565694,0.0
