confidential_field,model_r2,probe_r2,gap
total_gen,0.9820648,0.99832719588513,-0.016262412
total_lmp_da,0.9818608,0.99047564583207,-0.008614838
metered_load_mw,0.9809536,0.9962878493933236,-0.015334249
da_as_total_mw_primary_reserve,0.94888234,0.953601669814596,-0.004719317
da_as_total_mw_synchronized_reserve,0.9148958,0.920000100798808,-0.0051043034
da_as_total_mw_thirty_minutes_reserve,0.8247893,0.9141437178213236,-0.089354455
total_losses,0.8204022,0.9334742413917716,-0.11307204
net_actual_interchange_mw,0.7665044,0.9295984627394396,-0.16309404
gross_actual_interchange_mw,0.751104,0.8759973140166133,-0.12489331
marginal_loss_price_da,0.7491826,0.8816090434068973,-0.13242644
congestion_price_rt,0.63013047,0.6702083206524372,-0.040077865
congestion_price_da,0.61920124,0.6602494811248918,-0.04104823
