confidential_field,test_r2
total_gen,0.9820648431777954
total_lmp_da,0.9818608164787292
metered_load_mw,0.980953574180603
da_as_total_mw_primary_reserve,0.9488824605941772
da_as_total_mw_synchronized_reserve,0.9148959517478943
da_as_total_mw_thirty_minutes_reserve,0.82478928565979
total_losses,0.8204024434089661
net_actual_interchange_mw,0.7665045857429504
gross_actual_interchange_mw,0.7511037588119507
marginal_loss_price_da,0.7491830587387085
congestion_price_rt,0.6301313638687134
congestion_price_da,0.619200587272644
