confidential_field,test_r2
metered_load_mw,0.9908549785614014
total_gen,0.9875501394271851
total_lmp_da,0.9828934073448181
da_as_total_mw_primary_reserve,0.9515690207481384
da_as_total_mw_synchronized_reserve,0.9164848327636719
total_losses,0.8696011304855347
da_as_total_mw_thirty_minutes_reserve,0.8627602458000183
net_actual_interchange_mw,0.8532853126525879
marginal_loss_price_da,0.7802169322967529
gross_actual_interchange_mw,0.7785701751708984
congestion_price_rt,0.6170766353607178
congestion_price_da,0.5956361293792725
