confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.990855,0.9962878493933236,-0.005432844
total_gen,0.98755014,0.99832719588513,-0.010777056
total_lmp_da,0.98289347,0.99047564583207,-0.0075821877
da_as_total_mw_primary_reserve,0.9515689,0.953601669814596,-0.0020327568
da_as_total_mw_synchronized_reserve,0.91648483,0.920000100798808,-0.0035152435
total_losses,0.8696012,0.9334742413917716,-0.06387305
da_as_total_mw_thirty_minutes_reserve,0.8627602,0.9141437178213236,-0.051383555
net_actual_interchange_mw,0.85328525,0.9295984627394396,-0.0763132
marginal_loss_price_da,0.7802168,0.8816090434068973,-0.10139221
gross_actual_interchange_mw,0.77857053,0.8759973140166133,-0.09742677
congestion_price_rt,0.6170763,0.6702083206524372,-0.053132057
congestion_price_da,0.59563637,0.6602494811248918,-0.064613104
