field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.7214865684509277,-0.20811189428851185
gross_actual_interchange_mw,0.8759973140166133,0.7248280644416809,-0.15116924957493239
total_gen,0.99832719588513,0.983167827129364,-0.015159368755765956
metered_load_mw,0.9962878493933236,0.9882301688194275,-0.008057680573896109
total_losses,0.9334742413917716,0.8201955556869507,-0.11327868570482091
congestion_price_da,0.6602494811248918,0.41595983505249023,-0.24428964607240156
congestion_price_rt,0.6702083206524372,0.5425805449485779,-0.1276277757038593
marginal_loss_price_da,0.8816090434068973,0.7059776186943054,-0.17563142471259185
total_lmp_da,0.99047564583207,0.9688608646392822,-0.021614781192787813
da_as_total_mw_primary_reserve,0.953601669814596,0.9458198547363281,-0.007781815078267917
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9160030484199524,-0.0039970523788556145
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.7952304482460022,-0.11891326957532145
