confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.970178036019206,0.012895273976027966,True
da_as_total_mw_primary_reserve,0.9522764608263969,0.06598617881536484,True
total_gen,0.9382064156234264,0.028266437351703644,True
da_as_total_mw_synchronized_reserve,0.916344940662384,0.07045669853687286,True
total_lmp_da,0.8942172676324844,0.045942485332489014,True
total_losses,0.676826000213623,0.28371769189834595,True
marginal_loss_price_da,0.4831901788711548,0.28305402398109436,True
congestion_price_rt,0.4796130657196045,0.8504717350006104,True
da_as_total_mw_thirty_minutes_reserve,0.3926020860671997,0.4358882009983063,True
congestion_price_da,0.26781415939331055,1.2409815788269043,True
gross_actual_interchange_mw,-0.5567127466201782,0.9089015126228333,False
net_actual_interchange_mw,-1.9254083633422852,2.2747650146484375,False
