General字段,聚合推断能力q_i,q_to_total_gen,q_to_total_losses,q_to_metered_load_mw,q_to_da_as_total_mw_primary_reserve,q_to_da_as_total_mw_synchronized_reserve,q_to_da_as_total_mw_thirty_minutes_reserve,q_to_total_lmp_da,q_to_congestion_price_da,q_to_marginal_loss_price_da,q_to_congestion_price_rt,q_to_net_actual_interchange_mw,q_to_gross_actual_interchange_mw
gen_fuel_coal_mw,0.6487491130828857,0.661857008934021,0.3415603041648865,0.685509204864502,0.029801493510603905,0.02424539066851139,0.0,0.0,0.04998790845274925,0.08955025672912598,0.0,0.0,0.0
gen_fuel_gas_mw,0.7227729558944702,0.7888839840888977,0.17072686553001404,0.7222664952278137,0.16648246347904205,0.07158412039279938,0.0,0.022214874625205994,0.0507659986615181,0.19439132511615753,0.0,0.0,0.0
gen_fuel_hydro_mw,0.21505053341388702,0.09655418992042542,0.020033113658428192,0.2366182953119278,0.0,0.0,0.0,0.11085763573646545,0.03003389574587345,0.14670132100582123,0.0,0.0,0.0
gen_fuel_multiple_fuels_mw,0.08407822996377945,0.0,0.0,0.0,0.0,0.0,0.05687937140464783,0.0,0.0,0.0,0.09798786789178848,0.0,0.0
gen_fuel_nuclear_mw,0.31237173080444336,0.24576416611671448,0.3230117857456207,0.18127979338169098,0.2938587963581085,0.0,0.20462581515312195,0.0,0.0,0.12447977066040039,0.0,0.0,0.0
gen_fuel_oil_mw,0.3977866768836975,0.0,0.0,0.04564904421567917,0.0,0.0,0.0,0.44908031821250916,0.08982164412736893,0.2954026460647583,0.008850893937051296,0.0,0.0
gen_fuel_other_renewables_mw,0.2261824607849121,0.025849681347608566,0.2614741921424866,0.1441815048456192,0.0,0.0,0.0,0.004904130008071661,0.0,0.023948650807142258,0.0,0.0,0.0
gen_fuel_solar_mw,0.03553133085370064,0.0,0.04441416263580322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_fuel_storage_mw,0.12527132034301758,0.0,0.001561413868330419,0.0,0.0,0.0,0.0,0.15633349120616913,0.0,0.0,0.000483873940538615,0.0,0.0
gen_fuel_wind_mw,0.10727225244045258,0.0,0.131617471575737,0.0,0.0,0.019782762974500656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_fuel_coal_pct,0.24378055334091187,0.1556461602449417,0.24518035352230072,0.25462237000465393,0.04182592034339905,0.04694381356239319,0.0,0.07317794114351273,0.06251728534698486,0.1332443207502365,0.0,0.0,0.0
gen_fuel_gas_pct,0.07820231467485428,0.0,0.02850191667675972,0.0,0.01776042766869068,0.08949974179267883,0.0,0.03752331808209419,0.009041343815624714,0.02822837047278881,0.0,0.0,0.0
gen_fuel_hydro_pct,0.15802179276943207,0.0,0.024651547893881798,0.0,0.0,0.0,0.0,0.18258367478847504,0.014588402584195137,0.09489704668521881,0.0,0.0,0.0
gen_fuel_multiple_fuels_pct,0.16666541993618011,0.0,0.0,0.0,0.007465088274329901,0.0,0.19873827695846558,0.0,0.0,0.0,0.06928291916847229,0.0,0.0
gen_fuel_nuclear_pct,0.6443355679512024,0.6307979226112366,0.07881355285644531,0.6927006244659424,0.0,0.0,0.0,0.15137633681297302,0.03677118197083473,0.2709527909755707,0.0,0.0,0.0
gen_fuel_oil_pct,0.36003267765045166,0.0,0.0,0.0,0.0,0.0,0.0,0.4145330786705017,0.05431503802537918,0.22974710166454315,0.02599736861884594,0.0,0.0
gen_fuel_other_renewables_pct,0.2866985499858856,0.23722518980503082,0.0,0.3090074956417084,0.0,0.026926087215542793,0.0,0.042475078254938126,0.0181135181337595,0.15770044922828674,0.0,0.0,0.0
gen_fuel_solar_pct,0.07132752984762192,0.0,0.08915941417217255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_fuel_storage_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_fuel_wind_pct,0.03609907999634743,0.0,0.03367380425333977,0.0,0.0,0.038889382034540176,0.0,0.0,0.0,0.0162019282579422,0.0,0.0,0.0
forecast_load_mw_latest_available,0.9238477945327759,0.9281132817268372,0.4031340777873993,0.9884037971496582,0.05868716537952423,0.0,0.0,0.17414860427379608,0.08545977622270584,0.34228312969207764,0.0,0.0,0.0
forecast_load_mw_day_ahead,0.8716468214988708,0.8904203772544861,0.42928579449653625,0.9245952367782593,0.06633041799068451,0.0,0.0,0.09096015244722366,0.07218479365110397,0.28692737221717834,0.0,0.0,0.0
rmccp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rmpcp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_pjm_loc_credit,0.02184324339032173,0.0,0.0,0.026180487126111984,0.0,0.0,0.0,0.0,0.008988529443740845,0.0,0.0,0.0,0.0
total_pjm_reg_purchases,0.03887343406677246,0.0,0.048591792583465576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_pjm_self_sched_reg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_pjm_assigned_reg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_pjm_rmccp_cr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_pjm_rmpcp_cr,0.022500742226839066,0.0,0.0,0.0,0.0,0.028125926852226257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da_as_mcp_primary_reserve,0.2150885909795761,0.0,0.0,0.0,0.024976283311843872,0.0,0.0,0.26167452335357666,0.0,0.03251342475414276,0.0,0.0,0.0
da_as_mcp_synchronized_reserve,0.19885428249835968,0.0,0.0,0.0,0.0,0.0,0.0,0.24827392399311066,0.0022027171216905117,0.00014875215128995478,0.0,0.0,0.0
