name,anchor_count,strategy,hidden_dim,beta_lr,alpha_temperature,loss_mean,alpha_spread_mean,alpha_spread_std,unsup_corr_mean,unsup_mae_mean,all_gen_mae_mean,top5_jaccard_mean,alpha_Pearson_mean,alpha_Spearman_mean,alpha_Kendall_mean,alpha_NMI_mean,alpha_dCor_mean
"anchors=20,strategy=extreme,baseline",20,extreme,64,,1.0,0.00012856249789668558,0.04794275388121605,0.004058390855789185,0.5104456029093049,0.14852910488843918,0.09056849280993144,0.6666666666666666,0.17653238773345947,0.20446622371673584,0.22447514533996582,0.20116274058818817,0.1933634877204895
"anchors=20,strategy=quantile,baseline",20,quantile,64,,1.0,0.00027263200900051743,0.024816283956170082,0.0037477193400263786,0.5957445777068412,0.15192779898643494,0.09395390500624974,0.7777777777777777,0.19197799265384674,0.20783965289592743,0.2121131867170334,0.19706864655017853,0.1910005360841751
"anchors=30,strategy=extreme,baseline",30,extreme,64,,1.0,0.00018861824840617677,0.05681375786662102,0.018471907824277878,0.4622969526697985,0.11642830322186153,0.050291753063599266,1.0,0.18380455672740936,0.20588748157024384,0.20864732563495636,0.2282562255859375,0.17340445518493652
"anchors=30,strategy=quantile,baseline",30,quantile,64,,1.0,0.00014649755030404776,0.02348182536661625,0.0018771847244352102,0.4624375941043956,0.15867561101913452,0.0661278987924258,0.7777777777777777,0.19270825386047363,0.20698042213916779,0.21025027334690094,0.20037032663822174,0.1896906942129135
"anchors=40,strategy=extreme,baseline",40,extreme,64,,1.0,0.00020246468193363398,0.06341429799795151,0.007676233071833849,0.08719366640838329,0.14156062652667364,0.03461063342789809,0.5873015873015873,0.17337465286254883,0.18602608144283295,0.21648699045181274,0.23678897321224213,0.18732328712940216
"anchors=40,strategy=quantile,baseline",40,quantile,64,,1.0,0.0002241287778209274,0.04849417880177498,0.005338684190064669,0.5942583001062159,0.09932055821021397,0.027454855541388195,0.7777777777777777,0.1779838651418686,0.1897980123758316,0.21242742240428925,0.22201867401599884,0.1977720707654953
"anchors=49,strategy=extreme,baseline",49,extreme,64,,1.0,0.00042157569744934637,0.06212739646434784,0.00952921062707901,,0.0,0.015158556712170443,1.0,0.1770785003900528,0.19441191852092743,0.21294458210468292,0.23797215521335602,0.17759285867214203
"anchors=49,strategy=quantile,baseline",49,quantile,64,,1.0,0.00042157569744934637,0.06212739646434784,0.00952921062707901,,0.0,0.015158556712170443,1.0,0.1770785003900528,0.19441191852092743,0.21294458210468292,0.23797215521335602,0.17759285867214203
"anchors=20,quantile,beta_lr=0.01",20,quantile,64,0.01,1.0,0.000182208755480436,0.1254589557647705,0.018398083746433258,0.5944579053363498,0.15172466138998666,0.0932977373401324,0.7777777777777777,0.15601204335689545,0.24039703607559204,0.26196184754371643,0.1848231554031372,0.15680593252182007
"anchors=20,quantile,beta_lr=0.02",20,quantile,64,0.02,1.0,0.0002537849116682385,0.2585059702396393,0.03646916151046753,0.601306117307729,0.15413900713125864,0.09496093293031056,0.7777777777777777,0.10750216245651245,0.28688013553619385,0.3243699371814728,0.16434895992279053,0.11689881235361099
"anchors=20,quantile,beta_lr=0.05",20,quantile,64,0.05,1.0,0.0001641528457791234,0.5895093083381653,0.09908486902713776,0.6069753896094596,0.14729895194371542,0.09039995570977528,0.5873015873015873,0.01850721426308155,0.38395294547080994,0.48554643988609314,0.08974967151880264,0.02224372886121273
"anchors=20,quantile,temp=0.7",20,quantile,64,0.02,0.7,0.00016369776373418668,0.37486183643341064,0.055391825735569,0.6014340647555213,0.15266511340936026,0.09419411917527516,0.7777777777777777,0.0700322613120079,0.330443412065506,0.3750964403152466,0.14310379326343536,0.08132412284612656
"anchors=20,quantile,temp=0.5",20,quantile,64,0.02,0.5,0.00016723402950447053,0.5074175000190735,0.06808274984359741,0.6057466251838219,0.14808323482672373,0.09118820975224178,0.5079365079365079,0.03458246961236,0.3621697425842285,0.44964537024497986,0.11266868561506271,0.040933769196271896
"anchors=20,quantile,temp=0.3",20,quantile,64,0.02,0.3,0.00017899691010825336,0.6832029223442078,0.10980438441038132,0.597467832714783,0.15325535833835602,0.09464587271213531,0.6666666666666666,0.007215060293674469,0.39050599932670593,0.5254232883453369,0.06788524240255356,0.008970393799245358
"anchors=20,quantile,hidden=16,beta_lr=0.02,temp=0.5",20,quantile,16,0.02,0.5,0.00043821589012319845,0.7869701385498047,0.2046131193637848,0.5626658593278694,0.1328820213675499,0.08374251673618953,0.4484126984126984,0.004098312463611364,0.18069623410701752,0.7907242178916931,0.020179318264126778,0.004301901441067457
"anchors=20,quantile,hidden=32,beta_lr=0.02,temp=0.5",20,quantile,32,0.02,0.5,0.00022415210454103848,0.6328985691070557,0.0647505670785904,0.5668712517161336,0.16838517288366953,0.10309095680713654,0.7777777777777777,0.009006033651530743,0.3847721517086029,0.5440658926963806,0.05342777445912361,0.008728241547942162
