字段名称,安全分类,监督状态,标签来源,监督标签_y,全量伪风险分数_pseudo_y,预测R2推断能力_q,初始敏感传播分数_seed_propagation,GNN预测隐性风险值_y_hat
congestion_price_rt,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9998409748077393
total_lmp_da,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9996224641799927
congestion_price_da,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9996198415756226
net_actual_interchange_mw,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9995871186256409
total_losses,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9995673298835754
da_as_total_mw_thirty_minutes_reserve,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9990290403366089
marginal_loss_price_da,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9986903071403503
da_as_total_mw_synchronized_reserve,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9985735416412354
da_as_total_mw_primary_reserve,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.99834144115448
gross_actual_interchange_mw,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9974496960639954
metered_load_mw,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9945672750473022
total_gen,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9942725896835327
total_pjm_rmccp_cr,General,Unlabeled,unlabeled_general,,0.049260739237070084,0.0,0.14074496924877167,0.8461228013038635
forecast_load_mw_latest_available,General,Supervised,general_pseudo_high,0.7352811098098755,0.7352811098098755,0.9238477945327759,0.38508594036102295,0.7462690472602844
forecast_load_mw_day_ahead,General,Supervised,general_pseudo_high,0.6918643712997437,0.6918643712997437,0.8716468214988708,0.35798269510269165,0.7092554569244385
system_energy_price_da,General,Supervised,general_pseudo_high,0.6492360830307007,0.6492360830307007,0.8192704319953918,0.33345794677734375,0.6562941670417786
gen_fuel_gas_mw,General,Supervised,general_pseudo_high,0.5686520338058472,0.5686520338058472,0.7227729558944702,0.2824275493621826,0.5787304043769836
da_as_nsr_mw_primary_reserve,General,Supervised,general_pseudo_high,0.5617997646331787,0.5617997646331787,0.48547014594078064,0.7035547494888306,0.5671178102493286
gen_fuel_coal_mw,General,Supervised,general_pseudo_high,0.5493770241737366,0.5493770241737366,0.6487491130828857,0.36482882499694824,0.5592154860496521
gen_fuel_other_renewables_pct,General,Unlabeled,unlabeled_general,,0.3045792579650879,0.2866985499858856,0.3377862572669983,0.5496174693107605
gen_fuel_nuclear_pct,General,Supervised,general_pseudo_high,0.5303827524185181,0.5303827524185181,0.6443355679512024,0.3187560439109802,0.5388956665992737
gen_fuel_gas_pct,General,Unlabeled,unlabeled_general,,0.09966728091239929,0.07820231467485428,0.13953077793121338,0.4895872175693512
da_as_as_req_mw_synchronized_reserve,General,Supervised,general_pseudo_high,0.44633179903030396,0.44633179903030396,0.4945293366909027,0.35682213306427,0.4571528136730194
da_as_as_req_mw_primary_reserve,General,Supervised,general_pseudo_high,0.44539663195610046,0.44539663195610046,0.49309059977531433,0.3568221926689148,0.4557107090950012
gross_sched_interchange_mw,General,Unlabeled,unlabeled_general,,0.1940678060054779,0.051369525492191315,0.4590788781642914,0.4556716978549957
da_as_as_req_mw_thirty_minutes_reserve,General,Supervised,general_pseudo_high,0.4471728801727295,0.4471728801727295,0.49370983242988586,0.36074715852737427,0.4420572817325592
gen_fuel_nuclear_mw,General,Supervised,general_pseudo_high,0.41206279397010803,0.41206279397010803,0.31237173080444336,0.5972033739089966,0.4215066432952881
gen_fuel_hydro_mw,General,Unlabeled,unlabeled_general,,0.19370147585868835,0.21505053341388702,0.1540532112121582,0.4177764654159546
gen_fuel_wind_pct,General,Unlabeled,unlabeled_general,,0.06276138126850128,0.03609907999634743,0.1122770756483078,0.4146699905395508
gen_fuel_oil_pct,General,Unlabeled,unlabeled_general,,0.3002413511276245,0.36003267765045166,0.189200296998024,0.41265809535980225
gen_fuel_hydro_pct,General,Unlabeled,unlabeled_general,,0.14925183355808258,0.15802179276943207,0.13296477496623993,0.40040794014930725
da_as_mcp_synchronized_reserve,General,Unlabeled,unlabeled_general,,0.1986517310142517,0.19885428249835968,0.19827555119991302,0.39811983704566956
total_pjm_loc_credit,General,Unlabeled,unlabeled_general,,0.0754150003194809,0.02184324339032173,0.17490540444850922,0.3888210356235504
gen_fuel_wind_mw,General,Unlabeled,unlabeled_general,,0.06972695887088776,0.10727225244045258,0.0,0.3768347203731537
gen_fuel_oil_mw,General,Supervised,general_pseudo_high,0.3650180697441101,0.3650180697441101,0.3977866768836975,0.3041621148586273,0.3713979125022888
total_lmp_rt,General,Unlabeled,unlabeled_general,,0.30154213309288025,0.34965500235557556,0.2121897041797638,0.35324323177337646
gross_inadv_interchange_mw,General,Unlabeled,unlabeled_general,,0.26564058661460876,0.06615367531776428,0.6361162662506104,0.35309121012687683
gen_fuel_multiple_fuels_pct,General,Unlabeled,unlabeled_general,,0.16540585458278656,0.16666541993618011,0.16306665539741516,0.34952685236930847
gen_fuel_coal_pct,General,Supervised,general_pseudo_high,0.3410351872444153,0.3410351872444153,0.24378055334091187,0.5216509699821472,0.34943315386772156
marginal_loss_price_rt,General,Supervised,general_pseudo_high,0.3387949764728546,0.3387949764728546,0.32510361075401306,0.36422181129455566,0.3460603356361389
gen_fuel_other_renewables_mw,General,Unlabeled,unlabeled_general,,0.20830607414245605,0.2261824607849121,0.17510709166526794,0.32013022899627686
gen_fuel_multiple_fuels_mw,General,Unlabeled,unlabeled_general,,0.05465084686875343,0.08407822996377945,0.0,0.2744222581386566
da_as_mcp_primary_reserve,General,Unlabeled,unlabeled_general,,0.20466487109661102,0.2150885909795761,0.18530653417110443,0.18738098442554474
rmccp,General,Unlabeled,unlabeled_general,,0.04766412451863289,0.0,0.1361832171678543,0.17274492979049683
gen_fuel_storage_mw,General,Unlabeled,unlabeled_general,,0.14163614809513092,0.12527132034301758,0.17202800512313843,0.15030774474143982
da_as_ss_mw_primary_reserve,General,Unlabeled,unlabeled_general,,0.025561008602380753,0.03932463005185127,0.0,0.13602325320243835
da_as_ss_mw_synchronized_reserve,General,Unlabeled,unlabeled_general,,0.030676614493131638,0.047194793820381165,0.0,0.13602325320243835
da_as_ss_mw_thirty_minutes_reserve,General,Unlabeled,unlabeled_general,,0.0269553791731596,0.041469816118478775,0.0,0.13602325320243835
net_inadv_interchange_mw,General,Unlabeled,unlabeled_general,,0.06529698520898819,0.002756336936727166,0.18144391477108002,0.10453414916992188
gen_fuel_solar_mw,General,Unlabeled,unlabeled_general,,0.02309536375105381,0.03553133085370064,0.0,0.10338592529296875
total_pjm_rmpcp_cr,General,Unlabeled,unlabeled_general,,0.10924021154642105,0.022500742226839066,0.2703278064727783,0.06647346168756485
rmpcp,General,Unlabeled,unlabeled_general,,0.0471685528755188,0.0,0.1347672939300537,0.05615001916885376
total_pjm_assigned_reg,General,Unlabeled,unlabeled_general,,0.04810744524002075,0.0,0.13744984567165375,0.054924122989177704
gen_fuel_solar_pct,General,Unlabeled,unlabeled_general,,0.04636289179325104,0.07132752984762192,0.0,0.047009702771902084
total_pjm_reg_purchases,General,Unlabeled,unlabeled_general,,0.08171393722295761,0.03887343406677246,0.16127488017082214,0.03815491497516632
total_pjm_self_sched_reg,General,Supervised,general_pseudo_low,0.0,0.0,0.0,0.0,0.017022697255015373
gen_fuel_storage_pct,General,Supervised,general_pseudo_low,0.0,0.0,0.0,0.0,0.0003068855148740113
da_as_ircmwt2_thirty_minutes_reserve,General,Supervised,general_pseudo_low,0.0,0.0,0.0,0.0,0.0003068571095354855
da_as_ircmwt2_synchronized_reserve,General,Supervised,general_pseudo_low,0.0,0.0,0.0,0.0,0.0003068571095354855
da_as_ircmwt2_primary_reserve,General,Supervised,general_pseudo_low,0.0,0.0,0.0,0.0,0.0003068571095354855
da_as_mcp_thirty_minutes_reserve,General,Supervised,general_pseudo_low,0.0,0.0,0.0,0.0,0.0003068571095354855
