confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.9661153554916382,0.014667275361716747,True
da_as_total_mw_primary_reserve,0.9598472118377686,0.05559881031513214,True
total_gen,0.9551038146018982,0.02054273895919323,True
da_as_total_mw_synchronized_reserve,0.8785780668258667,0.10204222053289413,True
total_lmp_da,0.8779643774032593,0.053056731820106506,True
total_losses,0.6380773782730103,0.31790047883987427,True
congestion_price_rt,0.45876801013946533,0.8855419754981995,True
marginal_loss_price_da,0.4587593078613281,0.29680392146110535,True
da_as_total_mw_thirty_minutes_reserve,0.39862340688705444,0.4320881962776184,True
congestion_price_da,0.29429835081100464,1.1978899240493774,True
gross_actual_interchange_mw,0.12121111154556274,0.5137224793434143,True
net_actual_interchange_mw,-1.1760926246643066,1.6806118488311768,True
