epoch,train_loss,test_loss
1,0.0026519339459332237,0.0006860412540845573
2,0.0007290432143697993,0.0005350816645659506
3,0.0004435809958770052,0.000323042826494202
4,0.0003074560513318456,0.0003140638873446733
5,0.00022568411008803496,0.00018982218171004206
6,0.00017015380336070859,0.00034263584529981017
7,0.00012943370624918354,0.0001986059796763584
8,0.00010310356386057076,0.00016718816186767071
9,7.849126086829565e-05,0.00017750011465977877
10,6.228089886340621e-05,5.925727600697428e-05
11,5.276828736512163e-05,0.0001407336094416678
12,4.1582026833995044e-05,7.382480544038117e-05
13,3.3469692898570254e-05,6.032614328432828e-05
14,2.7179325887270842e-05,1.3804165064357221e-05
15,2.163966352637714e-05,8.929360774345696e-06
16,1.7305730911854832e-05,1.7014701370499097e-05
17,1.4197372205430591e-05,2.1087233108119108e-05
18,1.2617348452366544e-05,9.335770300822333e-06
19,1.1113347047212047e-05,1.7985765225603245e-05
20,1.0077128459879864e-05,3.336858299007872e-06
21,9.37825304595327e-06,8.217736649385188e-06
22,8.964770747423127e-06,1.705041177046951e-05
23,7.944953483590594e-06,2.170037623727694e-05
24,7.144457391805e-06,1.6135087207658216e-05
25,6.8683050084430655e-06,2.1829529941896908e-05
26,6.220883650939471e-06,5.109420271764975e-06
27,6.03239429293523e-06,4.3224659748375416e-05
28,5.72620485025375e-06,4.7488181735388935e-05
29,1.379842350842922e-05,0.00016731824143789709
30,1.357767581616406e-05,6.054881669115275e-05
31,5.749150523036169e-06,5.9150992456125095e-05
32,4.056169093041201e-06,5.2216862968634814e-05
33,2.9797453607009344e-06,4.1917293856386095e-05
34,3.2554137297915073e-06,3.772281706915237e-05
35,2.034519928854277e-06,6.9843840719840955e-06
36,2.1073181724093808e-06,1.784287996997591e-05
37,2.674415874227307e-06,1.8571656255517155e-05
38,2.1218690896538145e-06,7.26932694306015e-06
39,2.0661457315732172e-06,9.356753594147449e-08
40,2.116564152688633e-06,3.1052711619850015e-06
41,1.7209269038733115e-06,7.428932804032229e-06
42,2.214153761741748e-06,2.3659851649426855e-05
43,1.7756218791919864e-06,2.3638583570573246e-06
44,2.2387806811138545e-06,1.0284711606800556e-05
45,2.3467756103264753e-06,1.480572109358036e-07
46,1.6444858943627378e-06,5.524988864635816e-06
47,2.165797086744744e-06,9.076512128558534e-07
48,2.103412317850071e-06,3.2714431199565297e-06
49,2.000041914243808e-06,1.7795313169699511e-06
50,1.8804726725225715e-06,1.0384933375462424e-06
51,1.9628213441529682e-06,1.1196613769470787e-07
52,1.9218232578557556e-06,2.8668316076618794e-07
53,1.6412222410756159e-06,5.1700673964205635e-08
54,2.027680549529611e-06,2.0188576854707208e-06
55,1.6966224098964877e-06,8.550362622372631e-07
56,1.7373566304321927e-06,2.4715535573704983e-07
57,1.6906612030617548e-06,1.4305972229067265e-07
58,1.8271173890502048e-06,8.50850824463123e-07
59,1.6159916947920133e-06,4.869075382885057e-07
60,1.52818558869606e-06,5.495963364410272e-07
61,1.3523836208708022e-06,3.6793896924791625e-06
62,1.2854262278833026e-06,9.633814102016913e-08
63,1.563396941939706e-06,6.237662120156529e-08
64,1.4233494564041948e-06,5.258791020423814e-07
65,1.4336740952172797e-06,9.860655580951061e-08
66,1.3252831576468878e-06,5.3476735928370545e-08
67,1.3267614631125184e-06,1.9036909293390636e-07
68,1.4229693023009237e-06,2.2498982232832532e-08
69,1.1346041933305982e-06,2.43723761172987e-08
70,1.0990383254408855e-06,2.5409786985619576e-07
71,1.1179546521797471e-06,1.437479681953846e-07
72,9.653759772201236e-07,1.049483842052723e-07
73,9.050111635194471e-07,7.098314114273307e-08
74,8.416778038528154e-07,2.9208282015247278e-08
75,8.017668038951065e-07,5.081223619640696e-08
76,7.777827101799662e-07,1.114610981289843e-08
77,7.136001293785793e-07,1.3164263634735107e-07
78,6.706358911257522e-07,1.3938400655888472e-08
79,6.297357983193097e-07,1.3457802872096636e-08
80,5.877765785960019e-07,1.0917884374350706e-08
81,5.430665151655187e-07,1.3652150521181738e-08
82,5.087297868070904e-07,9.683034818408487e-09
83,4.800614405280652e-07,1.0214397327956704e-08
84,4.47407362285834e-07,1.9063959300069655e-08
85,4.231560167568403e-07,2.131935161742149e-08
86,3.9391875718747683e-07,1.4682806970256479e-08
87,3.825911044930169e-07,2.5854275165215768e-08
88,3.531775775986978e-07,2.002064647399493e-08
89,3.282201590321643e-07,1.5310540391055838e-08
90,3.0335820333302655e-07,2.9906928489253914e-08
91,2.653758260756809e-07,4.046155055448253e-08
92,2.346901787091846e-07,2.3839827889560183e-08
93,1.956700229092734e-07,1.933770832351911e-08
94,1.6088022507284678e-07,1.7273050545441038e-08
95,1.2947725703771186e-07,1.614491651480421e-08
96,9.946903019073965e-08,1.5658025986908797e-08
97,7.725310667224562e-08,1.4849149465590017e-08
98,5.77300405222954e-08,1.0646492576427136e-08
99,4.271462888029187e-08,9.007618650969107e-09
100,3.0731722348991515e-08,6.133357377535731e-09
101,2.163606710740067e-08,4.680349885433088e-09
102,1.5146431467591546e-08,3.4501117518459523e-09
103,1.0247164651036913e-08,2.681591615427692e-09
104,6.89414715271242e-09,1.702796903479964e-09
105,4.5634799828855984e-09,1.3126857378864543e-09
106,2.9786901260454126e-09,9.89138770890463e-10
107,1.9541260324060137e-09,7.015608094462777e-10
108,1.2881884486786193e-09,4.67731575692909e-10
109,8.234868811672423e-10,3.636065892820284e-10
110,5.347406408985901e-10,2.704925727847751e-10
111,3.551667792037616e-10,1.751335049204883e-10
112,2.332595082523478e-10,1.3666665021894175e-10
113,1.5582395006857284e-10,9.473172246643458e-11
114,1.0416631486259447e-10,7.132983093072198e-11
115,6.981312117990992e-11,5.531514482570721e-11
116,4.770151732286687e-11,4.1326313898748523e-11
117,3.280267968732251e-11,3.0171670717393795e-11
118,2.2982579420626634e-11,2.401014283226477e-11
119,1.6423206175365653e-11,1.8384571642826586e-11
120,1.172249367032871e-11,1.5081030174668442e-11
121,8.567128778739705e-12,1.07899973678105e-11
122,6.336391300064863e-12,8.846898907899359e-12
123,4.74525982622681e-12,7.01281480802729e-12
124,3.595962542439246e-12,5.5077479035881005e-12
125,2.735052075684056e-12,4.424234416322559e-12
126,2.110792862343224e-12,3.3524222894237843e-12
