target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,7,0.09697806090116501,0.09384004026651382,0.12523822486400604,0.5151604413986206,0.1687832623720169
gross_actual_interchange_mw,10,0.1869061291217804,0.18253977596759796,0.17536917328834534,0.2796526253223419,0.17553232610225677
total_gen,23,0.1961011439561844,0.19619670510292053,0.19676537811756134,0.2157178521156311,0.19521884620189667
metered_load_mw,21,0.19168585538864136,0.1917559951543808,0.19812849164009094,0.2266569584608078,0.1917726844549179
total_losses,14,0.17648346722126007,0.15693959593772888,0.15833213925361633,0.34859830141067505,0.15964649617671967
congestion_price_da,4,0.18773485720157623,0.20793300867080688,0.20317405462265015,0.20735637843608856,0.1938016712665558
congestion_price_rt,9,0.19223274290561676,0.19040387868881226,0.19225504994392395,0.21233296394348145,0.21277537941932678
marginal_loss_price_da,16,0.1938149631023407,0.1896912008523941,0.20378173887729645,0.22219760715961456,0.19051451981067657
total_lmp_da,25,0.1935930699110031,0.1813187599182129,0.20476628839969635,0.23798111081123352,0.18234075605869293
da_as_total_mw_primary_reserve,8,0.24434074759483337,0.1796262562274933,0.2295500934123993,0.17103779315948486,0.17544512450695038
da_as_total_mw_synchronized_reserve,7,0.17870108783245087,0.17603090405464172,0.19116906821727753,0.2760782241821289,0.1780206859111786
da_as_total_mw_thirty_minutes_reserve,15,0.19433584809303284,0.1962772011756897,0.19770650565624237,0.2201482504606247,0.191532164812088
