source,target,raw_weight,normalized_weight,pearson,spearman,kendall,nmi,distance_corr
da_as_ss_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,1.0,0.1675485074520111,1.0,1.0,1.0,1.0,1.0
da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,1.0,0.10258031636476517,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_thirty_minutes_reserve,da_as_ss_mw_synchronized_reserve,1.0,0.16643966734409332,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,1.0,0.16643966734409332,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.0,0.17768923938274384,1.0,1.0,1.0,1.0,1.0
da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_primary_reserve,1.0,0.10319359600543976,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,1.0,0.1675485074520111,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.0,0.17768923938274384,1.0,1.0,1.0,1.0,1.0
forecast_load_mw_day_ahead,forecast_load_mw_latest_available,0.9878339767456055,0.06045011430978775,0.9965932369232178,0.9961020946502686,0.9523078799247742,0.9993445873260498,0.9955535531044006
forecast_load_mw_latest_available,forecast_load_mw_day_ahead,0.9878339767456055,0.0570988729596138,0.9965932369232178,0.9961020946502686,0.9523078799247742,0.9993445873260498,0.9955535531044006
total_lmp_da,system_energy_price_da,0.9795014262199402,0.06072111055254936,0.99198317527771,0.989940881729126,0.9306801557540894,1.0,0.9854230880737305
system_energy_price_da,total_lmp_da,0.9795014262199402,0.06050748750567436,0.99198317527771,0.989940881729126,0.9306801557540894,1.0,0.9854230880737305
metered_load_mw,forecast_load_mw_latest_available,0.9746780395507812,0.057069212198257446,0.9960657358169556,0.9957982301712036,0.9456144571304321,0.9454559087753296,0.9943810701370239
forecast_load_mw_latest_available,metered_load_mw,0.9746780395507812,0.05633843317627907,0.9960657358169556,0.9957982301712036,0.9456144571304321,0.9454559087753296,0.9943810701370239
da_as_as_req_mw_thirty_minutes_reserve,da_as_as_req_mw_primary_reserve,0.9689850211143494,0.1070794090628624,0.9879782795906067,0.9642140865325928,0.9018467664718628,1.0,0.9912034273147583
da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,0.9689850211143494,0.09939879179000854,0.9879782795906067,0.9642140865325928,0.9018467664718628,1.0,0.9912034273147583
rmccp,total_pjm_rmccp_cr,0.9683517217636108,0.0863458588719368,0.995155394077301,0.9799516797065735,0.8872004747390747,1.0,0.9803085923194885
total_pjm_rmccp_cr,rmccp,0.9683517217636108,0.07890698313713074,0.995155394077301,0.9799516797065735,0.8872004747390747,1.0,0.9803085923194885
da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,0.9674233198165894,0.09983188658952713,0.9881417155265808,0.9616758227348328,0.8968601226806641,1.0,0.9907432198524475
da_as_as_req_mw_thirty_minutes_reserve,da_as_as_req_mw_synchronized_reserve,0.9674233198165894,0.10690683126449585,0.9881417155265808,0.9616758227348328,0.8968601226806641,1.0,0.9907432198524475
gen_fuel_oil_pct,gen_fuel_oil_mw,0.9599601626396179,0.07584775239229202,0.9783535003662109,0.9614430665969849,0.8800646662712097,1.0,0.9801861643791199
gen_fuel_oil_mw,gen_fuel_oil_pct,0.9599601626396179,0.0649643987417221,0.9783535003662109,0.9614430665969849,0.8800646662712097,1.0,0.9801861643791199
forecast_load_mw_day_ahead,metered_load_mw,0.9281774163246155,0.05679945647716522,0.9905023574829102,0.9889627695083618,0.9134086966514587,0.7750963568687439,0.9867867827415466
metered_load_mw,forecast_load_mw_day_ahead,0.9281774163246155,0.054346516728401184,0.9905023574829102,0.9889627695083618,0.9134086966514587,0.7750963568687439,0.9867867827415466
marginal_loss_price_rt,total_lmp_rt,0.9211388230323792,0.05366811528801918,0.9694033265113831,0.9323354363441467,0.7806594371795654,1.0,0.9222923517227173
total_lmp_rt,marginal_loss_price_rt,0.9211388230323792,0.05613946169614792,0.9694033265113831,0.9323354363441467,0.7806594371795654,1.0,0.9222923517227173
gen_fuel_solar_pct,gen_fuel_solar_mw,0.917594313621521,0.1682858020067215,0.9778560400009155,0.9397060871124268,0.8470951914787292,0.8455051183700562,0.9870548844337463
gen_fuel_solar_mw,gen_fuel_solar_pct,0.917594313621521,0.17080354690551758,0.9778560400009155,0.9397060871124268,0.8470951914787292,0.8455051183700562,0.9870548844337463
total_gen,metered_load_mw,0.914642870426178,0.0544251911342144,0.9897801280021667,0.9855558276176453,0.8982874751091003,0.7316290140151978,0.9844352602958679
metered_load_mw,total_gen,0.914642870426178,0.05355404317378998,0.9897801280021667,0.9855558276176453,0.8982874751091003,0.7316290140151978,0.9844352602958679
