数据集,比例,K,tau,full_critical数,recall,precision,漏判数
pjm,10%,0,0.5,27,0.8888888888888888,1.0,3
pjm,10%,0,0.7,11,1.0,1.0,0
pjm,10%,0,0.9,5,1.0,1.0,0
pjm,10%,1,0.5,194,0.788659793814433,0.9683544303797469,41
pjm,10%,1,0.7,83,0.7951807228915663,1.0,17
pjm,10%,1,0.9,35,0.7714285714285715,1.0,8
pjm,10%,2,0.5,374,0.7620320855614974,0.9965034965034965,89
pjm,10%,2,0.7,223,0.5650224215246636,0.9473684210526315,97
pjm,10%,2,0.9,84,0.7857142857142857,1.0,18
pjm,25%,0,0.5,27,1.0,1.0,0
pjm,25%,0,0.7,11,1.0,1.0,0
pjm,25%,0,0.9,5,1.0,1.0,0
pjm,25%,1,0.5,194,0.8505154639175257,0.9939759036144579,29
pjm,25%,1,0.7,83,0.9036144578313253,1.0,8
pjm,25%,1,0.9,35,0.9142857142857143,1.0,3
pjm,25%,2,0.5,374,0.8689839572192514,0.9938837920489296,49
pjm,25%,2,0.7,223,0.8071748878923767,0.8910891089108911,43
pjm,25%,2,0.9,84,0.9285714285714286,1.0,6
pjm,50%,0,0.5,27,0.8888888888888888,1.0,3
pjm,50%,0,0.7,11,1.0,1.0,0
pjm,50%,0,0.9,5,1.0,1.0,0
pjm,50%,1,0.5,194,0.9484536082474226,0.8888888888888888,10
pjm,50%,1,0.7,83,0.963855421686747,1.0,3
pjm,50%,1,0.9,35,1.0,1.0,0
pjm,50%,2,0.5,374,0.8983957219251337,0.9795918367346939,38
pjm,50%,2,0.7,223,0.8923766816143498,0.8844444444444445,24
pjm,50%,2,0.9,84,0.9047619047619048,1.0,8
pjm,100%,0,0.5,27,1.0,1.0,0
pjm,100%,0,0.7,11,1.0,1.0,0
pjm,100%,0,0.9,5,1.0,1.0,0
pjm,100%,1,0.5,194,1.0,1.0,0
pjm,100%,1,0.7,83,1.0,1.0,0
pjm,100%,1,0.9,35,1.0,1.0,0
pjm,100%,2,0.5,374,1.0,1.0,0
pjm,100%,2,0.7,223,1.0,1.0,0
pjm,100%,2,0.9,84,1.0,1.0,0
caiso,10%,0,0.5,43,0.9534883720930233,1.0,2
caiso,10%,0,0.7,18,1.0,1.0,0
caiso,10%,0,0.9,3,1.0,1.0,0
caiso,10%,1,0.5,203,0.8374384236453202,0.9770114942528736,33
caiso,10%,1,0.7,136,0.9191176470588235,1.0,11
caiso,10%,1,0.9,12,0.8333333333333334,1.0,2
caiso,10%,2,0.5,341,0.8885630498533724,0.9869706840390879,38
caiso,10%,2,0.7,216,0.8055555555555556,1.0,42
caiso,10%,2,0.9,104,0.7403846153846154,1.0,27
caiso,25%,0,0.5,43,0.9767441860465116,1.0,1
caiso,25%,0,0.7,18,1.0,1.0,0
caiso,25%,0,0.9,3,1.0,1.0,0
caiso,25%,1,0.5,203,0.9605911330049262,0.9330143540669856,8
caiso,25%,1,0.7,136,0.9852941176470589,1.0,2
caiso,25%,1,0.9,12,0.9166666666666666,1.0,1
caiso,25%,2,0.5,341,0.9589442815249267,0.990909090909091,14
caiso,25%,2,0.7,216,0.9305555555555556,0.995049504950495,15
caiso,25%,2,0.9,104,0.8173076923076923,0.9239130434782609,19
caiso,50%,0,0.5,43,1.0,1.0,0
caiso,50%,0,0.7,18,1.0,1.0,0
caiso,50%,0,0.9,3,1.0,1.0,0
caiso,50%,1,0.5,203,0.9852216748768473,1.0,3
caiso,50%,1,0.7,136,0.9926470588235294,1.0,1
caiso,50%,1,0.9,12,1.0,1.0,0
caiso,50%,2,0.5,341,0.9824046920821115,0.9911242603550295,6
caiso,50%,2,0.7,216,0.9675925925925926,0.990521327014218,7
caiso,50%,2,0.9,104,0.9519230769230769,0.9705882352941176,5
caiso,100%,0,0.5,43,1.0,1.0,0
caiso,100%,0,0.7,18,1.0,1.0,0
caiso,100%,0,0.9,3,1.0,1.0,0
caiso,100%,1,0.5,203,1.0,1.0,0
caiso,100%,1,0.7,136,1.0,1.0,0
caiso,100%,1,0.9,12,1.0,1.0,0
caiso,100%,2,0.5,341,1.0,1.0,0
caiso,100%,2,0.7,216,1.0,1.0,0
caiso,100%,2,0.9,104,1.0,1.0,0
