数据集,比例,n_aux,K,M均值,M相对full,Kendall对full,档位一致对full
pjm,10%,459,0,0.11538063734769821,0.854592502117157,0.8184236541523725,0.8821138211382114
pjm,10%,459,1,0.2089661806821823,0.9229432940483093,0.8168564958680736,0.8434959349593496
pjm,10%,459,2,0.2816840410232544,1.0772680044174194,0.6973162032042998,0.7764227642276422
pjm,25%,1147,0,0.12522782385349274,0.927527904510498,0.8493312308823113,0.9369918699186992
pjm,25%,1147,1,0.2259770929813385,0.9980756044387817,0.8892289649801232,0.8882113821138211
pjm,25%,1147,2,0.2938166856765747,1.1236679553985596,0.7906166217754406,0.8211382113821138
pjm,50%,2294,0,0.13145633041858673,0.9736607074737549,0.928957759516413,0.9817073170731707
pjm,50%,2294,1,0.2228093147277832,0.98408442735672,0.9324930929806879,0.9573170731707317
pjm,50%,2294,2,0.2675012946128845,1.023027777671814,0.8987220923897331,0.9065040650406504
pjm,100%,4589,0,0.1350124627351761,1.0,1.0,1.0
pjm,100%,4589,1,0.2264128029346466,1.0,1.0,1.0
pjm,100%,4589,2,0.2614800035953522,1.0,1.0,1.0
caiso,10%,610,0,0.16462475061416626,0.9270665049552917,0.9145428559865554,0.9227642276422764
caiso,10%,610,1,0.23993003368377686,0.9788498282432556,0.9184408888303742,0.9105691056910569
caiso,10%,610,2,0.28108933568000793,1.0530686378479004,0.8645146264631837,0.8699186991869918
caiso,25%,1526,0,0.1713033765554428,0.9646764397621155,0.9366260688784744,0.9512195121951219
caiso,25%,1526,1,0.24817408621311188,1.0124833583831787,0.9482609143386251,0.9552845528455285
caiso,25%,1526,2,0.27927568554878235,1.046273946762085,0.9157407131830086,0.9085365853658537
caiso,50%,3052,0,0.1752781718969345,0.9870600700378418,0.9589004168780986,0.975609756097561
caiso,50%,3052,1,0.2473047822713852,1.008936882019043,0.9597032842894467,0.9715447154471545
caiso,50%,3052,2,0.2717854678630829,1.0182126760482788,0.9540650406504065,0.9491869918699187
caiso,100%,6105,0,0.1775759905576706,1.0,1.0,1.0
caiso,100%,6105,1,0.24511423707008362,1.0,1.0,1.0
caiso,100%,6105,2,0.26692405343055725,1.0,1.0,1.0
