数据集,比例,n_aux,tau,规模3集合数,不安全数,放行率,危险放行率,放行集合中不安全占比
pjm,10%,459,0.5,127920,32014,0.813766416510319,0.25604423064909104,0.07874386389617376
pjm,10%,459,0.7,127920,11771,0.9224515322076298,0.15759068898139494,0.015720338983050846
pjm,10%,459,0.9,127920,4992,0.9639149468417761,0.07532051282051282,0.0030493739051450073
pjm,25%,1147,0.5,127920,32014,0.7794011882426517,0.12132192165927407,0.03895647987482573
pjm,25%,1147,0.7,127920,11771,0.9155018761726079,0.0845297765695353,0.008496212994509483
pjm,25%,1147,0.9,127920,4992,0.9622732958098812,0.03345352564102564,0.0013566867597120899
pjm,50%,2294,0.5,127920,32014,0.7654706066291432,0.06884488036484038,0.022508399799834558
pjm,50%,2294,0.7,127920,11771,0.9127423389618512,0.05539036615410755,0.005584199797872523
pjm,50%,2294,0.9,127920,4992,0.9612648530331457,0.009014423076923076,0.0003659577928678892
pjm,100%,4589,0.5,127920,32014,0.7497342088805503,0.0,0.0
pjm,100%,4589,0.7,127920,11771,0.9079815509693558,0.0,0.0
pjm,100%,4589,0.9,127920,4992,0.9609756097560975,0.0,0.0
caiso,10%,610,0.5,127920,38445,0.7390634771732333,0.13179867342957471,0.05359579441723697
caiso,10%,610,0.7,127920,22419,0.841025641025641,0.09291226192069227,0.019361615110053538
caiso,10%,610,0.9,127920,3033,0.9791275797373359,0.11968348170128586,0.002898203592814371
caiso,25%,1526,0.5,127920,38445,0.7140165728580363,0.04869293796332423,0.02049552755181361
caiso,25%,1526,0.7,127920,22419,0.8295028142589118,0.02743208885320487,0.005795872208085948
caiso,25%,1526,0.9,127920,3033,0.9777048155096936,0.05967688757006264,0.0014472127162823425
caiso,50%,3052,0.5,127920,38445,0.70432301438399,0.01740148263753414,0.007425330477152403
caiso,50%,3052,0.7,127920,22419,0.8263524077548468,0.010169945135822294,0.0021569054083457103
caiso,50%,3052,0.9,127920,3033,0.9766572858036273,0.018463567424991757,0.00044823666896121153
caiso,100%,6105,0.5,127920,38445,0.6994606003752345,0.0,0.0
caiso,100%,6105,0.7,127920,22419,0.8247420262664165,0.0,0.0
caiso,100%,6105,0.9,127920,3033,0.9762898686679174,0.0,0.0
