数据集,比例,n_aux,K,候选背景数,M_frac,M_full,总偏差,选择增益,真实低估,见证一致率,frac见证在full上的边际比
pjm,10%,459,0,1,0.11538063734769821,0.1350124627351761,-0.019631829112768173,0.0,0.019631829112768173,1.0,1.0
pjm,10%,459,1,41,0.2089661806821823,0.2264128029346466,-0.01744663156569004,0.020833434537053108,0.03828006610274315,0.45528455284552843,0.9281858205795288
pjm,10%,459,2,821,0.2816840410232544,0.2614800035953522,0.020204022526741028,0.08132793754339218,0.06112390756607056,0.11585365853658537,0.7734555006027222
pjm,25%,1147,0,1,0.12522782385349274,0.1350124627351761,-0.009784641675651073,0.0,0.009784641675651073,1.0,1.0
pjm,25%,1147,1,41,0.2259770929813385,0.2264128029346466,-0.0004357221769168973,0.013453981839120388,0.013889703899621964,0.49796747967479676,0.9408650398254395
pjm,25%,1147,2,821,0.2938166856765747,0.2614800035953522,0.032336678355932236,0.06038828194141388,0.02805160917341709,0.14634146341463414,0.8265071511268616
pjm,50%,2294,0,1,0.13145633041858673,0.1350124627351761,-0.003556136041879654,0.0,0.003556136041879654,1.0,1.0
pjm,50%,2294,1,41,0.2228093147277832,0.2264128029346466,-0.0036034914664924145,0.006122890394181013,0.009726380929350853,0.6829268292682927,0.972443699836731
pjm,50%,2294,2,821,0.2675012946128845,0.2614800035953522,0.006021270994096994,0.024826720356941223,0.018805449828505516,0.4024390243902439,0.9127806425094604
pjm,100%,4589,0,1,0.1350124627351761,0.1350124627351761,0.0,0.0,0.0,1.0,1.0
pjm,100%,4589,1,41,0.2264128029346466,0.2264128029346466,0.0,0.0,0.0,1.0,1.0
pjm,100%,4589,2,821,0.2614800035953522,0.2614800035953522,0.0,0.0,0.0,1.0,1.0
caiso,10%,610,0,1,0.16462475061416626,0.1775759905576706,-0.012951230630278587,0.0,0.012951230630278587,1.0,1.0
caiso,10%,610,1,41,0.23993003368377686,0.24511423707008362,-0.005184211302548647,0.012178930453956127,0.01736314408481121,0.44308943089430897,0.9647031426429749
caiso,10%,610,2,821,0.28108933568000793,0.26692405343055725,0.014165292493999004,0.0406360849738121,0.026470795273780823,0.08739837398373984,0.878492534160614
caiso,25%,1526,0,1,0.1713033765554428,0.1775759905576706,-0.00627261633053422,0.0,0.00627261633053422,1.0,1.0
caiso,25%,1526,1,41,0.24817408621311188,0.24511423707008362,0.0030598524026572704,0.006810662802308798,0.003750810632482171,0.5772357723577236,0.9763035774230957
caiso,25%,1526,2,821,0.27927568554878235,0.26692405343055725,0.01235165074467659,0.02127850241959095,0.008926852606236935,0.241869918699187,0.9339855313301086
caiso,50%,3052,0,1,0.1752781718969345,0.1775759905576706,-0.002297814702615142,0.0,0.002297814702615142,1.0,1.0
caiso,50%,3052,1,41,0.2473047822713852,0.24511423707008362,0.0021905414760112762,0.0027186425868421793,0.0005281010526232421,0.6808943089430894,0.9872480034828186
caiso,50%,3052,2,821,0.2717854678630829,0.26692405343055725,0.0048614186234772205,0.009691732935607433,0.004830313380807638,0.3902439024390244,0.9611304998397827
caiso,100%,6105,0,1,0.1775759905576706,0.1775759905576706,0.0,0.0,0.0,1.0,1.0
caiso,100%,6105,1,41,0.24511423707008362,0.24511423707008362,0.0,0.0,0.0,1.0,1.0
caiso,100%,6105,2,821,0.26692405343055725,0.26692405343055725,0.0,0.0,0.0,1.0,1.0
