数据集,比例,n_aux,规模,V均值,V相对full,V减full均值
pjm,10%,459,1,0.11538063734769821,0.854592502117157,-0.019631829112768173
pjm,10%,459,2,0.20571961998939514,0.825538158416748,-0.04347493499517441
pjm,10%,459,3,0.2776945233345032,0.8073240518569946,-0.06627459824085236
pjm,25%,1147,1,0.12522782385349274,0.927527904510498,-0.009784641675651073
pjm,25%,1147,2,0.22827394306659698,0.9160470366477966,-0.020920604467391968
pjm,25%,1147,3,0.3119695782661438,0.9069697856903076,-0.03199950233101845
pjm,50%,2294,1,0.13145633041858673,0.9736607074737549,-0.003556136041879654
pjm,50%,2294,2,0.24052149057388306,0.9651955962181091,-0.008673060685396194
pjm,50%,2294,3,0.3296205997467041,0.9582854509353638,-0.014348474331200123
pjm,100%,4589,1,0.1350124627351761,1.0,0.0
pjm,100%,4589,2,0.24919456243515015,1.0,0.0
pjm,100%,4589,3,0.34396910667419434,1.0,0.0
caiso,10%,610,1,0.16462475061416626,0.9270665049552917,-0.012951230630278587
caiso,10%,610,2,0.28776851296424866,0.9144893884658813,-0.02690819278359413
caiso,10%,610,3,0.3755362331867218,0.9023949503898621,-0.040618859231472015
caiso,25%,1526,1,0.1713033765554428,0.9646764397621155,-0.00627261633053422
caiso,25%,1526,2,0.30442872643470764,0.9674333333969116,-0.010247992351651192
caiso,25%,1526,3,0.4009104371070862,0.9633678793907166,-0.015244601294398308
caiso,50%,3052,1,0.1752781718969345,0.9870600700378418,-0.002297814702615142
caiso,50%,3052,2,0.3114181160926819,0.9896446466445923,-0.0032585542649030685
caiso,50%,3052,3,0.4115041196346283,0.9888240098953247,-0.0046510035172104836
caiso,100%,6105,1,0.1775759905576706,1.0,0.0
caiso,100%,6105,2,0.3146767020225525,1.0,0.0
caiso,100%,6105,3,0.416155070066452,1.0,0.0
