feature,gate,pearson,spearman,kendall,nmi,distance_corr,hsic
gen_fuel_nuclear_mw,0.65634644,0.5412006,0.5731557,0.4220505,0.25493413,0.56640893,0.2160934
da_as_mcp_synchronized_reserve,0.6476761,0.47016466,0.47706163,0.35567132,0.51527405,0.48052925,0.13041058
da_as_mcp_primary_reserve,0.63117737,0.43681565,0.414447,0.34636462,0.32925746,0.45388547,0.12556696
system_energy_price_da,0.6253854,0.48895696,0.4652508,0.29494756,0.18392,0.4265659,0.12013463
gen_fuel_multiple_fuels_pct,0.6231002,0.4608529,0.4456465,0.32158712,0.09814105,0.4739638,0.13252845
gen_fuel_oil_pct,0.61673814,0.46426848,0.4163833,0.2955219,0.12081317,0.41619772,0.10376671
gen_fuel_multiple_fuels_mw,0.615554,0.43462658,0.40657216,0.29214522,0.10668763,0.43670836,0.11872959
da_as_as_req_mw_synchronized_reserve,0.6105311,0.36940402,0.3643728,0.25300348,0.2248953,0.37914288,0.12700376
da_as_as_req_mw_primary_reserve,0.60465264,0.35546854,0.3387958,0.23869552,0.21286528,0.35250446,0.11194658
total_lmp_rt,0.6038559,0.36606026,0.36510706,0.21857163,0.24024488,0.33098775,0.07239284
gen_fuel_oil_mw,0.6030884,0.40152562,0.31103027,0.22302751,0.18613549,0.3679782,0.08587689
da_as_as_req_mw_thirty_minutes_reserve,0.5993715,0.32021666,0.32992658,0.25009397,0.15417309,0.350772,0.106403075
marginal_loss_price_rt,0.58864486,0.28419086,0.25333443,0.17365038,0.28707588,0.28345776,0.045525145
total_pjm_rmpcp_cr,0.58843076,0.18587121,0.33198452,0.24263264,0.096983775,0.3427998,0.11445998
gen_fuel_other_renewables_mw,0.58566344,0.25933173,0.3097756,0.21958916,0.066926084,0.31801414,0.084623694
da_as_nsr_mw_primary_reserve,0.5851591,0.2696089,0.27194333,0.19623415,0.18835577,0.27898476,0.053310648
gen_fuel_hydro_pct,0.5843292,0.31509846,0.28817013,0.210682,0.073011085,0.2977891,0.04655059
total_pjm_rmccp_cr,0.58183706,0.1753743,0.199179,0.14308342,0.39477304,0.26135823,0.045618355
rmccp,0.58157825,0.18910228,0.2257551,0.11241844,0.4677575,0.19481543,0.029003784
gen_fuel_hydro_mw,0.57852626,0.3358095,0.25083867,0.15993789,0.08282945,0.26355582,0.033463474
rmpcp,0.5771325,0.13193925,0.29468197,0.21245754,0.07485236,0.30532932,0.09313305
total_pjm_reg_purchases,0.57558113,0.24291778,0.24148123,0.2031247,0.056875758,0.28870687,0.045012023
gen_fuel_storage_mw,0.57354677,0.27429634,0.2886898,0.18669643,0.042323995,0.21623594,0.030283025
gross_sched_interchange_mw,0.5611382,0.17773587,0.22398482,0.1491112,0.021176388,0.21421811,0.03484289
gen_fuel_nuclear_pct,0.556359,0.22387688,0.15680456,0.096213415,0.053115644,0.18844861,0.018585607
gen_fuel_gas_mw,0.55381227,0.0071660285,0.16150863,0.09613781,0.105711356,0.25044876,0.08543058
total_pjm_assigned_reg,0.5520776,0.19414954,0.18302202,0.080523774,0.0357799,0.14811897,0.019349443
gen_fuel_solar_mw,0.5483718,0.12755689,0.17081702,0.11919461,0.024216203,0.14305048,0.015381695
forecast_load_mw_day_ahead,0.5433667,0.060936935,0.0783797,0.039801914,0.0906517,0.1979512,0.051624976
gen_fuel_gas_pct,0.5432169,0.059545886,0.09356306,0.092660196,0.043790113,0.18341734,0.04265335
gen_fuel_coal_mw,0.5430238,0.072055295,0.10391602,0.040422563,0.102759965,0.1586866,0.035579782
gen_fuel_other_renewables_pct,0.54298854,0.14036077,0.1132488,0.04981541,0.072003156,0.1207132,0.011731395
gen_fuel_coal_pct,0.5410804,0.058070544,0.055372022,0.04581831,0.0784968,0.19547848,0.046210725
gen_fuel_solar_pct,0.5400814,0.10297844,0.1261086,0.0879656,0.028794989,0.104012445,0.0071544256
forecast_load_mw_latest_available,0.53976804,0.123504125,0.023511551,0.0042257966,0.073718816,0.1933719,0.033151332
total_pjm_self_sched_reg,0.53916997,0.10275121,0.12784505,0.059366386,0.023005787,0.11000385,0.016068976
gen_fuel_wind_pct,0.5350046,0.06329959,0.07919401,0.036315195,0.048343416,0.12342322,0.019350402
total_pjm_loc_credit,0.5331698,0.12599848,0.016463436,0.024341028,0.05432325,0.10915338,0.0073879333
da_as_ss_mw_primary_reserve,0.53272367,0.048832897,0.05762518,0.04831894,0.079089426,0.092374526,0.009161474
da_as_ss_mw_thirty_minutes_reserve,0.5317456,0.043195944,0.055436928,0.036859654,0.090021,0.08697585,0.006314301
gen_fuel_wind_mw,0.5272058,0.009387642,0.043834694,0.035579342,0.030571386,0.10328922,0.013381667
da_as_ss_mw_synchronized_reserve,0.5264397,0.030840961,0.036929764,0.012207212,0.076519676,0.064723745,0.004244707
gross_inadv_interchange_mw,0.52407146,0.050602637,0.028880207,0.001392835,0.028893603,0.065612644,0.003647166
net_inadv_interchange_mw,0.52044344,0.0072905784,0.023616977,0.0038657563,0.006082278,0.06913535,0.005858329
da_as_ircmwt2_primary_reserve,0.51362133,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_synchronized_reserve,0.51362133,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_thirty_minutes_reserve,0.51362133,0.0,0.0,0.0,0.0,0.0,0.0
da_as_mcp_thirty_minutes_reserve,0.51362133,0.0,0.0,0.0,0.0,0.0,0.0
gen_fuel_storage_pct,0.51362133,0.0,0.0,0.0,0.0,0.0,0.0
