confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.99011976,0.9962878493933236,-0.0061680675
total_gen,0.98949033,0.99832719588513,-0.008836865
total_lmp_da,0.98670554,0.99047564583207,-0.003770113
da_as_total_mw_primary_reserve,0.9540084,0.953601669814596,0.0004067421
da_as_total_mw_synchronized_reserve,0.9189203,0.920000100798808,-0.0010797977
da_as_total_mw_thirty_minutes_reserve,0.89213926,0.9141437178213236,-0.022004485
total_losses,0.8869143,0.9334742413917716,-0.04655993
net_actual_interchange_mw,0.8793407,0.9295984627394396,-0.050257742
gross_actual_interchange_mw,0.82531124,0.8759973140166133,-0.05068606
marginal_loss_price_da,0.81818914,0.8816090434068973,-0.06341988
congestion_price_rt,0.7113033,0.6702083206524372,0.04109496
congestion_price_da,0.6427618,0.6602494811248918,-0.017487645
