confidential_field,test_r2
metered_load_mw,0.9901198148727417
total_gen,0.9894903302192688
total_lmp_da,0.9867055416107178
da_as_total_mw_primary_reserve,0.9540085196495056
da_as_total_mw_synchronized_reserve,0.9189204573631287
da_as_total_mw_thirty_minutes_reserve,0.8921393156051636
total_losses,0.8869143128395081
net_actual_interchange_mw,0.8793407678604126
gross_actual_interchange_mw,0.8253111839294434
marginal_loss_price_da,0.8181891441345215
congestion_price_rt,0.7113035917282104
congestion_price_da,0.6427617073059082
