confidential_field,test_r2
metered_load_mw,0.9910849332809448
total_gen,0.9897062182426453
total_lmp_da,0.9854792952537537
da_as_total_mw_primary_reserve,0.9502748250961304
da_as_total_mw_synchronized_reserve,0.9138267636299133
total_losses,0.8615989685058594
net_actual_interchange_mw,0.8594326376914978
da_as_total_mw_thirty_minutes_reserve,0.8529387712478638
marginal_loss_price_da,0.7914509177207947
gross_actual_interchange_mw,0.7714316248893738
congestion_price_rt,0.6564170122146606
congestion_price_da,0.5408076643943787
