confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.99108493,0.9962878493933236,-0.0052028894
total_gen,0.9897062,0.99832719588513,-0.008620977
total_lmp_da,0.9854793,0.99047564583207,-0.0049963593
da_as_total_mw_primary_reserve,0.95027465,0.953601669814596,-0.003327012
da_as_total_mw_synchronized_reserve,0.91382676,0.920000100798808,-0.0061733127
total_losses,0.86159915,0.9334742413917716,-0.071875095
net_actual_interchange_mw,0.85943276,0.9295984627394396,-0.070165694
da_as_total_mw_thirty_minutes_reserve,0.8529387,0.9141437178213236,-0.06120503
marginal_loss_price_da,0.79145056,0.8816090434068973,-0.09015846
gross_actual_interchange_mw,0.7714318,0.8759973140166133,-0.1045655
congestion_price_rt,0.6564168,0.6702083206524372,-0.013791561
congestion_price_da,0.54080826,0.6602494811248918,-0.11944121
