confidential_field,test_r2
metered_load_mw,0.9898853898048401
total_gen,0.9871726632118225
total_lmp_da,0.9851417541503906
da_as_total_mw_primary_reserve,0.9523144960403442
da_as_total_mw_synchronized_reserve,0.9162080883979797
total_losses,0.8669037222862244
net_actual_interchange_mw,0.8597853183746338
da_as_total_mw_thirty_minutes_reserve,0.8594376444816589
marginal_loss_price_da,0.7911137938499451
gross_actual_interchange_mw,0.7834746837615967
congestion_price_rt,0.6605992317199707
congestion_price_da,0.6103165149688721
