confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.98988533,0.9962878493933236,-0.0064024925
total_gen,0.9871727,0.99832719588513,-0.011154473
total_lmp_da,0.98514175,0.99047564583207,-0.0053339005
da_as_total_mw_primary_reserve,0.95231444,0.953601669814596,-0.0012872219
da_as_total_mw_synchronized_reserve,0.916208,0.920000100798808,-0.0037920475
total_losses,0.8669038,0.9334742413917716,-0.06657046
net_actual_interchange_mw,0.8597854,0.9295984627394396,-0.06981307
da_as_total_mw_thirty_minutes_reserve,0.85943764,0.9141437178213236,-0.054706097
marginal_loss_price_da,0.7911135,0.8816090434068973,-0.09049553
gross_actual_interchange_mw,0.7834749,0.8759973140166133,-0.09252238
congestion_price_rt,0.66059864,0.6702083206524372,-0.009609699
congestion_price_da,0.61031705,0.6602494811248918,-0.04993242
