general_field,mask_norm,single_norm,attn_norm,ig_norm,lrp_norm,shapley_norm
gen_fuel_coal_mw,0.060300653057320394,0.2715962678895603,0.34522951852983924,0.33331427,0.33380002,0.2017221226983398
gen_fuel_gas_mw,0.06593150797826006,0.3367453564648864,0.3303496729772884,0.34505153,0.32742763,0.2676358819132572
gen_fuel_hydro_mw,0.0007610241172241124,0.006965853590919496,0.04465848766043712,0.061447088,0.06529972,0.004030650584811677
gen_fuel_multiple_fuels_mw,0.010704221234513558,0.00908819148006693,0.07308207368828522,0.034559987,0.05582142,0.028388857068138193
gen_fuel_nuclear_mw,0.099507661723433,0.08139693421910547,0.2672239505657409,0.17299694,0.15634279,0.10175749809300964
gen_fuel_oil_mw,0.001319612597745703,0.04212253390838857,0.14935926608687344,0.078706145,0.07401454,0.034792839729176024
gen_fuel_other_renewables_mw,0.011493960541993167,0.00011806910265636987,0.02623731979411712,0.05774703,0.048857085,0.02160388508917055
gen_fuel_solar_mw,0.0031984447195237886,0.0,0.01492845521401298,0.03840786,0.053762227,0.0025100927331126667
gen_fuel_storage_mw,0.0009359507128227465,0.0022243803979365862,0.01677353765443795,0.043841477,0.027136413,0.0014705194841573735
gen_fuel_wind_mw,0.0790977294155425,0.000152059243071943,0.06478513549848229,0.22700983,0.15102956,0.05739752989061619
gen_fuel_coal_pct,0.04268197256544359,0.08211338782814769,0.1554850208016522,0.14906932,0.1317348,0.08154753507045055
gen_fuel_gas_pct,0.00950104066217582,0.006206398207330822,0.013097652829233718,0.06304971,0.061918728,0.004723386084755547
gen_fuel_hydro_pct,0.0001244299195934307,0.0038881716709053484,0.03094593141481095,0.06741411,0.05700122,0.0013886786427244877
gen_fuel_multiple_fuels_pct,0.006127494563549133,0.0011099070365261346,0.0703452358638074,0.044103358,0.045062255,0.010457493091517348
gen_fuel_nuclear_pct,0.05664652784521829,0.011111317999694179,0.3971808847936475,0.29446417,0.19912064,-0.019617826933891164
gen_fuel_oil_pct,0.001075063310564637,0.014922176678950044,0.10528149008562257,0.03716984,0.046096522,0.017509173874601103
gen_fuel_other_renewables_pct,0.012739230221249885,0.0,0.06638090494244867,0.15594846,0.12081758,0.009787528485091736
gen_fuel_solar_pct,0.004739024890307159,9.151937228266294e-05,0.0164833302771943,0.03395104,0.07474892,0.003783178348439749
gen_fuel_wind_pct,0.0213552434696708,0.0016555119434549315,0.029187835688935626,0.10844603,0.07016527,0.03721997000704881
forecast_load_mw_latest_available,0.37356875304702336,1.0,0.8480510971968939,1.0,1.0,0.8170977990110135
forecast_load_mw_day_ahead,0.31287729408222315,0.9504780323260306,0.7860647932240308,0.9169005,0.9274511,0.7697677750729165
rmccp,0.0007972041238914203,0.0,0.0056697043255044596,0.01590056,0.010622804,0.00033718471572867156
rmpcp,0.00032634355886714905,0.0,0.003656148615528299,0.0048891646,0.0038663808,0.00012917621159697426
total_pjm_loc_credit,0.0,0.0,0.00290962443006174,0.009863664,0.006575473,-0.0016333917830057502
total_pjm_reg_purchases,0.002045831028494518,0.0013411989296087741,0.01987899114565717,0.045401677,0.03888931,0.007646025519106871
total_pjm_self_sched_reg,0.0012045260598044366,0.0,0.00042868011693659433,0.035162415,0.026580764,-0.0005326445239109192
total_pjm_assigned_reg,0.0023819810499853353,0.0,0.04330079761156966,0.08339112,0.053181734,0.010683619432539301
total_pjm_rmccp_cr,0.00040842434086807715,0.0,0.007219037874554609,0.015522907,0.010088773,0.0009229707841560985
total_pjm_rmpcp_cr,0.0003503510918546081,0.0,0.008640197134879835,0.008578447,0.005002371,7.645162488977419e-05
da_as_mcp_primary_reserve,0.0033431542615656343,0.02254271512459459,0.1147694784412578,0.048208423,0.03885276,0.041831216102990613
da_as_mcp_synchronized_reserve,0.0010636317306961464,0.0686416050990602,0.262069498366108,0.053148955,0.09363284,0.06783782699553655
da_as_as_req_mw_primary_reserve,0.2689318972286301,0.3864450573852537,0.6313378803976935,0.53554046,0.53386825,0.37093736946639394
da_as_as_req_mw_synchronized_reserve,0.27608950452655295,0.3967768328104479,0.6664780954232022,0.56061953,0.5501379,0.35608919213282836
da_as_as_req_mw_thirty_minutes_reserve,0.21715391182896554,0.2966648994582002,0.560033858672549,0.43678358,0.44309646,0.29894424156712124
da_as_ss_mw_primary_reserve,0.00263306547690216,0.0,0.0048247321088282285,0.01232701,0.017750151,0.0020852092361220505
da_as_ss_mw_synchronized_reserve,0.0018823019377253699,7.339772689601905e-07,0.0,0.011258175,0.0097637735,0.001046090396901213
da_as_ss_mw_thirty_minutes_reserve,0.0018376417142269698,3.948291635941369e-06,0.0,0.010700732,0.00966773,0.0016806269138333236
da_as_nsr_mw_primary_reserve,1.0,0.5567099450052276,0.712633305120035,0.71023846,0.7645326,0.7693721719038319
system_energy_price_da,0.8253897627823698,0.956531969696333,1.0,0.65933263,0.6716747,1.0
total_lmp_rt,9.199135369809278e-05,0.14348889335055234,0.277616361532335,0.14052479,0.124229655,0.1023062351625296
marginal_loss_price_rt,0.014328316567486413,0.11297274805605546,0.2496749657015692,0.14953554,0.12111795,0.08397335844918025
net_inadv_interchange_mw,0.0002670585013861516,3.5180290130535114e-05,0.0,0.008758424,0.0060554114,0.0004187031110699491
gross_sched_interchange_mw,0.15725661573125388,0.0015731907130028483,0.29022413963465316,0.14002936,0.20931734,0.09895022427545984
gross_inadv_interchange_mw,0.4500195143697499,0.20359107021401796,0.5899135332079932,0.5295585,0.6345253,0.3610090512080351
