field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.9254083633422852,-2.17359831935597,False
gross_actual_interchange_mw,0.2460934792895835,-0.5567127466201782,-0.8028062259097617,False
total_gen,0.9906449538219424,0.910587951540947,-0.08005700228099544,True
metered_load_mw,0.9762308832723112,0.9628899358212948,-0.013340947451016438,True
total_losses,0.6540839836602339,0.6809914112091064,0.026907427548872542,True
congestion_price_da,0.0475838272605031,0.266984760761261,0.2194009335007579,True
congestion_price_rt,0.4561738508473963,0.467360258102417,0.01118640725502068,True
marginal_loss_price_da,0.4407231017762543,0.4362316131591797,-0.0044914886170746016,True
total_lmp_da,0.9299314144617218,0.8905988782644272,-0.0393325361972946,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9701447281986475,-0.005083090759114062,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9402653351426125,-0.0015777759030343175,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.36241579055786133,-0.09448824744664275,True
