field,q_label,max_r2,top3_mean_r2
forecast_load_mw_latest_available,0.9143514287758215,0.9867395213270111,0.7454458794897127
system_energy_price_da,0.8312528719232097,0.9570345805962791,0.5377622183527148
gen_fuel_gas_mw,0.7339229235463638,0.8103471426722688,0.5555997455859191
forecast_load_mw_day_ahead,0.6997977253433816,0.7523075958415651,0.5772746941809533
gen_fuel_nuclear_pct,0.6543186986745431,0.7068527996414389,0.5317391297517863
total_lmp_rt,0.4223033257987587,0.45555228616740606,0.34472241827191485
da_as_as_req_mw_thirty_minutes_reserve,0.41714804030893293,0.47245695302287094,0.28809391064307766
da_as_as_req_mw_synchronized_reserve,0.4119665981269871,0.4565954162269985,0.30783268922696067
da_as_as_req_mw_primary_reserve,0.41003218036120803,0.4570519715321708,0.30031933429562824
marginal_loss_price_rt,0.35812063666127547,0.3873086267475988,0.29001532645985456
