feature,target,r2
forecast_load_mw_latest_available,net_actual_interchange_mw,0.0
forecast_load_mw_latest_available,gross_actual_interchange_mw,0.0
forecast_load_mw_latest_available,total_gen,0.9308407513056465
forecast_load_mw_latest_available,metered_load_mw,0.9867395213270111
forecast_load_mw_latest_available,total_losses,0.23692194510155884
forecast_load_mw_latest_available,congestion_price_da,0.10034408828160934
forecast_load_mw_latest_available,congestion_price_rt,0.0
forecast_load_mw_latest_available,marginal_loss_price_da,0.3187573658364806
forecast_load_mw_latest_available,total_lmp_da,0.2376595095108599
forecast_load_mw_latest_available,da_as_total_mw_primary_reserve,0.12794349213674328
forecast_load_mw_latest_available,da_as_total_mw_synchronized_reserve,0.0
forecast_load_mw_latest_available,da_as_total_mw_thirty_minutes_reserve,0.0
system_energy_price_da,net_actual_interchange_mw,0.0
system_energy_price_da,gross_actual_interchange_mw,0.0
system_energy_price_da,total_gen,0.0
system_energy_price_da,metered_load_mw,0.029138571094494803
system_energy_price_da,total_losses,0.0
system_energy_price_da,congestion_price_da,0.17955659766034404
system_energy_price_da,congestion_price_rt,0.16791943021855915
system_energy_price_da,marginal_loss_price_da,0.476695476801521
system_energy_price_da,total_lmp_da,0.9570345805962791
system_energy_price_da,da_as_total_mw_primary_reserve,0.0
system_energy_price_da,da_as_total_mw_synchronized_reserve,0.0
system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.0
forecast_load_mw_day_ahead,net_actual_interchange_mw,0.0
forecast_load_mw_day_ahead,gross_actual_interchange_mw,0.0
forecast_load_mw_day_ahead,total_gen,0.7354512891837011
forecast_load_mw_day_ahead,metered_load_mw,0.7523075958415651
forecast_load_mw_day_ahead,total_losses,0.04562894221630276
forecast_load_mw_day_ahead,congestion_price_da,0.04496727590253624
forecast_load_mw_day_ahead,congestion_price_rt,0.0
forecast_load_mw_day_ahead,marginal_loss_price_da,0.24406519751759392
forecast_load_mw_day_ahead,total_lmp_da,0.08422795116302884
forecast_load_mw_day_ahead,da_as_total_mw_primary_reserve,0.0860258434803125
forecast_load_mw_day_ahead,da_as_total_mw_synchronized_reserve,0.0
forecast_load_mw_day_ahead,da_as_total_mw_thirty_minutes_reserve,0.0
