数据,目标,候选,实现,V误差_3,V误差_4,V偏差_3,边际误差,M2误差,M2偏差,Γ2误差,M2排序,认证前1,认证前3,背景召回前1,背景召回前3,背景召回前5,召回_τ0.5_δ0.0,精确_τ0.5_δ0.0,召回_τ0.5_δ0.05,精确_τ0.5_δ0.05,召回_τ0.7_δ0.0,精确_τ0.7_δ0.0,召回_τ0.7_δ0.05,精确_τ0.7_δ0.05
RTS-GMLC,机组出力_223_STEAM_3,E_old,uniformE,0.010217760689556599,0.015058892779052258,-0.009443632327020168,0.00827663391828537,0.01902162842452526,-0.01835465244948864,0.014960904605686665,0.9792490118577075,0.9877579808235168,0.993199348449707,0.6956521739130435,0.8260869565217391,0.8260869565217391,1.0,1.0,0.9130434782608695,1.0,1.0,1.0,1.0,1.0
RTS-GMLC,机组出力_221_CC_1,E_old,uniformE,0.009636258706450462,0.025510532781481743,-0.008979352191090584,0.007239088881760836,0.009870924055576324,-0.009570741094648838,0.008645971305668354,0.9950592885375494,0.9958750605583191,0.998338520526886,0.782608695652174,0.9565217391304348,0.9565217391304348,1.0,1.0,0.9130434782608695,1.0,1.0,1.0,1.0,1.0
RTS-GMLC,线路潮流_C35,E_old,uniformE,0.012695472687482834,0.015887560322880745,-0.011804848909378052,0.010311276651918888,0.012280705384910107,-0.005588637664914131,0.012223823927342892,0.9812252964426879,0.9743996858596802,0.9918268918991089,0.2608695652173913,0.782608695652174,0.9130434782608695,0.6521739130434783,1.0,0.9130434782608695,1.0,1.0,1.0,0.9523809523809523,1.0
RTS-GMLC,机组出力_223_STEAM_3,C1,reconE_cy,0.00543461786583066,0.012817230075597763,-0.003858317621052265,0.005630779080092907,0.011708920821547508,-0.010079116560518742,0.010785785503685474,0.9891304347826088,0.9900190234184265,0.9930601119995117,0.6956521739130435,0.782608695652174,0.9130434782608695,1.0,1.0,0.9130434782608695,1.0,1.0,1.0,1.0,1.0
RTS-GMLC,机组出力_221_CC_1,C1,reconE_cy,0.007184767164289951,0.026941534131765366,-0.0057508195750415325,0.005866517778486013,0.006434133742004633,-0.00399295287206769,0.004842949099838734,0.9980237154150198,0.9954875707626343,0.998338520526886,0.6521739130434783,0.9565217391304348,0.9565217391304348,1.0,1.0,0.9130434782608695,1.0,1.0,1.0,1.0,1.0
RTS-GMLC,线路潮流_C35,C1,reconE_cy,0.007640643045306206,0.007970718666911125,-0.005774796474725008,0.007621437311172485,0.010339931584894657,-0.007546634878963232,0.010550674982368946,0.9822134387351777,0.9945434927940369,0.9991927146911621,0.5652173913043478,0.8695652173913043,1.0,0.8695652173913043,1.0,0.8695652173913043,1.0,1.0,1.0,0.9523809523809523,1.0
RTS-GMLC,机组出力_223_STEAM_3,C2,recon+random_cy,0.004781448747962713,0.013070402666926384,-0.00321578374132514,0.005027382634580135,0.010645781643688679,-0.008883549831807613,0.01032316219061613,0.9901185770750988,0.9901595115661621,0.9936820268630981,0.7391304347826086,0.8260869565217391,0.8695652173913043,1.0,1.0,0.9130434782608695,1.0,1.0,1.0,1.0,1.0
RTS-GMLC,机组出力_221_CC_1,C2,recon+random_cy,0.0065736654214560986,0.02812391147017479,-0.004128636326640844,0.0057774493470788,0.006832210347056389,-0.003429169999435544,0.005895349662750959,1.0,0.994134247303009,0.998338520526886,0.6521739130434783,0.9565217391304348,1.0,1.0,1.0,0.9130434782608695,1.0,1.0,1.0,1.0,1.0
RTS-GMLC,线路潮流_C35,C2,recon+random_cy,0.007520418614149094,0.007305733859539032,-0.005622275173664093,0.007619338575750589,0.01028461940586567,-0.005680789239704609,0.01050054095685482,0.9822134387351777,0.9939004182815552,0.9992256760597229,0.5652173913043478,0.8695652173913043,0.9130434782608695,0.8695652173913043,1.0,0.8695652173913043,1.0,1.0,1.0,0.9523809523809523,1.0
RTS-GMLC,机组出力_223_STEAM_3,C2,recon+random@1_cy,0.004906882531940937,0.013241375796496868,-0.003155925078317523,0.0052561769261956215,0.010564220137894154,-0.008060729131102562,0.009790383279323578,0.9891304347826088,0.9891573786735535,0.9931074380874634,0.6086956521739131,0.8260869565217391,0.9130434782608695,1.0,1.0,0.9130434782608695,1.0,1.0,1.0,1.0,1.0
