domain,arm,false_reject_level,false_safe_interpolated
pjm_in_sample,maxpair,0.005,0.025353260869565217
pjm_in_sample,maxpair,0.01,0.024130434782608696
pjm_in_sample,maxpair,0.02,0.012228260869565218
pjm_in_sample,maxpair,0.03,0.006684782608695652
pjm_in_sample,maxpair,0.05,0.0
pjm_in_sample,maxpair,0.08,0.0
pjm_in_sample,calibrated_exact,0.005,0.014184782608695653
pjm_in_sample,calibrated_exact,0.01,0.009347826086956522
pjm_in_sample,calibrated_exact,0.02,0.006014492753623188
pjm_in_sample,calibrated_exact,0.03,0.0030298913043478263
pjm_in_sample,calibrated_exact,0.05,0.0
pjm_in_sample,calibrated_exact,0.08,0.0
pjm_in_sample,calibrated_production_rounded,0.005,0.014184782608695653
pjm_in_sample,calibrated_production_rounded,0.01,0.009347826086956522
pjm_in_sample,calibrated_production_rounded,0.02,0.006014492753623188
pjm_in_sample,calibrated_production_rounded,0.03,0.002608695652173915
pjm_in_sample,calibrated_production_rounded,0.05,0.0
pjm_in_sample,calibrated_production_rounded,0.08,0.0
pjm_in_sample,loto_calibration,0.005,0.012228260869565218
pjm_in_sample,loto_calibration,0.01,0.010253623188405798
pjm_in_sample,loto_calibration,0.02,0.006304347826086957
pjm_in_sample,loto_calibration,0.03,0.0016711956521739133
pjm_in_sample,loto_calibration,0.05,0.00013586956521739052
pjm_in_sample,loto_calibration,0.08,0.0
new_transfer,maxpair,0.005,0.026397515527950312
new_transfer,maxpair,0.01,0.024844720496894408
new_transfer,maxpair,0.02,0.021925465838509316
new_transfer,maxpair,0.03,0.015527950310559006
new_transfer,maxpair,0.05,0.0
new_transfer,maxpair,0.08,0.0
new_transfer,calibrated_exact,0.005,0.008975155279503105
new_transfer,calibrated_exact,0.01,0.006211180124223602
new_transfer,calibrated_exact,0.02,0.004658385093167702
new_transfer,calibrated_exact,0.03,0.003105590062111801
new_transfer,calibrated_exact,0.05,0.0
new_transfer,calibrated_exact,0.08,0.0
new_transfer,calibrated_production_rounded,0.005,0.008975155279503105
new_transfer,calibrated_production_rounded,0.01,0.006211180124223602
new_transfer,calibrated_production_rounded,0.02,0.004658385093167702
new_transfer,calibrated_production_rounded,0.03,0.003105590062111801
new_transfer,calibrated_production_rounded,0.05,0.0
new_transfer,calibrated_production_rounded,0.08,0.0
