domain,arm,n,unique_target_plan,mae,worst_underestimate,false_safe_count,false_safe_joint,false_reject_joint,accepted_count,unsafe_among_accepted,query_ms_median
pjm_in_sample,maxpair,736,184,0.024380356787259444,-0.1135911341672472,9,0.012228260869565218,0.017663043478260868,108,0.08333333333333333,44.605269096791744
pjm_in_sample,calibrated_exact,736,184,0.01892617130922613,-0.10365834055561463,13,0.017663043478260868,0.001358695652173913,124,0.10483870967741936,44.605269096791744
pjm_in_sample,calibrated_production_rounded,736,184,0.018931931791251286,-0.10369113416724718,13,0.017663043478260868,0.001358695652173913,124,0.10483870967741936,44.605269096791744
pjm_in_sample,loto_calibration,736,184,0.019916702515954246,-0.1073969183593404,15,0.020380434782608696,0.002717391304347826,125,0.12,44.605269096791744
new_transfer,maxpair,644,161,0.019030066595411177,-0.11050344789361755,16,0.024844720496894408,0.007763975155279503,79,0.20253164556962025,50.148821668699384
new_transfer,calibrated_exact,644,161,0.015596224254991737,-0.10049168997172653,15,0.023291925465838508,0.0,83,0.18072289156626506,50.148821668699384
new_transfer,calibrated_production_rounded,644,161,0.015602330328045009,-0.10052448358335908,15,0.023291925465838508,0.0,83,0.18072289156626506,50.148821668699384
caiso_2025::actual_load__mw__ca_iso_tac,maxpair,92,23,0.021926630453139112,-0.1104244835833591,4,0.043478260869565216,0.043478260869565216,8,0.5,54.9209900200367
caiso_2025::actual_load__mw__ca_iso_tac,calibrated_production_rounded,92,23,0.013734533755042097,-0.10052448358335908,4,0.043478260869565216,0.0,12,0.3333333333333333,54.9209900200367
caiso_2025::dam_as_total_procured__mw__ru__as_caiso,maxpair,92,23,0.03239261553030556,-0.06752437602347938,12,0.13043478260869565,0.0,24,0.5,55.42147904634476
caiso_2025::dam_as_total_procured__mw__ru__as_caiso,calibrated_production_rounded,92,23,0.024251377772532366,-0.07606506321060502,11,0.11956521739130435,0.0,23,0.4782608695652174,55.42147904634476
caiso_2025::dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,maxpair,92,23,0.011559853892141283,-0.10877877322587115,0,0.0,0.0,8,0.0,50.190504640340805
caiso_2025::dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,calibrated_production_rounded,92,23,0.015645859260799835,-0.09887877322587113,0,0.0,0.0,8,0.0,50.190504640340805
caiso_2025::dam_schedule__mw__generation__caiso_totals,maxpair,92,23,0.017184771659159725,-0.035740835351204425,0,0.0,0.0,4,0.0,46.40136496163905
caiso_2025::dam_schedule__mw__generation__caiso_totals,calibrated_production_rounded,92,23,0.010668543974404657,-0.03599018404702037,0,0.0,0.0,4,0.0,46.40136496163905
rts_2020::system_generation_mw,maxpair,92,23,0.01633883157438164,-0.11050344789361755,0,0.0,0.0,12,0.0,51.57880927436054
rts_2020::system_generation_mw,calibrated_production_rounded,92,23,0.01792881713570692,-0.0983103444453417,0,0.0,0.0,12,0.0,51.57880927436054
rts_2020::system_load_actual_mw,maxpair,92,23,0.014375628916929012,-0.05447722799763033,0,0.0,0.010869565217391304,11,0.0,42.398493736982346
rts_2020::system_load_actual_mw,calibrated_production_rounded,92,23,0.013546878440428818,-0.06565861761911063,0,0.0,0.0,12,0.0,42.398493736982346
rts_2020::system_losses_mw,maxpair,92,23,0.019432134141821905,-0.045085379424250616,0,0.0,0.0,12,0.0,62.84864456392825
rts_2020::system_losses_mw,calibrated_production_rounded,92,23,0.013440301957400376,-0.04295558841160807,0,0.0,0.0,12,0.0,62.84864456392825
