k,greedy,optimal,ratio,bound_1_1e
1,43.552569925785065,43.552569925785065,1.0,0.632
2,85.77476406097412,85.77476406097412,1.0,0.632
3,126.99594277143478,126.99594277143478,1.0,0.632
4,163.45152121782303,163.45152121782303,1.0,0.632
