tau,k,greedy_cov,degree_cov,single_cov,random_cov,greedy_worst_pair,n_dpair_remaining
0.5,0,0.0,0.0,0.0,0.0,0.9949229955673218,665
0.5,1,0.08704887261435465,0.08704887261435465,0.08704887261435465,0.0402034602440084,0.9949229955673218,622
0.5,2,0.1714387124110787,0.1714387124110787,0.1714387124110787,0.07720578434868013,0.9949229955673218,580
0.5,3,0.2538278146086055,0.2538278146086055,0.2538278146086055,0.12148552102227732,0.9949229955673218,539
0.5,4,0.3266918731399359,0.3266918731399359,0.3266918731399359,0.1645510461069298,0.9946751594543456,499
0.5,5,0.3969268084431268,0.3969268084431268,0.3969268084431268,0.2034490312540015,0.9946751594543456,460
0.5,6,0.45943901928631176,0.45943901928631176,0.45943901928631176,0.24260213409511186,0.9572354555130004,422
0.5,7,0.5145970070800143,0.5145970070800143,0.5145970070800143,0.276791555351173,0.9572354555130004,385
0.5,8,0.567185219537244,0.567185219537244,0.567185219537244,0.31244492382719585,0.9572354555130004,349
0.5,9,0.6159132655547715,0.6159132655547715,0.6159132655547715,0.3459826261634699,0.9572354555130004,314
0.5,10,0.663029482148217,0.663029482148217,0.663029482148217,0.3774388155605755,0.9572354555130004,280
0.5,11,0.7067314383653073,0.7064402763231155,0.7067314383653073,0.40679812537750454,0.9572354555130004,247
0.5,12,0.7488017142649611,0.7488017142649611,0.7488017142649611,0.44029721342612477,0.9572354555130004,215
0.5,13,0.7871306038539031,0.7871306038539031,0.7871306038539031,0.4730039013374849,0.9572354555130004,184
0.5,14,0.8231919046501271,0.8231919046501271,0.8231919046501271,0.5065263673753829,0.9572354555130004,154
0.5,15,0.8563557193551393,0.8563557193551393,0.8560717185928046,0.5338347293620707,0.9572354555130004,125
0.5,16,0.8881179216522209,0.8881179216522209,0.8878750495239606,0.56431829431385,0.9572354555130004,97
0.5,17,0.9188010357529941,0.9188010357529941,0.918482174501709,0.5930469998715284,0.9572354555130004,70
0.5,18,0.9483004065668558,0.9483004065668558,0.9483004065668558,0.6241306271508169,0.9572354555130004,44
0.5,19,0.9753423894157418,0.9753423894157418,0.9753423894157418,0.6535998942729572,0.9572354555130004,20
0.5,20,0.9920422084824537,0.9920422084824537,0.9920422084824537,0.6790303914837496,0.9572354555130004,5
0.5,21,0.9949635263914228,0.9949635263914228,0.9949635263914228,0.7041878735132536,0.9277228713035583,3
0.5,22,0.9968177735732341,0.9949635263914228,0.9967558202585161,0.7352933273101718,0.8967261910438538,2
0.5,23,0.9986100674403273,0.9967558202585161,0.9967558202585161,0.7607708160478719,0.6954154968261719,1
0.5,24,1.0,0.9967558202585161,0.9967558202585161,0.7828259219760487,0.4505388736724853,0
0.5,25,1.0,0.9986100674403273,0.9967558202585161,0.8033922394586643,0.4505388736724853,0
0.5,26,1.0,0.9986100674403273,0.9967558202585161,0.8236442230860976,0.4505388736724853,0
0.5,27,1.0,1.0,0.9967558202585161,0.8455375476465773,0.4505388736724853,0
0.5,28,1.0,1.0,0.9967558202585161,0.8614474172343304,0.4505388736724853,0
0.5,29,1.0,1.0,0.9967558202585161,0.8782592135477386,0.3762720227241516,0
0.5,30,1.0,1.0,0.9986100674403273,0.8949006919266792,0.3762720227241516,0
0.5,31,1.0,1.0,1.0,0.9083152176642403,0.3463978171348572,0
0.5,32,1.0,1.0,1.0,0.9216925455850914,0.3463978171348572,0
0.5,33,1.0,1.0,1.0,0.9338601920531432,0.3463978171348572,0
0.5,34,1.0,1.0,1.0,0.9456401892824479,0.3276614546775818,0
0.5,35,1.0,1.0,1.0,0.9556406683133619,0.3276614546775818,0
0.5,36,1.0,1.0,1.0,0.9655191086494871,0.3276614546775818,0
0.5,37,1.0,1.0,1.0,0.9743442339510215,0.3276614546775818,0
0.5,38,1.0,1.0,1.0,0.980842575182584,0.3276614546775818,0
0.5,39,1.0,1.0,1.0,0.9863192708983657,0.3179464936256408,0
0.5,40,1.0,1.0,1.0,0.9913408108879608,0.3179464936256408,0
0.5,41,1.0,1.0,1.0,0.9953252511168418,0.2401208281517028,0
0.5,42,1.0,1.0,1.0,0.9977591683004037,0.1406614184379577,0
0.5,43,1.0,1.0,1.0,0.9994246714884232,0.0,0
0.5,44,1.0,1.0,1.0,1.0,0.0,0
0.6,0,0.0,0.0,0.0,0.0,0.9949229955673218,484
0.6,1,0.1094694297706717,0.1094694297706717,0.1094694297706717,0.043806433008681554,0.9949229955673218,441
0.6,2,0.21559495860908112,0.21559495860908112,0.21559495860908112,0.07890558541239001,0.9949229955673218,399
0.6,3,0.3192044341371258,0.3192044341371258,0.3192044341371258,0.1250223567698038,0.9949229955673218,358
0.6,4,0.41083556844875213,0.41083556844875213,0.41083556844875213,0.17273576817568215,0.9946751594543456,318
0.6,5,0.49916041501721253,0.49916041501721253,0.49916041501721253,0.21302746187443455,0.9946751594543456,279
0.6,6,0.577773450076543,0.577773450076543,0.577773450076543,0.2520600514239302,0.9572354555130004,241
0.6,7,0.6471380873168717,0.6471380873168717,0.6471380873168717,0.28381848183324077,0.9572354555130004,204
0.6,8,0.7132710705187996,0.7132710705187996,0.7132710705187996,0.3181131853799489,0.9572354555130004,168
0.6,9,0.7745496517476409,0.7745496517476409,0.7745496517476409,0.3467749209886169,0.9572354555130004,133
0.6,10,0.8338012561456212,0.8338012561456212,0.8338012561456212,0.37653246884247327,0.9572354555130004,99
0.6,11,0.8887592134777283,0.8887592134777283,0.8887592134777283,0.4055716972587241,0.9572354555130004,66
0.6,12,0.9401675958682364,0.9401675958682364,0.9401675958682364,0.4373379476912821,0.9572354555130004,35
0.6,13,0.9547617439547563,0.9547617439547563,0.9547617439547563,0.47006851376134934,0.9572354555130004,26
0.6,14,0.9669748340369531,0.9669748340369531,0.9645124942279286,0.5044670948171468,0.9572354555130004,19
0.6,15,0.9771123092647993,0.9771123092647993,0.9675442886290156,0.5315154465814681,0.9277228713035583,13
0.6,16,0.9834154388082775,0.9821305920325193,0.9705753306524603,0.5619642597841812,0.9277228713035583,9
0.6,17,0.9879705940350723,0.9859943719827203,0.9720873458869983,0.5859981750329705,0.9277228713035583,6
0.6,18,0.9920555755589995,0.9891111625849415,0.9823785066081406,0.619199619766677,0.9277228713035583,4
0.6,19,0.9943874079601613,0.9936663178117362,0.9879812852284838,0.6496226380045514,0.8967261910438538,3
0.6,20,0.9966413301732769,0.9959202400248518,0.991260305499493,0.6744875617752157,0.6954154968261719,2
0.6,21,0.9983892577472633,0.9959202400248518,0.9936663178117362,0.6975015088198019,0.6408361196517944,1
0.6,22,1.0,0.9959202400248518,0.9959202400248518,0.7322729106457441,0.58482825756073,0
0.6,23,1.0,0.9959202400248518,0.9959202400248518,0.7605401969342217,0.58482825756073,0
0.6,24,1.0,0.9959202400248518,0.9959202400248518,0.7811331786628076,0.58482825756073,0
0.6,25,1.0,0.9959202400248518,0.9959202400248518,0.802129349569684,0.58482825756073,0
0.6,26,1.0,0.9959202400248518,0.9959202400248518,0.8209298572898178,0.58482825756073,0
0.6,27,1.0,0.9959202400248518,0.9959202400248518,0.8425570040134231,0.58482825756073,0
0.6,28,1.0,0.9982520724260137,0.9959202400248518,0.8569652957356836,0.58482825756073,0
0.6,29,1.0,0.9982520724260137,0.9959202400248518,0.8737867963027867,0.58482825756073,0
0.6,30,1.0,1.0,0.9982520724260137,0.8893188188666634,0.5844496488571167,0
0.6,31,1.0,1.0,1.0,0.9037686936337794,0.5844496488571167,0
0.6,32,1.0,1.0,1.0,0.9190975014234845,0.5844496488571167,0
0.6,33,1.0,1.0,1.0,0.9317495857471925,0.5844496488571167,0
0.6,34,1.0,1.0,1.0,0.9442633605503334,0.5844496488571167,0
0.6,35,1.0,1.0,1.0,0.9541075005373327,0.5844496488571167,0
0.6,36,1.0,1.0,1.0,0.9641339363535365,0.5844496488571167,0
0.6,37,1.0,1.0,1.0,0.9741171271223731,0.5844496488571167,0
0.6,38,1.0,1.0,1.0,0.9804955081158078,0.5844496488571167,0
0.6,39,1.0,1.0,1.0,0.9860851603755687,0.5544764995574951,0
0.6,40,1.0,1.0,1.0,0.9914451015236487,0.5544764995574951,0
0.6,41,1.0,1.0,1.0,0.9951553564488318,0.5544764995574951,0
0.6,42,1.0,1.0,1.0,0.9975865342276309,0.1406614184379577,0
0.6,43,1.0,1.0,1.0,0.9994136115700324,0.0,0
0.6,44,1.0,1.0,1.0,1.0,0.0,0
0.7,0,0.0,0.0,0.0,0.0,0.9949229955673218,307
0.7,1,0.15629434743737175,0.15629434743737175,0.15629434743737175,0.0374809664951203,0.9949229955673218,264
0.7,2,0.3078144595909933,0.3078144595909933,0.3078144595909933,0.07380837507037571,0.9949229955673218,222
0.7,3,0.4557422911317998,0.4557422911317998,0.4557422911317998,0.12143716137377013,0.9949229955673218,181
0.7,4,0.5865681150370112,0.5865681150370112,0.5865681150370112,0.1661924510733198,0.9946751594543456,141
0.7,5,0.7126734056724243,0.7126734056724243,0.7126734056724243,0.1972860832443226,0.9946751594543456,102
0.7,6,0.8249127133988731,0.8249127133988731,0.8249127133988731,0.24110135634611216,0.9572354555130004,64
0.7,7,0.8966440297882438,0.8966440297882438,0.8966440297882438,0.2664794302663412,0.9572354555130004,37
0.7,8,0.9442325500194655,0.9442325500194655,0.9442325500194655,0.3051524758048831,0.9572354555130004,19
0.7,9,0.9577462711859492,0.9577462711859492,0.9577053980030781,0.33605461564036754,0.9572354555130004,14
