field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.3255774974822998,-1.5737674534959842,True
gross_actual_interchange_mw,0.2460934792895835,0.30310606956481934,0.057012590275235836,True
total_gen,0.9906449538219424,0.9009542241692543,-0.0896907296526881,True
metered_load_mw,0.9762308832723112,0.9581961669027805,-0.01803471636953069,True
total_losses,0.6540839836602339,0.6687050461769104,0.014621062516676497,True
congestion_price_da,0.0475838272605031,0.2527061700820923,0.2051223428215892,True
congestion_price_rt,0.4561738508473963,0.40556496381759644,-0.050608887029799876,True
marginal_loss_price_da,0.4407231017762543,0.48552292585372925,0.04479982407747496,True
total_lmp_da,0.9299314144617218,0.9150691255927086,-0.014862288869013196,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9727025404572487,-0.002525278500512873,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9264344051480293,-0.015408705897617447,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.3632972836494446,-0.0936067543550595,True
