dam_load_forecast__mw__pge_tac,dam_load_forecast__mw__sce_tac,dam_load_forecast__mw__sdge_tac,dam_load_forecast__mw__ca_iso_tac,actual_load__mw__pace,actual_load__mw__nevp,actual_load__mw__azps,actual_renewable_generation__mw__np15__solar,actual_renewable_generation__mw__np15__wind,actual_renewable_generation__mw__sp15__solar,actual_renewable_generation__mw__sp15__wind,actual_renewable_generation__mw__zp26__solar,actual_renewable_generation__mw__zp26__wind,dam_renewable_forecast__mw__np15__solar,dam_renewable_forecast__mw__np15__wind,dam_renewable_forecast__mw__sp15__solar,dam_renewable_forecast__mw__sp15__wind,dam_renewable_forecast__mw__zp26__solar,dam_renewable_forecast__mw__zp26__wind,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_sp15_gen_apnd,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,actual_load__mw__bpat,dam_schedule__mw__load__tac_north,dam_schedule__mw__load__tac_ecntr,dam_schedule__mw__load__tac_south,dam_as_clearing_price__usd_per_mw__ru__as_caiso,dam_as_clearing_price__usd_per_mw__rd__as_caiso,dam_as_requirement__mw__as_caiso_exp__regulation_mileage_up__minimum,dam_as_requirement__mw__as_caiso_exp__regulation_mileage_down__minimum,dam_as_requirement__mw__as_caiso__regulation_up__minimum,dam_as_requirement__mw__as_caiso__regulation_down__minimum,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,dam_as_requirement__mw__as_caiso__non_spinning_reserve__minimum,rtpd_eim_transfer__mw__export__bcha__malin500,rtpd_eim_transfer__mw__export__banc__ranchoseco,rtpd_eim_transfer__mw__import__nevp__eldorado230,rtpd_eim_transfer__mw__export__srp__pvwest,rtpd_eim_transfer__mw__import__ladwp__sylmar,rtpd_eim_transfer__mw__export__pge__malin500,actual_load__mw__ca_iso_tac,dam_schedule__mw__generation__caiso_totals,dam_schedule__mw__import__caiso_totals,dam_schedule__mw__export__caiso_totals,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,dam_as_total_procured__mw__ru__as_caiso,dam_as_total_procured__mw__rd__as_caiso,dam_as_total_procured__mw__sr__as_caiso,dam_as_total_procured__mw__nr__as_caiso
11292.01,10145.66,2420.29,24138.18,6447,4215,3605,178.35587,19.36974,563.29112,7.83895,206.73119,57.55686,104.77,22.15,465.6,311.27,139.51,53.19,53.96307,53.75269,50.67482,45.4783225,43.51664,43.5020875,0.0409625,8140,10871.49,10204.66,2572.47,0.0,0.0,922.34,2459.06,408.0,708.0,177.36,709.43,23.135,286.185,0.945,0.0,25.03,0.0,23934,18110.6,7110.0,1320.0,51.63201,0.45883,-2.78989,0.26578,680.0,1061.0,333.12,1144.86
12248.99,11065.91,2715.4,26309.71,6448,4420,3694,329.2171,30.32934,-43.00688,24.98849,-8.65746,63.78831,0.0,31.28,0.0,471.27,0.0,48.63,55.69883,54.51587,51.44868,50.3868425,47.623315,48.0058075,0.109505,8283,11908.08,11023.49,2855.0,0.0,0.0,299.96,1924.33,246.0,576.0,194.77,779.08,6.375,240.625,89.565,0.0,0.0,0.0,26104,20929.28,7063.6,1375.0,53.91716,1.17037,-2.95204,0.0,410.0,960.0,342.63,1280.45
12291.93,11170.87,2682.4,26426.05,6306,4385,3622,280.38341,20.45898,-38.63224,27.16926,-7.99678,45.26587,0.0,43.06,0.0,576.56,0.0,46.1,53.44946,52.50115,50.20748,49.7640925,49.799775,47.8637325,-0.15428,8104,12050.91,11026.95,2797.19,0.0,0.0,125.87,1608.2,180.0,498.0,196.11,784.46,0.0,229.755,0.0,0.0,340.82,0.0,25725,19224.2,7203.2,1359.0,51.54655,0.4649,-2.36781,2.348945,290.0,830.0,636.61,997.68
11959.79,10989.78,2606.17,25841.27,6192,4316,3540,-3.03842,58.35641,-37.67855,29.42005,-7.98128,32.64075,0.0,51.01,0.0,529.01,0.0,35.23,53.47542,52.95726,50.32288,47.01276,46.6439625,45.756425,-0.6664325,7885,11899.45,11225.52,2704.86,0.0,0.0,147.17,1233.54,192.0,414.0,191.93,767.71,0.0,136.6575,229.3225,0.0,59.995,0.0,25087,18631.26,7273.2,1348.0,51.32403,0.45287,-2.60425,0.7513675,328.66,690.0,514.72,1076.02
11723.02,10760.92,2534.47,25303.01,6065,4229,3473,-7.19792,65.56839,-37.10158,32.46489,-7.99745,27.94546,0.0,57.53,0.0,501.34,0.0,26.68,53.367,52.41941,50.39108,45.4314775,44.6240125,44.454095,-0.79182,7716,11702.39,11015.65,2627.99,0.0,0.0,271.59,1337.03,180.0,378.0,187.87,751.46,5.385,203.7425,488.6225,0.0,48.7825,0.0,24354,17983.32,7380.0,1354.0,51.57697,0.43004,-2.22007,0.0,300.0,630.0,313.11,1252.44
11408.8,10646.09,2468.12,24807.95,5942,4132,3391,-6.7917,62.77812,-37.17194,27.18265,-8.01208,11.55141,0.0,63.62,0.0,456.72,0.0,20.28,52.63158,52.23158,50.22632,44.9440875,44.49603,44.2010575,-0.991015,7514,11015.06,10923.8,2536.27,0.0,0.0,93.85,1120.45,180.0,294.0,184.12,736.5,31.355,185.23,455.0875,0.0,44.0575,0.0,23767,16923.93,7227.0,1374.0,50.44737,0.0,-2.18421,0.0,300.0,490.0,306.87,1227.5
10831.46,10435.11,2336.67,23888.63,5839,4041,3313,-6.26466,54.79276,-37.52891,39.90553,-7.98682,8.04713,0.0,68.38,0.0,397.6,0.0,15.78,52.08574,51.55114,49.6898,46.9760975,46.05293,45.8341725,-0.6760925,7309,10391.76,10444.93,2409.34,0.0,0.0,420.44,753.87,180.0,354.0,176.55,706.2,23.0475,141.915,227.36,0.0,233.6225,0.0,23011,16202.19,6898.0,1116.0,50.0,-0.19503,-1.89071,0.0,323.72,590.0,338.8,1108.73
10234.59,10068.75,2208.63,22798.52,5734,3952,3253,-6.57764,61.75742,-37.71737,78.96604,-8.03905,3.70872,0.0,75.14,0.0,378.27,0.0,13.25,51.7871,51.03593,49.57579,45.6388775,44.73134,44.512835,-0.611725,7129,9744.77,9917.96,2352.96,0.0,0.0,85.82,1329.3,180.0,408.0,168.29,673.17,39.5425,44.985,97.8825,0.0,370.16,0.0,22143,15611.65,6450.0,1105.0,49.9701,-0.21678,-1.60022,0.0,290.0,680.0,376.05,1026.39
9547.37,9465.28,2224.0,21524.4,5647,3867,3227,-6.70393,46.5531,-37.94342,34.73809,-8.00012,0.33819,0.0,88.39,0.0,249.02,0.0,15.21,43.09418,42.15472,41.20665,41.9107775,41.303215,41.0258925,-0.6686875,6953,9125.35,9402.44,2327.53,0.0,0.0,406.17,1268.69,294.0,354.0,159.36,637.45,23.465,97.3225,4.9075,0.0,60.6575,0.0,21772,14087.95,6903.8,879.0,41.35992,-0.42419,-1.31006,0.101195,490.0,590.0,265.6,1062.42
9225.83,9147.61,2153.0,20816.19,5573,3806,3196,-6.74449,55.32313,-37.88463,40.60284,-8.04204,7.39761,0.0,97.97,0.0,309.17,0.0,14.87,43.13033,42.20734,41.2671,41.27465,40.7178875,40.525595,-0.74587,6874,8786.9,9188.27,2247.56,0.0,0.0,299.94,286.09,180.0,306.0,154.06,616.22,31.92,64.7175,0.0,0.0,0.0,0.0,21119,13667.07,6709.6,870.0,41.38941,-0.42544,-1.31547,0.0,378.42,510.0,178.34,1027.04
9030.86,8797.61,2057.0,20176.21,5525,3748,3200,-6.83352,84.69292,-37.57774,47.96959,-8.05763,12.38673,0.0,94.65,0.0,343.35,0.0,15.57,42.84017,41.85056,41.03231,42.456695,42.230875,41.84734,-0.96146,6813,8532.49,8708.97,2178.97,0.0,0.0,163.58,1053.64,180.0,330.0,148.84,595.35,4.305,33.7225,0.0,0.0,0.0,0.0,20367,13023.6,6775.55,976.0,41.17314,-0.37753,-1.28949,0.0,482.87,468.45,184.93,835.06
8936.3,8610.84,1985.0,19825.27,5518,3707,3254,-6.82151,86.71214,-36.38921,24.33304,-8.054,33.92364,0.0,86.13,0.0,365.41,0.0,17.61,42.30451,41.39496,40.54041,43.806915,43.2576075,43.56722,-1.4072275,6816,8435.08,8553.21,2123.03,0.0,0.0,57.31,703.53,180.0,270.0,146.13,584.53,0.0,0.0,0.0,0.0,0.0,0.0,19929,12835.85,6523.0,878.0,40.83716,-0.33359,-1.13376,-0.9810025,368.87,450.0,207.24,941.66
9006.93,8627.31,1961.0,19892.18,5578,3717,3368,-6.78942,73.03176,-36.19739,24.54601,-7.95181,56.31801,0.0,78.14,0.0,382.88,0.0,16.08,42.97068,42.16713,41.20029,41.6304875,41.847175,41.444175,-1.4036775,6910,8529.02,8579.07,2104.0,0.0,0.0,31.4,874.37,180.0,222.0,146.64,586.55,5.465,8.37,0.0,44.7225,0.0,0.0,19917,13586.4,6472.0,878.0,41.51501,-0.2396,-1.21607,-0.331275,447.5,370.0,193.54,880.95
9314.58,8781.05,2003.0,20402.84,5696,3789,3506,-6.74302,83.14418,-36.95731,26.29254,-8.00875,45.65619,0.0,70.96,0.0,414.73,0.0,14.01,42.97941,42.18,41.16568,43.8298875,44.92027,43.8675275,-1.8761825,7142,8795.42,8772.07,2179.79,0.0,0.0,18.54,878.71,180.0,228.0,150.49,601.97,5.345,37.9425,216.4,0.69,17.85,0.0,20237,14085.55,6525.0,907.0,41.66169,-0.14438,-1.17334,-0.05853,545.05,380.0,78.19,930.86
9774.66,9118.38,2116.0,21320.67,5815,3870,3606,-6.85994,79.31091,-23.26063,11.09135,-8.24224,32.60828,0.0,66.83,46.93,472.8,0.01,11.24,43.30194,42.43256,41.41611,44.5018175,45.6228275,44.5114425,-1.9149275,7434,9419.97,8971.9,2308.56,0.0,0.0,88.17,1109.51,210.0,336.0,156.8,627.21,41.8725,25.51,420.36,0.0,0.0,0.0,20806,14495.09,6672.4,882.0,42.02276,-0.00611,-1.27308,0.0,350.0,560.0,261.34,1045.35
10104.01,9052.01,2098.0,21564.8,5862,3785,3508,74.24011,73.75182,1971.47862,19.18396,136.33789,43.05322,83.74,65.04,2134.32,458.87,133.04,8.45,39.39619,38.18,38.34299,39.702895,38.5209,38.50152,-0.3972325,7607,9824.31,9136.36,2243.98,0.0,0.0,648.91,2424.97,258.0,576.0,158.34,633.36,35.725,56.16,198.2625,0.0,0.0,0.0,21654,13970.38,6488.44,863.0,38.48371,-0.91249,0.0,0.0,430.0,960.0,263.9,1055.6
10272.51,8707.94,1896.0,21173.11,5919,3672,3188,385.99453,81.06671,6656.64937,-3.62422,990.26425,32.1052,610.47,65.69,6454.32,404.35,828.24,6.95,29.60241,31.77,24.79742,31.45347,27.644235,27.4806275,0.919465,7720,9762.04,8848.55,1986.4,0.0,0.0,365.19,3346.37,288.0,786.0,153.95,615.79,279.445,256.6875,532.7975,0.0,0.0,0.0,23318,15410.9,5413.45,866.0,26.36094,-1.28771,-1.95376,-0.088025,480.0,1310.0,251.58,1026.31
9728.67,8290.44,1657.0,19958.26,5959,3584,2901,938.71465,79.25135,8773.46321,4.02917,1463.06279,7.81617,942.18,65.27,8051.78,307.9,1403.53,6.33,27.29736,31.87223,19.60634,30.109825,20.622125,19.0097225,0.859235,7779,9612.13,8435.66,1665.05,0.0,0.0,281.05,4253.72,270.0,822.0,144.28,577.14,226.275,285.97,84.085,0.0,0.0,0.0,24675,15581.97,5542.38,816.0,22.95627,-2.47668,-1.86441,-2.9682025,450.0,1370.0,574.85,627.52
8919.67,7817.4,1451.0,18459.33,5949,3614,2675,1118.94435,74.67654,8656.73525,41.79145,1786.63685,9.4828,1006.94,65.59,8255.16,206.82,1554.84,5.67,26.01544,30.50089,19.65094,29.473975,17.079175,17.0848475,0.9203375,7779,9393.47,8271.9,1371.76,0.0,0.0,351.31,3941.57,282.0,912.0,143.64,574.56,285.2475,302.5275,0.0,0.0,0.0,0.0,23790,14533.07,5500.52,788.0,22.50321,-1.7718,-1.74043,-4.736865,470.0,1520.0,412.5,784.5
8376.1,7523.66,1320.0,17482.89,5986,3566,2533,1060.26637,66.88032,8260.62572,27.32084,1949.36026,13.28347,1012.97,66.77,8209.49,183.32,1652.4,7.17,24.24955,27.46248,21.30338,30.38641,17.7634675,17.0414625,0.95879,7751,9024.05,8075.93,1248.73,0.0,0.0,196.69,2264.6,240.0,642.0,143.64,574.56,470.0525,310.95,0.0,0.0,0.0,200.0,23191,13265.54,5867.07,961.0,21.37186,-1.20447,-1.67322,-4.50561,464.67,1070.0,521.43,610.9
8088.9,7572.58,1310.0,17229.31,6010,3559,2529,976.37072,53.83418,8240.27051,42.02605,1978.60652,12.10443,1072.2,69.83,8310.93,198.56,1749.3,8.75,22.21368,24.94401,18.98962,30.8015675,17.7409425,17.08323,0.9999425,7695,8943.9,8010.46,1286.87,0.0,0.0,130.77,4105.09,294.0,672.0,143.64,574.56,249.3375,392.215,0.0,5.6425,0.0,200.0,23489,12761.72,6043.46,870.0,19.94409,-0.73907,-1.53052,-4.735165,490.0,1120.0,503.32,693.68
8270.22,7878.92,1426.0,17832.28,5997,3529,2600,881.86476,34.56339,8401.21381,62.07683,1867.82228,19.3925,1159.8,69.83,8285.85,226.69,1751.63,12.87,21.48118,23.28458,18.76744,35.10558,8.8639475,8.8738625,0.8845725,7599,8903.49,8266.6,1427.49,0.0,0.0,117.27,3968.27,462.0,750.0,143.64,574.56,289.485,424.88,0.0,161.0225,0.0,300.0,23118,13268.55,6192.51,863.0,19.95329,-0.06717,-1.46072,-12.1898625,760.0,1250.0,312.03,884.97
