total_gen,total_losses,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_storage_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,forecast_load_mw_day_ahead,metered_load_mw,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_mcp_thirty_minutes_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_primary_reserve,da_as_total_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,da_as_ircmwt2_primary_reserve,da_as_ircmwt2_synchronized_reserve,da_as_ircmwt2_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
94849.985,476.4,14415.0,34288.0,3688.0,3.0,33824.0,179.0,668.0,0.0,10.0,8377.0,0.151,0.359,0.038,0.0,0.354,0.001,0.007,0.0,0.0,0.087,94738,88823.0,91400.312,12.22,1.41,294.07728,567.8223,392.50571,224.13971,7526.05,3199.58,0.0,0.04,0.0,3677.6,2515.1,3677.6,4693.6,2515.1,18427.6,90.0,90.0,90.0,0.0,0.0,0.0,2178.5,27.75,28.411292,0.178382,0.482911,20.294497,0.015262,0.009235,-3766.032,15.194999999999936,11394.032,6072.8369999999995,7455.195
91886.907,444.9,14235.0,32881.0,2608.0,3.0,33833.0,182.0,667.0,0.0,6.0,8203.0,0.153,0.355,0.028,0.0,0.365,0.002,0.007,0.0,0.0,0.088,92304,86272.0,88736.237,10.0,2.35,216.9184,572.04781,393.58664,248.46116,6434.96,3923.47,0.0,0.04,0.0,3677.6,2515.1,3677.6,4693.6,2515.1,18585.9,30.0,30.0,30.0,0.0,0.0,0.0,2178.5,26.02,26.568702,0.143132,0.40557,19.040432,0.014335,0.011096,-3458.9390000000003,144.28999999999996,11228.939,5714.649,7788.29
90326.751,425.8,14073.0,32226.0,1634.0,3.0,33849.0,182.0,673.0,0.0,0.0,8254.0,0.154,0.354,0.018,0.0,0.372,0.002,0.007,0.0,0.0,0.09,89225,83672.0,86240.94,11.41,2.0,175.86399,540.55613,291.3256,314.23052,6900.96,3720.62,0.0,0.04,0.0,3677.6,2515.1,3677.6,4693.6,2515.1,18735.0,50.0,50.0,50.0,0.0,0.0,0.0,2178.5,24.25,24.488182,0.002451,0.235731,19.118143,0.01072,0.009923,-4394.057,104.39300000000004,10356.057,6677.664000000001,7013.893
87943.443,400.1,13758.0,31240.0,937.0,3.0,33846.0,182.0,673.0,0.0,0.0,8113.0,0.155,0.352,0.01,0.0,0.381,0.002,0.007,0.0,0.0,0.091,85253,81190.0,83701.368,9.32,1.73,224.75267,541.0524,328.20843,284.3904,5724.76,3382.2,0.0,0.04,0.0,3677.6,2515.1,3677.6,4642.6,2515.1,18718.6,50.0,50.0,50.0,0.0,0.0,0.0,2127.5,23.66,23.517871,-0.121863,-0.020266,18.22782,0.006861,0.009293,-4542.280000000001,131.505,8996.28,6316.775,6208.005
86293.238,389.7,13524.0,30608.0,949.0,3.0,33860.0,183.0,659.0,0.0,0.0,7927.0,0.154,0.348,0.01,0.0,0.386,0.002,0.007,0.0,0.0,0.09,81649,78897.0,81411.778,7.4,2.19,77.40975,547.86419,334.19553,286.27641,4594.46,3662.69,0.0,0.04,0.0,3677.6,2515.1,3677.6,4642.6,2515.1,18707.8,50.0,50.0,50.0,0.0,0.0,0.0,2127.5,21.65,21.289812,-0.259869,-0.100319,18.030554,0.001291,0.007596,-5164.027,82.71299999999997,9272.027,6461.314,5610.787
84730.0,376.4,13826.0,29315.0,784.0,3.0,33860.0,184.0,670.0,0.0,0.0,7894.0,0.159,0.338,0.009,0.0,0.391,0.002,0.007,0.0,0.0,0.091,78381,,79083.837,3.22,0.68,38.53918,373.51262,258.67934,165.18848,1359.93,567.29,0.0,0.0,0.0,3677.6,2515.1,3677.6,5053.0,3505.5,19552.9,325.0,325.0,325.0,0.0,0.0,0.0,1547.5,21.26,21.024537,-0.34286,0.107397,19.74498,0.002973,0.01034,-5675.16,150.15499999999997,9387.16,7151.005,6295.845
83859.665,394.2,14020.0,29393.0,717.0,3.0,33872.0,186.0,663.0,0.0,0.0,8150.0,0.161,0.337,0.008,0.0,0.389,0.002,0.007,0.0,0.0,0.093,76851,,77793.949,3.76,0.0,31.53376,385.50902,249.13861,188.6768,1644.5,0.0,0.0,0.0,0.0,3677.6,2515.1,3677.6,3677.6,3210.1,18201.9,325.0,325.0,325.0,0.0,0.0,0.0,467.5,20.96,20.552743,-0.389588,-0.01767,20.006767,0.003146,0.010288,-6074.142,79.42100000000005,9410.142,8072.721,6838.579
82248.02,397.9,13998.0,28220.0,626.0,3.0,33869.0,187.0,660.0,0.0,0.0,8448.0,0.162,0.328,0.007,0.0,0.393,0.002,0.007,0.0,0.0,0.098,75790,,76663.734,7.42,2.71,9.22218,372.16335,263.18209,159.73112,3139.42,2744.56,0.0,0.0,0.0,3677.6,2515.1,3677.6,3724.6,3257.1,18251.7,325.0,325.0,325.0,0.0,0.0,0.0,467.5,20.42,20.096544,-0.34533,0.021874,19.083508,0.000623,0.010385,-5587.559,31.914999999999964,9247.559,7705.644,7028.085
81706.907,410.1,13965.0,28063.0,596.0,3.0,33870.0,190.0,680.0,0.0,0.0,8329.0,0.163,0.327,0.007,0.0,0.395,0.002,0.007,0.0,0.0,0.097,75498,,76170.524,7.12,3.33,59.2509,401.01465,157.71114,248.10526,2887.65,3037.39,0.0,0.0,0.0,3677.6,2515.1,3677.6,4971.6,4504.1,19504.0,325.0,325.0,325.0,0.0,0.0,0.0,467.5,20.45,20.074782,-0.404893,0.029675,19.223879,0.002413,0.008966,-5538.867,97.18599999999992,9184.867,7711.681,6806.814
82164.037,406.4,14007.0,28194.0,621.0,3.0,33869.0,190.0,693.0,0.0,0.0,8111.0,0.163,0.329,0.007,0.0,0.395,0.002,0.008,0.0,0.0,0.094,76205,,76491.775,12.57,2.19,57.48755,545.78377,272.1795,348.74028,7806.01,3852.29,0.0,0.0,0.0,3677.6,2515.1,3677.6,5111.0,4643.5,19649.8,325.0,325.0,325.0,0.0,0.0,0.0,467.5,20.46,20.357713,-0.159072,0.056785,19.393939,0.003919,0.010853,-5677.584,116.769,9725.584,7780.815,7199.231
