epoch,train_loss,test_loss
1,0.01844830473279753,0.0005033287452533841
2,0.00325211598897078,8.781730139162391e-05
3,0.0018723559945910653,9.075940761249512e-05
4,0.0013019997056465662,0.00010796249262057245
5,0.0008736862776788611,7.96719832578674e-05
6,0.0005878680923267794,0.00016668887110427022
7,0.00035919409055269096,5.091774073662236e-05
8,0.0002597867048545003,0.0001831805711844936
9,0.00019366953946988138,0.0001287404156755656
10,0.00015496616540204732,8.899257954908535e-05
11,0.00013687378413898676,9.653832239564508e-05
12,0.00011037529534269861,5.994528328301385e-05
13,9.36348567165574e-05,3.598997864173725e-05
14,8.747931362999274e-05,7.390278187813237e-05
15,7.397566350453901e-05,4.642108251573518e-05
16,6.532191000500568e-05,1.9627732399385422e-05
17,6.0665238488249e-05,6.681933882646263e-05
18,5.563511015399143e-05,6.544894858961925e-05
19,4.6587164963889946e-05,5.253646304481663e-05
20,4.319092813775191e-05,2.2748317860532552e-05
21,3.84667168579108e-05,4.142285615671426e-05
22,3.5982958561905505e-05,1.4216889212548267e-05
23,3.403004656494472e-05,2.408388718322385e-05
24,2.9578290700378575e-05,2.929656329797581e-05
25,2.8937059267604466e-05,1.555621565785259e-05
26,2.777495124269571e-05,9.540215614833869e-06
27,2.643251868668607e-05,1.8423505025566556e-05
28,2.246383008681123e-05,8.656089448777493e-06
29,2.2902685173431106e-05,2.8478172680479474e-05
30,2.320018410502563e-05,1.8076465494232252e-05
31,1.948202937418728e-05,2.590691474324558e-05
32,1.9497799694815366e-05,9.472179954173043e-06
33,1.652516506877882e-05,9.634043635742273e-06
34,1.613072407617996e-05,3.4081929243257036e-06
35,1.5197767341739375e-05,4.757673195854295e-06
36,1.463397355682292e-05,3.4279810279258527e-06
37,1.4206409046435447e-05,2.5778413146326784e-06
38,1.3154588522417106e-05,5.308057097863639e-06
39,1.3118717811767264e-05,1.0814023880811874e-05
40,1.290041188233515e-05,4.487367732508574e-06
41,1.182245552815814e-05,6.425912943086587e-06
42,1.0949301415809234e-05,7.696059469708416e-07
43,1.0596768782033845e-05,1.48696733504039e-06
44,9.769499920636337e-06,3.3035346405085875e-06
45,9.497181585774313e-06,9.68902895692736e-07
46,9.288192342488767e-06,6.278003752413497e-07
47,9.080624539534246e-06,2.66936717707722e-06
48,8.693005819002535e-06,4.059878847328946e-06
49,8.073184707754387e-06,1.3545064803111018e-06
50,7.664012039557866e-06,2.1433170331874862e-06
51,7.514369229675086e-06,1.8976068076881347e-06
52,7.483979891184586e-06,1.0042849680758081e-06
53,7.025540799830257e-06,1.7922329789143987e-06
54,6.713004472702805e-06,1.1521825626914506e-06
55,6.704002737099693e-06,2.4190912881749682e-06
56,6.4080585092054926e-06,7.994426027835289e-07
57,6.123409952220272e-06,1.3707343669011607e-06
58,5.922921096137113e-06,8.322033409058349e-07
59,5.9953260847910315e-06,9.448814921597659e-07
60,5.682688453153268e-06,1.5825679611225496e-06
61,5.630798953333406e-06,1.2303080438869074e-06
62,5.535075793006033e-06,5.413741064330679e-07
63,5.079670715727006e-06,1.0442043958391878e-06
64,5.109614096997152e-06,2.7253254302195273e-06
65,4.988995572756218e-06,1.7829939906732761e-06
66,4.8253587289006575e-06,1.944036057466292e-06
67,4.428140077944537e-06,1.4604346461055684e-06
68,4.368781074676911e-06,2.567755700511043e-06
69,4.2428895824274494e-06,1.7184019043270382e-06
70,4.1150533398445774e-06,2.3716543182672467e-06
