confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.9744627736508846,0.011042516678571701,True
total_gen,0.9649259261786938,0.016044046729803085,True
da_as_total_mw_primary_reserve,0.9644946604967117,0.0490923710167408,True
da_as_total_mw_synchronized_reserve,0.9442740231752396,0.04693402349948883,True
total_lmp_da,0.8916592597961426,0.04705345258116722,True
total_losses,0.6443057358264923,0.31226757168769836,True
congestion_price_rt,0.4817488193511963,0.8469812273979187,True
marginal_loss_price_da,0.46237069368362427,0.29445675015449524,True
da_as_total_mw_thirty_minutes_reserve,0.3666380047798157,0.4545208811759949,True
congestion_price_da,0.24074536561965942,1.2868603467941284,True
gross_actual_interchange_mw,0.23671704530715942,0.44565001130104065,True
net_actual_interchange_mw,-0.8812223672866821,1.462817668914795,True
