field,max_confidential_edge,mean_top3_confidential_edge,anchor_score
forecast_load_mw_latest_available,0.9758599400520325,0.7890216708183289,0.9198084592819213
forecast_load_mw_day_ahead,0.9344661235809326,0.7579102516174316,0.8814993619918823
system_energy_price_da,0.9775551557540894,0.6462345123291016,0.8781589627265929
gen_fuel_nuclear_pct,0.74430912733078,0.6605668663978577,0.7191864490509033
gen_fuel_gas_mw,0.7344966530799866,0.6049200892448425,0.6956236839294433
total_lmp_rt,0.7086218595504761,0.5598546862602234,0.6639917075634002
da_as_as_req_mw_primary_reserve,0.705405592918396,0.5546196699142456,0.6601698160171509
da_as_as_req_mw_synchronized_reserve,0.6904459595680237,0.549672544002533,0.6482139348983764
da_as_as_req_mw_thirty_minutes_reserve,0.6651500463485718,0.5356805920600891,0.6263092100620269
gen_fuel_coal_mw,0.6406019330024719,0.5906606316566467,0.6256195425987243
marginal_loss_price_rt,0.6315565705299377,0.5665621757507324,0.6120582520961761
da_as_mcp_synchronized_reserve,0.6270007491111755,0.4504471719264984,0.5740346759557724
gen_fuel_oil_mw,0.5472960472106934,0.48580512404441833,0.5288487702608109
da_as_nsr_mw_primary_reserve,0.5672674775123596,0.42190346121788025,0.5236582726240158
gross_inadv_interchange_mw,0.5643837451934814,0.38347873091697693,0.5101122409105301
gen_fuel_other_renewables_pct,0.5090241432189941,0.4533039629459381,0.4923080891370773
gen_fuel_oil_pct,0.5052163600921631,0.40897560119628906,0.47634413242340085
gen_fuel_nuclear_mw,0.4459916353225708,0.42159023880958557,0.43867121636867523
da_as_mcp_primary_reserve,0.451804518699646,0.3494422137737274,0.4210958272218704
gen_fuel_coal_pct,0.4258570075035095,0.4062890112400055,0.4199866086244583
rmccp,0.4438539147377014,0.36280617117881775,0.4195395916700363
total_pjm_rmccp_cr,0.4299923777580261,0.35503289103507996,0.40750453174114226
gen_fuel_hydro_mw,0.40176278352737427,0.3211054801940918,0.37756559252738947
gen_fuel_multiple_fuels_mw,0.31875038146972656,0.29028764367103577,0.3102115601301193
gen_fuel_hydro_pct,0.33021867275238037,0.24822016060352325,0.3056191191077232
gen_fuel_multiple_fuels_pct,0.3077605664730072,0.2501625120639801,0.2904811501502991
gross_sched_interchange_mw,0.2997443675994873,0.24337905645370483,0.28283477425575254
total_pjm_reg_purchases,0.3015221059322357,0.2314314842224121,0.2804949194192886
gen_fuel_storage_mw,0.28558680415153503,0.2220298796892166,0.2665197268128395
gen_fuel_gas_pct,0.25385043025016785,0.21952028572559357,0.24355138689279554
gen_fuel_other_renewables_mw,0.20432260632514954,0.20071697235107422,0.20324091613292694
total_pjm_rmpcp_cr,0.2094268798828125,0.18048124015331268,0.20074318796396257
total_pjm_assigned_reg,0.2078729271888733,0.18125887215137482,0.19988871067762373
gen_fuel_wind_pct,0.20502884685993195,0.18033699691295624,0.1976212918758392
rmpcp,0.1764133870601654,0.1340085119009018,0.16369192451238632
total_pjm_loc_credit,0.15870027244091034,0.15048152208328247,0.15623464733362197
gen_fuel_solar_pct,0.16086742281913757,0.1309909075498581,0.1519044682383537
gen_fuel_wind_mw,0.1535395234823227,0.12879852950572968,0.1461172252893448
gen_fuel_solar_mw,0.13594114780426025,0.12947401404380798,0.13400100767612455
da_as_ss_mw_synchronized_reserve,0.12347247451543808,0.08941162377595901,0.11325421929359436
da_as_ss_mw_thirty_minutes_reserve,0.1234130933880806,0.08432241529226303,0.11168588995933533
net_inadv_interchange_mw,0.10739512741565704,0.10668694227933884,0.10718267187476158
da_as_ss_mw_primary_reserve,0.11403636634349823,0.08884042501449585,0.1064775839447975
total_pjm_self_sched_reg,0.09570594877004623,0.08762317895889282,0.0932811178267002
da_as_ircmwt2_primary_reserve,0.0,0.0,0.0
da_as_ircmwt2_synchronized_reserve,0.0,0.0,0.0
da_as_ircmwt2_thirty_minutes_reserve,0.0,0.0,0.0
gen_fuel_storage_pct,0.0,0.0,0.0
da_as_mcp_thirty_minutes_reserve,0.0,0.0,0.0
