field,staged_maskloss,staged_allloss,nostaged_maskloss,nostaged_allloss
metered_load_mw,0.9851073026657104,0.9864377975463867,0.9851073026657104,0.9885715842247009
total_gen,0.9806605577468872,0.9822465777397156,0.9806605577468872,0.9849881529808044
total_lmp_da,0.9765986204147339,0.9757066369056702,0.9765986204147339,0.9766213893890381
da_as_total_mw_primary_reserve,0.9444363713264465,0.9442599415779114,0.9444363713264465,0.94502192735672
da_as_total_mw_synchronized_reserve,0.9070821404457092,0.9082551598548889,0.9070821404457092,0.9110119342803955
da_as_total_mw_thirty_minutes_reserve,0.7696952819824219,0.7909173965454102,0.7696952819824219,0.7971675992012024
total_losses,0.7838443517684937,0.7882311344146729,0.7838443517684937,0.7904239892959595
net_actual_interchange_mw,-0.0007501840591430664,0.6456228494644165,-0.0007501840591430664,0.7427260875701904
gross_actual_interchange_mw,-1.1920928955078125e-06,0.7103664875030518,-1.1920928955078125e-06,0.7262288331985474
marginal_loss_price_da,0.7138798832893372,0.7138603329658508,0.7138798832893372,0.7229546308517456
congestion_price_rt,0.543569028377533,0.548061728477478,0.543569028377533,0.5543185472488403
congestion_price_da,0.3149822950363159,0.3139934539794922,0.3149822950363159,0.30115216970443726
