feature,gate,pearson,spearman,kendall,nmi,distance_corr
forecast_load_mw_latest_available,0.7402215,0.99606574,0.99579823,0.94561446,0.9454559,0.99438107
forecast_load_mw_day_ahead,0.7283734,0.99050236,0.98896277,0.9134087,0.77509636,0.9867868
gen_fuel_nuclear_pct,0.6832361,0.9191252,0.89754504,0.7335317,0.4055433,0.88500184
gen_fuel_gas_mw,0.67096853,0.9011909,0.8717328,0.6772507,0.32554764,0.85585546
gen_fuel_coal_mw,0.653232,0.84759915,0.82721204,0.6033173,0.2447506,0.8078029
gen_fuel_other_renewables_pct,0.6244744,0.7020806,0.6798361,0.5311097,0.2821976,0.62310094
total_lmp_rt,0.6147286,0.43434015,0.616393,0.4112288,0.6560226,0.5158363
system_energy_price_da,0.6142031,0.6327025,0.66902125,0.4752931,0.2618173,0.6181783
gen_fuel_oil_mw,0.609153,0.66721606,0.5728986,0.39864895,0.29529396,0.6507658
marginal_loss_price_rt,0.60813373,0.51039,0.6396694,0.44830742,0.37191153,0.5748922
gen_fuel_coal_pct,0.58767015,0.5616985,0.58682925,0.39345703,0.122924566,0.5699384
gen_fuel_nuclear_mw,0.5857698,0.5436945,0.5730333,0.37623283,0.1426721,0.56921464
gen_fuel_oil_pct,0.5767846,0.60403675,0.45198077,0.2972656,0.18679105,0.520768
gen_fuel_hydro_mw,0.56075,0.5226693,0.42236727,0.30132526,0.09236556,0.45915955
gross_inadv_interchange_mw,0.56034255,0.4941518,0.48224473,0.30814844,0.07307948,0.43457782
gen_fuel_multiple_fuels_mw,0.54833883,0.44293442,0.3712542,0.26845315,0.07889544,0.43848285
total_pjm_rmccp_cr,0.5402556,0.11403659,0.25460657,0.20107703,0.5799947,0.26855797
da_as_mcp_synchronized_reserve,0.5393205,0.32722175,0.2386858,0.1698272,0.36919078,0.32969248
gen_fuel_gas_pct,0.5361559,0.3688278,0.36003727,0.25968483,0.050110828,0.3607962
da_as_mcp_primary_reserve,0.5223401,0.30497852,0.20428704,0.1294538,0.29659355,0.2303814
gen_fuel_wind_pct,0.5216142,0.33036435,0.31165352,0.2057823,0.03140739,0.2911533
gen_fuel_hydro_pct,0.5206459,0.30141827,0.26513907,0.20025338,0.06455351,0.32195047
da_as_as_req_mw_primary_reserve,0.5201583,0.27766716,0.26317957,0.20515713,0.111509636,0.27855906
da_as_as_req_mw_synchronized_reserve,0.5200956,0.2582321,0.26070717,0.21669737,0.10955485,0.28790867
da_as_as_req_mw_thirty_minutes_reserve,0.51901835,0.2727387,0.26595682,0.21141991,0.08617514,0.28264683
gen_fuel_other_renewables_mw,0.5152455,0.24973285,0.26712602,0.2035055,0.03487073,0.3119592
rmccp,0.5132515,0.15050884,0.2507465,0.16514952,0.20405552,0.25232932
gen_fuel_storage_mw,0.51199436,0.24389115,0.27913433,0.20395435,0.04694048,0.23336713
total_pjm_reg_purchases,0.5075256,0.23601471,0.25346425,0.16186266,0.047298245,0.24656917
total_pjm_loc_credit,0.5065151,0.2013185,0.23446801,0.14865014,0.116488524,0.2217246
gen_fuel_solar_mw,0.506082,0.24756071,0.26331732,0.15898928,0.047013585,0.20244405
da_as_nsr_mw_primary_reserve,0.49936756,0.17210765,0.20684987,0.13962756,0.09337974,0.19602646
gen_fuel_multiple_fuels_pct,0.4962804,0.19292097,0.19443972,0.1323752,0.03472571,0.21158431
gross_sched_interchange_mw,0.49542797,0.20178503,0.19881374,0.1259077,0.021844814,0.20647915
net_inadv_interchange_mw,0.4934296,0.19198284,0.18424103,0.13094115,0.012270902,0.20163509
gen_fuel_solar_pct,0.4864678,0.07780894,0.15255295,0.11918282,0.06960784,0.18394886
gen_fuel_wind_mw,0.48452476,0.17085803,0.15311526,0.09334777,0.019872855,0.14181533
total_pjm_self_sched_reg,0.4788339,0.09820267,0.14454725,0.087849654,0.011639964,0.14687307
rmpcp,0.47665957,0.045425475,0.10567446,0.119211204,0.043511506,0.12575921
total_pjm_assigned_reg,0.47345802,0.093175165,0.10970557,0.06475325,0.023922037,0.11017619
total_pjm_rmpcp_cr,0.46598986,0.0021292625,0.08286222,0.05138637,0.06711092,0.07186745
da_as_ss_mw_primary_reserve,0.4628054,0.006269959,0.015466352,0.039491817,0.05617593,0.110109165
da_as_ss_mw_synchronized_reserve,0.46013474,0.015851498,0.010691363,0.005931076,0.057824258,0.10084802
da_as_ss_mw_thirty_minutes_reserve,0.46009204,0.0015082972,0.03067185,0.004029702,0.055621482,0.10023392
