target_idx,target_field,source_idx,source_field,source_type,dominant_metric,dominant_alpha,alpha_pearson,corr_pearson,alpha_spearman,corr_spearman,alpha_kendall,corr_kendall,alpha_nmi,corr_nmi,alpha_distance_corr,corr_distance_corr
44,total_gen,14,gen_fuel_nuclear_pct,general,nmi,0.4576256573200226,0.12670530378818512,0.9035243391990662,0.13169780373573303,0.8593389391899109,0.15397274494171143,0.7078472971916199,0.4576256573200226,0.4421345889568329,0.12999846041202545,0.8738710880279541
44,total_gen,16,gen_fuel_other_renewables_pct,general,nmi,0.4218790829181671,0.1325269639492035,0.6871015429496765,0.13521069288253784,0.6680604219436646,0.16486984491348267,0.513529360294342,0.4218790829181671,0.26285460591316223,0.14551344513893127,0.6039478182792664
44,total_gen,10,gen_fuel_coal_pct,general,nmi,0.2852807939052582,0.17520612478256226,0.5931914448738098,0.171465203166008,0.6257866024971008,0.19806122779846191,0.42647773027420044,0.2852807939052582,0.147146537899971,0.16998668015003204,0.6387658715248108
44,total_gen,1,gen_fuel_gas_mw,general,pearson,0.2578200101852417,0.2578200101852417,0.9291713833808899,0.24079382419586182,0.9148405194282532,0.16183507442474365,0.7515640258789062,0.10428991913795471,0.3841160535812378,0.23526114225387573,0.9079728126525879
44,total_gen,5,gen_fuel_oil_mw,general,nmi,0.25116902589797974,0.17033866047859192,0.6695844531059265,0.18685267865657806,0.5282337665557861,0.21429185569286346,0.3625414967536926,0.25116902589797974,0.22549700736999512,0.1773478090763092,0.605546236038208
44,total_gen,15,gen_fuel_oil_pct,general,nmi,0.24865905940532684,0.1723223626613617,0.5803001523017883,0.19196157157421112,0.4193226993083954,0.20888735353946686,0.3123960494995117,0.24865905940532684,0.15200714766979218,0.1781696379184723,0.5276505351066589
44,total_gen,20,forecast_load_mw_day_ahead,general,nmi,0.2456768900156021,0.18572542071342468,0.9824464321136475,0.18635743856430054,0.9757789373397827,0.19594106078147888,0.86896151304245,0.2456768900156021,0.6575865149497986,0.18629924952983856,0.9764231443405151
44,total_gen,11,gen_fuel_gas_pct,general,nmi,0.23973290622234344,0.18774645030498505,0.4466449022293091,0.18681158125400543,0.45641204714775085,0.198589026927948,0.34053993225097656,0.23973290622234344,0.06514175981283188,0.18712007999420166,0.45317167043685913
44,total_gen,43,gross_inadv_interchange_mw,general,nmi,0.22197435796260834,0.19239507615566254,0.47249138355255127,0.19353528320789337,0.45453768968582153,0.19988058507442474,0.33170419931411743,0.22197435796260834,0.060631800442934036,0.19221460819244385,0.4753626883029938
44,total_gen,40,marginal_loss_price_rt,general,nmi,0.2218129187822342,0.20095570385456085,0.36288774013519287,0.18803612887859344,0.5139040350914001,0.1998816281557083,0.3754107654094696,0.2218129187822342,0.17170989513397217,0.18931366503238678,0.4982917308807373
44,total_gen,19,forecast_load_mw_latest_available,general,pearson,0.21966135501861572,0.21966135501861572,0.9865958094596863,0.2178659290075302,0.9813835024833679,0.1915707141160965,0.883023738861084,0.1531973034143448,0.6529649496078491,0.2177046537399292,0.9808905720710754
44,total_gen,0,gen_fuel_coal_mw,general,distance_corr,0.21765969693660736,0.2099793255329132,0.8522642254829407,0.20745645463466644,0.8271666169166565,0.19338616728782654,0.6605780720710754,0.17151837050914764,0.2872965335845947,0.21765969693660736,0.8730430603027344
44,total_gen,2,gen_fuel_hydro_mw,general,pearson,0.21526622772216797,0.21526622772216797,0.45516008138656616,0.20454169809818268,0.355244517326355,0.19322213530540466,0.22347836196422577,0.17997699975967407,0.0516238659620285,0.2069929540157318,0.3803037703037262
44,total_gen,18,gen_fuel_wind_pct,general,nmi,0.21383273601531982,0.194758802652359,0.36428478360176086,0.19511719048023224,0.3575457036495209,0.2006717026233673,0.25420379638671875,0.21383273601531982,0.033565953373909,0.19561952352523804,0.3480241298675537
44,total_gen,4,gen_fuel_nuclear_mw,general,spearman,0.2128157913684845,0.2074916809797287,0.600898265838623,0.2128157913684845,0.6483588814735413,0.19167368113994598,0.4272739887237549,0.1754702627658844,0.19450722634792328,0.21254859864711761,0.6461042761802673
44,total_gen,3,gen_fuel_multiple_fuels_mw,general,nmi,0.210970938205719,0.19314482808113098,0.4202328324317932,0.19687147438526154,0.34478116035461426,0.20272420346736908,0.22795915603637695,0.210970938205719,0.08774927258491516,0.19628863036632538,0.3559309244155884
44,total_gen,39,total_lmp_rt,general,kendall,0.20894336700439453,0.20354007184505463,0.3678969144821167,0.1937914341688156,0.45555931329727173,0.20894336700439453,0.30825966596603394,0.19785502552986145,0.4077834486961365,0.19587011635303497,0.4292023777961731
44,total_gen,6,gen_fuel_other_renewables_mw,general,nmi,0.20681262016296387,0.19802086055278778,0.3272085189819336,0.19724252820014954,0.3524138331413269,0.20069776475429535,0.22433659434318542,0.20681262016296387,0.048298198729753494,0.19722622632980347,0.35292351245880127
44,total_gen,38,system_energy_price_da,general,nmi,0.2040845900774002,0.19712373614311218,0.5697759389877319,0.1984923779964447,0.5190520286560059,0.20127010345458984,0.3577416241168976,0.2040845900774002,0.1985725611448288,0.19902920722961426,0.5035381317138672
44,total_gen,33,da_as_as_req_mw_thirty_minutes_reserve,general,pearson,0.2036324143409729,0.2036324143409729,0.38438817858695984,0.20351430773735046,0.38146188855171204,0.19835683703422546,0.23306028544902802,0.19391682744026184,0.11151942610740662,0.20057961344718933,0.30415108799934387
44,total_gen,30,da_as_mcp_synchronized_reserve,general,pearson,0.20236924290657043,0.20236924290657043,0.31374120712280273,0.19793224334716797,0.13651658594608307,0.19777193665504456,0.12631894648075104,0.19964434206485748,0.23185186088085175,0.20228222012519836,0.30846264958381653
44,total_gen,42,gross_sched_interchange_mw,general,nmi,0.20234377682209015,0.19930778443813324,0.2798110544681549,0.19915929436683655,0.2881769835948944,0.19954811036586761,0.18369752168655396,0.20234377682209015,0.021013161167502403,0.19964107871055603,0.2580567002296448
44,total_gen,13,gen_fuel_multiple_fuels_pct,general,nmi,0.2023157775402069,0.199688121676445,0.16108043491840363,0.19963817298412323,0.16068625450134277,0.20024383068084717,0.14796610176563263,0.2023157775402069,0.05110097676515579,0.1981140375137329,0.2397148609161377
44,total_gen,31,da_as_as_req_mw_primary_reserve,general,nmi,0.20205920934677124,0.19883227348327637,0.38918381929397583,0.19878444075584412,0.3942022919654846,0.20093423128128052,0.2537693381309509,0.20205920934677124,0.13508951663970947,0.19938986003398895,0.3331305682659149
