,∅,系统实际负荷,系统负荷预测,风电总出力预测,光伏总出力预测,节点电价_bus1,节点电价_bus7,节点电价_bus14,节点电价_bus24,节点电价_bus26,断面阻塞_L24-26,系统备用
系统实际负荷,0.12129260406555942,,0.0,0.17296582227070012,0.05561046833600369,0.040161341439090115,0.025883618403694464,0.062217148808805245,0.1317942524918283,0.11574753897619317,0.10640807815735365,0.1476378386047924
系统负荷预测,0.1098846019028481,-0.011408002162711317,,0.16125092319828094,0.04836617024483847,0.040377913163922474,0.024854097558347443,0.05080914664609393,0.10929613672031036,0.09363339382043379,0.10258120003042082,0.12357647243457659
风电总出力预测,0.4750245715294864,0.5266977897346271,0.5263908928249192,,0.4914052227916771,0.40071153023041495,0.3859267655160681,0.49160911405429386,0.557820797135719,0.3438777274675592,0.6904676800680385,0.21411699606274726
光伏总出力预测,0.06151843165800963,-0.004163704071546093,0.0,0.07789908292020031,,0.018527002510728918,0.0077312391980169926,0.0,0.04749759888093796,0.041929936980895643,0.04644645434140049,0.017853054062658913
节点电价_bus1,0.10637110844395603,0.025239845817486728,0.036864419705030405,0.03205806714488457,0.06337967929667532,,0.0,0.10295369383216602,0.14156710809635942,0.07441019395955017,0.10988446134937635,0.13746487402576968
节点电价_bus7,0.12702900257790684,0.03162001691604188,0.04199849823340618,0.03793119656448851,0.0732418101179142,0.020657894133950805,,0.13424709837110382,0.1699440786640697,0.08750858427418595,0.13561638269719656,0.12778605726647785
节点电价_bus14,0.05907545525675417,0.0,0.0,0.07565999778156163,-0.002442976401255459,0.05565804064496416,0.06629355104995116,,0.14762144140695344,0.09008556397204626,0.04962723453657947,0.15224027966088627
节点电价_bus24,0.04907834297949076,0.05957999140575965,0.04848987779695302,0.13187456858572333,0.035057510202419095,0.08427434263189415,0.09199341906565361,0.13762432912969003,,0.0912814408481416,0.05326155273050148,0.10429808242941785
节点电价_bus26,0.13114684406192723,0.12560177897256097,0.11489563597951291,0.0,0.11155834938481324,0.09918592957752137,0.09162642575820634,0.1621569527772193,0.17334994193057807,,0.22550695339920812,0.11254871474494343
断面阻塞_L24-26,0.01488452590820577,0.0,0.007581124035778486,0.23032763444675786,-0.00018745140840337182,0.01839787881362609,0.023471906027495493,0.005436305188031065,0.01906773565921649,0.10924463524548667,,0.007729330045989635
系统备用,0.43691250984847463,0.4632577443877076,0.4506043803802031,0.17600493438173548,0.3932471322531239,0.4680062754302883,0.43766956453704564,0.5300773342526067,0.4921322492984017,0.41831438053149084,0.4297573139862585,
