目标,字段,相关系数,M0,M1,M2,M3,MCI,背景升级_M2减M0
Y_机组出力_bus26,系统实际负荷,0.39220800385044235,0.12129260406555942,0.17296582227070012,0.3201144872712096,0.3201144872712096,0.3201144872712096,0.1988218832056502
Y_机组出力_bus26,系统负荷预测,0.38389193748839817,0.1098846019028481,0.16125092319828094,0.29366373137405855,0.29366373137405855,0.29366373137405855,0.18377912947121045
Y_机组出力_bus26,风电总出力预测,0.7029618601199683,0.4750245715294864,0.6904676800680385,0.6990662791802543,0.7159861823899379,0.7226753844305702,0.22404170765076792
Y_机组出力_bus26,光伏总出力预测,0.23596212228576804,0.06151843165800963,0.07789908292020031,0.12423514595536111,0.12423514595536111,0.12423514595536111,0.06271671429735148
Y_机组出力_bus26,节点电价_bus1,0.36508945239932356,0.10637110844395603,0.14156710809635942,0.1709241619056575,0.1709241619056575,0.1709241619056575,0.06455305346170148
Y_机组出力_bus26,节点电价_bus7,0.13246826074951296,0.12702900257790684,0.1699440786640697,0.2018485235972629,0.2018485235972629,0.2018485235972629,0.07481952101935607
Y_机组出力_bus26,节点电价_bus14,0.30659569627783617,0.05907545525675417,0.15224027966088627,0.2033140468329988,0.2033140468329988,0.2033140468329988,0.14423859157624463
Y_机组出力_bus26,节点电价_bus24,0.084741500179909,0.04907834297949076,0.13762432912969003,0.21076583675413252,0.21076583675413252,0.21076583675413252,0.16168749377464176
Y_机组出力_bus26,节点电价_bus26,0.3383899856321194,0.13114684406192723,0.22550695339920812,0.22550695339920812,0.22550695339920812,0.22550695339920812,0.0943601093372809
Y_机组出力_bus26,断面阻塞_L24-26,0.14775977451854208,0.01488452590820577,0.23032763444675786,0.2519008327386584,0.2519008327386584,0.2519008327386584,0.2370163068304526
Y_机组出力_bus26,系统备用,0.6770052669056329,0.43691250984847463,0.5300773342526067,0.5649736157342428,0.6728237235906886,0.7163916065850822,0.12806110588576813
Y_机组出力_bus21,系统实际负荷,0.7089156776011506,0.48199689875896035,0.4958376557571318,0.4958376557571318,0.4958376557571318,0.4958376557571318,0.013840756998171444
Y_机组出力_bus21,系统负荷预测,0.6922943385621707,0.47105141058260747,0.4767546735032634,0.4767546735032634,0.4767546735032634,0.4767546735032634,0.005703262920655927
Y_机组出力_bus21,风电总出力预测,0.05421531860950034,0.0,0.10195672582231341,0.10195672582231341,0.10195672582231341,0.10195672582231341,0.10195672582231341
Y_机组出力_bus21,光伏总出力预测,0.25240120973922775,0.22638645539927904,0.270545001111668,0.270545001111668,0.270545001111668,0.270545001111668,0.044158545712388975
Y_机组出力_bus21,节点电价_bus1,0.7897506446024416,0.6206267560176728,0.6495229421624475,0.6495229421624475,0.6495229421624475,0.6495229421624475,0.028896186144774738
Y_机组出力_bus21,节点电价_bus7,0.1735612785950522,0.5995372264206829,0.6351103374500415,0.6351103374500415,0.6351103374500415,0.6351103374500415,0.03557311102935867
Y_机组出力_bus21,节点电价_bus14,0.8588114191356707,0.7549838967019826,0.7549838967019826,0.7549838967019826,0.7549838967019826,0.7549838967019826,0.0
Y_机组出力_bus21,节点电价_bus24,0.5966004415269851,0.5880107011034268,0.6808202971136635,0.6808202971136635,0.6808202971136635,0.6808202971136635,0.09280959601023675
Y_机组出力_bus21,节点电价_bus26,0.24134689482703273,0.08990016338908235,0.2869846654349014,0.2869846654349014,0.2869846654349014,0.2869846654349014,0.19708450204581907
Y_机组出力_bus21,断面阻塞_L24-26,0.21647567011276525,0.04341427989976465,0.24049878194558372,0.24049878194558372,0.24049878194558372,0.24049878194558372,0.19708450204581907
Y_机组出力_bus21,系统备用,0.7032444909922506,0.4695757114416186,0.571532437263932,0.571532437263932,0.571532437263932,0.571532437263932,0.10195672582231341
