feature,gate,pearson,spearman,kendall,nmi,distance_corr
system_energy_price_da,0.7957622,0.9919832,0.9899409,0.93068016,1.0,0.9854231
total_lmp_rt,0.7443678,0.60944515,0.83081234,0.6392661,1.0,0.7435866
marginal_loss_price_rt,0.73835087,0.63645434,0.79355687,0.5706549,1.0,0.7013207
da_as_mcp_synchronized_reserve,0.71639824,0.7743495,0.5842136,0.42787367,0.85571295,0.64730436
gen_fuel_oil_mw,0.68773705,0.8091955,0.5831557,0.43122184,0.32219267,0.6979615
forecast_load_mw_latest_available,0.6868021,0.633705,0.6841494,0.49485818,0.3776979,0.6415595
gen_fuel_nuclear_pct,0.6854218,0.5979792,0.7015689,0.51028514,0.36478713,0.6375269
gen_fuel_oil_pct,0.6768775,0.7680175,0.5789106,0.40542063,0.2420076,0.67406815
da_as_mcp_primary_reserve,0.6688549,0.668602,0.4912762,0.3896348,0.37691057,0.5884976
forecast_load_mw_day_ahead,0.6669873,0.6122112,0.59436077,0.4298337,0.2705616,0.59694546
gen_fuel_coal_mw,0.6509472,0.5393654,0.5540197,0.37702128,0.24464773,0.52629346
gen_fuel_gas_mw,0.6491462,0.5555409,0.5417839,0.3511555,0.23862995,0.5242795
total_pjm_rmccp_cr,0.64360607,0.3711378,0.47170657,0.34327757,0.4158143,0.5055361
gen_fuel_hydro_mw,0.6435543,0.4793418,0.52722824,0.36513016,0.21725467,0.5385627
gen_fuel_other_renewables_pct,0.63294756,0.436287,0.5199106,0.40332577,0.14255466,0.46128675
gen_fuel_multiple_fuels_mw,0.6322489,0.42579263,0.48591647,0.36568367,0.17116922,0.5020534
rmccp,0.6317622,0.4352804,0.4406166,0.32938296,0.26639593,0.4554094
gen_fuel_hydro_pct,0.6226136,0.38201702,0.4595066,0.3087821,0.17604263,0.47113603
total_pjm_reg_purchases,0.6212197,0.36887726,0.49014938,0.32805276,0.16622148,0.42261043
gen_fuel_storage_mw,0.6136336,0.3294161,0.45392573,0.35412714,0.10226362,0.42501938
gross_inadv_interchange_mw,0.6126906,0.40967318,0.41763404,0.28618294,0.1127952,0.41655418
gen_fuel_coal_pct,0.60813457,0.32280585,0.4264108,0.30183908,0.12558913,0.39786357
gen_fuel_multiple_fuels_pct,0.5940238,0.27783135,0.40023562,0.26113597,0.064892754,0.35898674
total_pjm_assigned_reg,0.5917356,0.28837636,0.37406778,0.24074674,0.09075151,0.3277322
total_pjm_loc_credit,0.5768121,0.3228015,0.1965351,0.14603026,0.14904264,0.2601175
gen_fuel_gas_pct,0.56871957,0.23297696,0.23363607,0.17762722,0.053000666,0.2729882
rmpcp,0.5496553,0.02294269,0.2603522,0.16759329,0.06076822,0.17911734
gen_fuel_wind_pct,0.54957724,0.15868038,0.15100151,0.12077254,0.05364835,0.19502856
total_pjm_rmpcp_cr,0.54814184,0.013828167,0.26181176,0.16080068,0.051748924,0.18177648
net_inadv_interchange_mw,0.5373958,0.147373,0.12769334,0.07983597,0.0,0.14577785
gross_sched_interchange_mw,0.5366963,0.16134296,0.07349722,0.03823186,0.052751213,0.15609644
gen_fuel_nuclear_mw,0.53543746,0.08996327,0.016783701,0.055643447,0.13755977,0.15465333
da_as_as_req_mw_primary_reserve,0.5291359,0.0794391,0.036057655,0.044278257,0.087119944,0.11937835
da_as_nsr_mw_primary_reserve,0.52817655,0.045902368,0.0119569255,0.0025040223,0.17563455,0.10631652
da_as_ss_mw_primary_reserve,0.52684206,0.0042443997,0.06450015,0.032749258,0.13157979,0.09848533
gen_fuel_solar_pct,0.52677554,0.08322705,0.004285317,0.010383944,0.09679846,0.13491979
gen_fuel_wind_mw,0.5265747,0.07418851,0.05074176,0.04961518,0.035620242,0.12519899
gen_fuel_solar_mw,0.524127,0.0126794325,0.10373502,0.025844185,0.05896498,0.099809155
da_as_as_req_mw_synchronized_reserve,0.5240844,0.07302046,0.00029259667,0.012676026,0.09496744,0.107755795
da_as_ss_mw_synchronized_reserve,0.52339745,0.009886887,0.058059342,0.015705792,0.098915026,0.101295024
da_as_ss_mw_thirty_minutes_reserve,0.5233589,0.008494506,0.061165214,0.034219302,0.08357067,0.097426735
gen_fuel_other_renewables_mw,0.5232422,0.07368908,0.00304162,0.033498604,0.048963323,0.12303262
da_as_as_req_mw_thirty_minutes_reserve,0.52234805,0.07716271,0.0014349787,0.012205422,0.062124945,0.11394569
total_pjm_self_sched_reg,0.518399,0.015600373,0.039337676,0.016285794,0.05234651,0.089629464
